model,task,horizon,method,point_estimate,bootstrap_mean,bootstrap_std,ci_low,ci_high,n_train_seeds,n_partition_seeds,n_eval_blocks,episodes_per_block,n_bootstrap,resampling_unit,status
lewm,cube,long,Official baseline,50.4,50.430488,3.311429190222252,43.6,56.4,0,0,5,50,50000,eval-block,ok
lewm,cube,long,Joint-Continue 3ep,51.6,51.63007999999999,3.2674704443515803,45.333333333333336,57.86666666666667,3,0,5,50,50000,eval-block,ok
lewm,cube,long,Global-FT50,48.13333333333333,48.17588,3.6684288497393536,40.666666666666664,54.8,3,0,5,50,50000,eval-block,ok
lewm,cube,long,Random-Voronoi,50.79999999999999,50.823157333333334,3.1463027276411704,44.84444444444444,57.02222222222222,3,3,5,50,50000,eval-block,ok
lewm,cube,long,K-means++,49.955555555555556,49.98447377777778,2.8363081486681394,44.400000000000006,55.46666666666666,3,3,5,50,50000,eval-block,ok
lewm,cube,long,Spectral,49.68888888888889,49.713415111111104,2.9592754911168275,44.222222222222214,55.77777777777778,3,3,5,50,50000,eval-block,ok
lewm,cube,long,Auto-LAP,48.13333333333333,48.17588,3.6684288497393536,40.666666666666664,54.8,3,0,5,50,50000,eval-block,ok
lewm,cube,short,Official baseline,64.8,64.806936,1.8375687992301133,61.2,68.4,0,0,5,50,50000,eval-block,ok
lewm,cube,short,Joint-Continue 3ep,64.53333333333335,64.54332266666667,2.715416618719779,58.666666666666664,68.93333333333334,3,0,5,50,50000,eval-block,ok
lewm,cube,short,Global-FT50,64.53333333333333,64.55090666666666,2.512340913738509,59.6,69.46666666666667,3,0,5,50,50000,eval-block,ok
lewm,cube,short,Random-Voronoi,66.26666666666667,66.28215555555555,2.566599197862639,60.844444444444434,70.75555555555555,3,3,5,50,50000,eval-block,ok
lewm,cube,short,K-means++,65.02222222222223,65.04620177777777,2.9291167797324906,59.288888888888884,70.57777777777778,3,3,5,50,50000,eval-block,ok
lewm,cube,short,Spectral,64.7111111111111,64.72122399999999,2.447423270056014,59.46666666666667,69.06666666666666,3,3,5,50,50000,eval-block,ok
