task,train_seed,horizon,anchor_support,episode_id,num_anchors,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse,terminal_global_mse,terminal_correct_mse,terminal_wrong_mean_mse,terminal_wrong_best_mse,mean_trajectory_global_mse,mean_trajectory_correct_mse,mean_trajectory_wrong_mean_mse,mean_trajectory_wrong_best_mse
pusht,0,1,horizon_valid,15,94,0.0013480092932289327,0.0011770658412059037,0.1772110418854975,0.07648850776542454,0.0013480092932289327,0.0011770658412059037,0.1772110418854975,0.07648850776542454,0.0013480092932289327,0.0011770658412059037,0.1772110418854975,0.07648850776542454
pusht,0,1,horizon_valid,30,94,0.0010143801412963744,0.0009108231567958509,0.1735941509993628,0.07113323422109193,0.0010143801412963744,0.0009108231567958509,0.1735941509993628,0.07113323422109193,0.0010143801412963744,0.0009108231567958509,0.1735941509993628,0.07113323422109193
pusht,0,1,horizon_valid,34,94,0.0012809770987393888,0.0014170212473006958,0.17647635121334423,0.07520939554385048,0.0012809770987393888,0.0014170212473006958,0.17647635121334423,0.07520939554385048,0.0012809770987393888,0.0014170212473006958,0.17647635121334423,0.07520939554385048
pusht,0,1,horizon_valid,45,94,0.0015226502684836693,0.0015573164908230265,0.17859174813976156,0.07605263391668175,0.0015226502684836693,0.0015573164908230265,0.17859174813976156,0.07605263391668175,0.0015226502684836693,0.0015573164908230265,0.17859174813976156,0.07605263391668175
pusht,0,1,horizon_valid,51,94,0.002097932714411612,0.0018375201582378569,0.17452948358054818,0.07033233677267414,0.002097932714411612,0.0018375201582378569,0.17452948358054818,0.07033233677267414,0.002097932714411612,0.0018375201582378569,0.17452948358054818,0.07033233677267414
pusht,0,1,horizon_valid,55,94,0.0015961083226237803,0.0015624999000562077,0.17796404969858678,0.08183433830817329,0.0015961083226237803,0.0015624999000562077,0.17796404969858678,0.08183433830817329,0.0015961083226237803,0.0015624999000562077,0.17796404969858678,0.08183433830817329
pusht,0,1,horizon_valid,69,94,0.001473082812190888,0.0014155691215877442,0.17657780174619242,0.07354228220201355,0.001473082812190888,0.0014155691215877442,0.17657780174619242,0.07354228220201355,0.001473082812190888,0.0014155691215877442,0.17657780174619242,0.07354228220201355
pusht,0,1,horizon_valid,84,94,0.0019876759869611248,0.001930021945612525,0.05070431769250872,0.007911502145864863,0.0019876759869611248,0.001930021945612525,0.05070431769250872,0.007911502145864863,0.0019876759869611248,0.001930021945612525,0.05070431769250872,0.007911502145864863
pusht,0,1,horizon_valid,85,94,0.00385456483227825,0.0038906090339878574,0.12419050336230864,0.032535881096338655,0.00385456483227825,0.0038906090339878574,0.12419050336230864,0.032535881096338655,0.00385456483227825,0.0038906090339878574,0.12419050336230864,0.032535881096338655
pusht,0,1,horizon_valid,89,94,0.0030638327688335422,0.003228206252196229,0.1930174088561313,0.12029778341108814,0.0030638327688335422,0.003228206252196229,0.1930174088561313,0.12029778341108814,0.0030638327688335422,0.003228206252196229,0.1930174088561313,0.12029778341108814
pusht,0,1,horizon_valid,94,94,0.011579525748644261,0.010799181647289128,0.10688079672152216,0.03840520883850912,0.011579525748644261,0.010799181647289128,0.10688079672152216,0.03840520883850912,0.011579525748644261,0.010799181647289128,0.10688079672152216,0.03840520883850912
pusht,0,1,horizon_valid,101,116,0.0007875200045136494,0.0007053311613884128,0.1874141193314652,0.10041163907966431,0.0007875200045136494,0.0007053311613884128,0.1874141193314652,0.10041163907966431,0.0007875200045136494,0.0007053311613884128,0.1874141193314652,0.10041163907966431
pusht,0,1,horizon_valid,103,116,0.00081178840966835,0.0007084337903506821,0.18730737671410616,0.10041587798683584,0.00081178840966835,0.0007084337903506821,0.18730737671410616,0.10041587798683584,0.00081178840966835,0.0007084337903506821,0.18730737671410616,0.10041587798683584
pusht,0,1,horizon_valid,119,116,0.0008506287645261558,0.0007531844290999038,0.18799119740890155,0.10009302419524013,0.0008506287645261558,0.0007531844290999038,0.18799119740890155,0.10009302419524013,0.0008506287645261558,0.0007531844290999038,0.18799119740890155,0.10009302419524013
pusht,0,1,horizon_valid,126,116,0.0008828165027180461,0.0007923587408781871,0.18696347131230268,0.10033910021693687,0.0008828165027180461,0.0007923587408781871,0.18696347131230268,0.10033910021693687,0.0008828165027180461,0.0007923587408781871,0.18696347131230268,0.10033910021693687
pusht,0,1,horizon_valid,133,116,0.0013666798117026638,0.0013064404985674754,0.18589382427182563,0.10345630468961237,0.0013666798117026638,0.0013064404985674754,0.18589382427182563,0.10345630468961237,0.0013666798117026638,0.0013064404985674754,0.18589382427182563,0.10345630468961237
pusht,0,1,horizon_valid,140,116,0.0014958492213516929,0.0013680254185225028,0.184482740692429,0.10065723946900107,0.0014958492213516929,0.0013680254185225028,0.184482740692429,0.10065723946900107,0.0014958492213516929,0.0013680254185225028,0.184482740692429,0.10065723946900107
pusht,0,1,horizon_valid,153,116,0.001337992443009641,0.0013395154948801942,0.18746870367964408,0.09708136982477174,0.001337992443009641,0.0013395154948801942,0.18746870367964408,0.09708136982477174,0.001337992443009641,0.0013395154948801942,0.18746870367964408,0.09708136982477174
pusht,0,1,horizon_valid,154,116,0.0017177909995270651,0.0015686303597939168,0.1845948239693073,0.10008916273765298,0.0017177909995270651,0.0015686303597939168,0.1845948239693073,0.10008916273765298,0.0017177909995270651,0.0015686303597939168,0.1845948239693073,0.10008916273765298
pusht,0,1,horizon_valid,166,116,0.002061439031892625,0.0021468973437581084,0.19688462947720084,0.16269567351916742,0.002061439031892625,0.0021468973437581084,0.19688462947720084,0.16269567351916742,0.002061439031892625,0.0021468973437581084,0.19688462947720084,0.16269567351916742
pusht,0,1,horizon_valid,169,116,0.0016053390042135764,0.0014203935902357976,0.18426926083740344,0.09982844387032573,0.0016053390042135764,0.0014203935902357976,0.18426926083740344,0.09982844387032573,0.0016053390042135764,0.0014203935902357976,0.18426926083740344,0.09982844387032573
pusht,0,1,horizon_valid,172,116,0.004332786899512626,0.0035366489778268792,0.17060775264037836,0.14218685854675955,0.004332786899512626,0.0035366489778268792,0.17060775264037836,0.14218685854675955,0.004332786899512626,0.0035366489778268792,0.17060775264037836,0.14218685854675955
pusht,0,1,horizon_valid,196,116,0.004343747124196319,0.004146912407154089,0.17680553141339073,0.13659734998283715,0.004343747124196319,0.004146912407154089,0.17680553141339073,0.13659734998283715,0.004343747124196319,0.004146912407154089,0.17680553141339073,0.13659734998283715
pusht,0,1,horizon_valid,199,116,0.015173801725754386,0.01221434101422221,0.14471214874005267,0.09155651475784593,0.015173801725754386,0.01221434101422221,0.14471214874005267,0.09155651475784593,0.015173801725754386,0.01221434101422221,0.14471214874005267,0.09155651475784593
pusht,0,1,horizon_valid,202,69,0.0009817889291772863,0.0009863410852393945,0.2106020829876112,0.1274720828290995,0.0009817889291772863,0.0009863410852393945,0.2106020829876112,0.1274720828290995,0.0009817889291772863,0.0009863410852393945,0.2106020829876112,0.1274720828290995
pusht,0,1,horizon_valid,204,69,0.0010663498238579411,0.0010319727633664709,0.21121030629264947,0.12835887450542624,0.0010663498238579411,0.0010319727633664709,0.21121030629264947,0.12835887450542624,0.0010663498238579411,0.0010319727633664709,0.21121030629264947,0.12835887450542624
pusht,0,1,horizon_valid,211,69,0.0011542447799634513,0.0009649014678291059,0.21203032447585324,0.12916525871411938,0.0011542447799634513,0.0009649014678291059,0.21203032447585324,0.12916525871411938,0.0011542447799634513,0.0009649014678291059,0.21203032447585324,0.12916525871411938
pusht,0,1,horizon_valid,230,69,0.0011974614958423931,0.0010754663633871014,0.2129000903177244,0.12754690075424782,0.0011974614958423931,0.0010754663633871014,0.2129000903177244,0.12754690075424782,0.0011974614958423931,0.0010754663633871014,0.2129000903177244,0.12754690075424782
pusht,0,1,horizon_valid,231,69,0.0011556205462893822,0.00103922205681042,0.21205808946894872,0.12894627886092075,0.0011556205462893822,0.00103922205681042,0.21205808946894872,0.12894627886092075,0.0011556205462893822,0.00103922205681042,0.21205808946894872,0.12894627886092075
pusht,0,1,horizon_valid,235,69,0.001572127850680693,0.0014495565437887242,0.20940183606454293,0.1248745554636327,0.001572127850680693,0.0014495565437887242,0.20940183606454293,0.1248745554636327,0.001572127850680693,0.0014495565437887242,0.20940183606454293,0.1248745554636327
pusht,0,1,horizon_valid,242,69,0.0014110210223420374,0.001427950995107033,0.21055929515885352,0.12506269181545393,0.0014110210223420374,0.001427950995107033,0.21055929515885352,0.12506269181545393,0.0014110210223420374,0.001427950995107033,0.21055929515885352,0.12506269181545393
pusht,0,1,horizon_valid,246,69,0.0012737413150413583,0.0012291222422694166,0.21489583040660154,0.13385973435715245,0.0012737413150413583,0.0012291222422694166,0.21489583040660154,0.13385973435715245,0.0012737413150413583,0.0012291222422694166,0.21489583040660154,0.13385973435715245
pusht,0,1,horizon_valid,247,69,0.001550759821522819,0.0014789237065470197,0.20642242489628954,0.12287526536037795,0.001550759821522819,0.0014789237065470197,0.20642242489628954,0.12287526536037795,0.001550759821522819,0.0014789237065470197,0.20642242489628954,0.12287526536037795
pusht,0,1,horizon_valid,249,69,0.0012422909363733092,0.0012177489995298422,0.21138559302641585,0.11941055455236642,0.0012422909363733092,0.0012177489995298422,0.21138559302641585,0.11941055455236642,0.0012422909363733092,0.0012177489995298422,0.21138559302641585,0.11941055455236642
pusht,0,1,horizon_valid,259,69,0.0014720344818973292,0.0015336599996468674,0.20901890953393668,0.12336380933529521,0.0014720344818973292,0.0015336599996468674,0.20901890953393668,0.12336380933529521,0.0014720344818973292,0.0015336599996468674,0.20901890953393668,0.12336380933529521
pusht,0,1,horizon_valid,269,69,0.0020543040578638243,0.0020769124903776887,0.18544665541739433,0.08621724427549465,0.0020543040578638243,0.0020769124903776887,0.18544665541739433,0.08621724427549465,0.0020543040578638243,0.0020769124903776887,0.18544665541739433,0.08621724427549465
pusht,0,1,horizon_valid,286,69,0.0017781739993749754,0.0017946629491432207,0.1830119269940516,0.09572929394957812,0.0017781739993749754,0.0017946629491432207,0.1830119269940516,0.09572929394957812,0.0017781739993749754,0.0017946629491432207,0.1830119269940516,0.09572929394957812
pusht,0,1,horizon_valid,292,69,0.004336582670963464,0.0040262090248912846,0.17068454320542514,0.08828631992978246,0.004336582670963464,0.0040262090248912846,0.17068454320542514,0.08828631992978246,0.004336582670963464,0.0040262090248912846,0.17068454320542514,0.08828631992978246
pusht,0,1,horizon_valid,301,69,0.006180317330079666,0.005278717617224227,0.09833976212025121,0.061227003328394196,0.006180317330079666,0.005278717617224227,0.09833976212025121,0.061227003328394196,0.006180317330079666,0.005278717617224227,0.09833976212025121,0.061227003328394196
pusht,0,1,horizon_valid,315,119,0.0009327343711653967,0.0006995639646256601,0.16527892742110337,0.0713535332934884,0.0009327343711653967,0.0006995639646256601,0.16527892742110337,0.0713535332934884,0.0009327343711653967,0.0006995639646256601,0.16527892742110337,0.0713535332934884
pusht,0,1,horizon_valid,325,119,0.0009552454473176861,0.000620063126014796,0.16199203668614193,0.06980071236289442,0.0009552454473176861,0.000620063126014796,0.16199203668614193,0.06980071236289442,0.0009552454473176861,0.000620063126014796,0.16199203668614193,0.06980071236289442
pusht,0,1,horizon_valid,329,119,0.0010274288134733528,0.0008186837528663993,0.16587148765160725,0.0712835368359884,0.0010274288134733528,0.0008186837528663993,0.16587148765160725,0.0712835368359884,0.0010274288134733528,0.0008186837528663993,0.16587148765160725,0.0712835368359884
pusht,0,1,horizon_valid,343,119,0.0012356974843017827,0.001044421617558985,0.16754071040767707,0.0719831215624674,0.0012356974843017827,0.001044421617558985,0.16754071040767707,0.0719831215624674,0.0012356974843017827,0.001044421617558985,0.16754071040767707,0.0719831215624674
pusht,0,1,horizon_valid,355,119,0.0014319731090232503,0.0011321803421112748,0.1595000128629578,0.06886570309014882,0.0014319731090232503,0.0011321803421112748,0.1595000128629578,0.06886570309014882,0.0014319731090232503,0.0011321803421112748,0.1595000128629578,0.06886570309014882
pusht,0,1,horizon_valid,357,119,0.0019110408638498332,0.0017863788993925467,0.13780551763180987,0.05344023579387229,0.0019110408638498332,0.0017863788993925467,0.13780551763180987,0.05344023579387229,0.0019110408638498332,0.0017863788993925467,0.13780551763180987,0.05344023579387229
pusht,0,1,horizon_valid,374,119,0.0020463980718206675,0.001920894968143406,0.13943127949894288,0.05035647756553122,0.0020463980718206675,0.001920894968143406,0.13943127949894288,0.05035647756553122,0.0020463980718206675,0.001920894968143406,0.13943127949894288,0.05035647756553122
pusht,0,1,horizon_valid,377,119,0.002510372653359962,0.0021427364088350345,0.1808701905073645,0.09306849976375449,0.002510372653359962,0.0021427364088350345,0.1808701905073645,0.09306849976375449,0.002510372653359962,0.0021427364088350345,0.1808701905073645,0.09306849976375449
pusht,0,1,horizon_valid,383,119,0.0015653820889131283,0.0013392034765458158,0.14824907233187257,0.06186605993846134,0.0015653820889131283,0.0013392034765458158,0.14824907233187257,0.06186605993846134,0.0015653820889131283,0.0013392034765458158,0.14824907233187257,0.06186605993846134
pusht,0,1,horizon_valid,432,54,0.0008266852592997667,0.0008820815934019198,0.11726163856036254,0.030221034336136654,0.0008266852592997667,0.0008820815934019198,0.11726163856036254,0.030221034336136654,0.0008266852592997667,0.0008820815934019198,0.11726163856036254,0.030221034336136654
pusht,0,1,horizon_valid,440,54,0.0014251975334007984,0.0013176121542023288,0.11625108046185535,0.03274883493927687,0.0014251975334007984,0.0013176121542023288,0.11625108046185535,0.03274883493927687,0.0014251975334007984,0.0013176121542023288,0.11625108046185535,0.03274883493927687
pusht,0,1,horizon_valid,441,54,0.0009415371220071662,0.0009457577452175665,0.1221132840852348,0.03097108630700623,0.0009415371220071662,0.0009457577452175665,0.1221132840852348,0.03097108630700623,0.0009415371220071662,0.0009457577452175665,0.1221132840852348,0.03097108630700623
pusht,0,1,horizon_valid,446,54,0.0014030167943996344,0.0011766493577548924,0.1264127610349398,0.0310330766552835,0.0014030167943996344,0.0011766493577548924,0.1264127610349398,0.0310330766552835,0.0014030167943996344,0.0011766493577548924,0.1264127610349398,0.0310330766552835
pusht,0,1,horizon_valid,450,54,0.000941282822437912,0.0009369587127434055,0.12065095529827953,0.03199790513705617,0.000941282822437912,0.0009369587127434055,0.12065095529827953,0.03199790513705617,0.000941282822437912,0.0009369587127434055,0.12065095529827953,0.03199790513705617
pusht,0,1,horizon_valid,455,54,0.0016404279966890398,0.0018672588339541107,0.11198542398051359,0.024843186741539586,0.0016404279966890398,0.0018672588339541107,0.11198542398051359,0.024843186741539586,0.0016404279966890398,0.0018672588339541107,0.11198542398051359,0.024843186741539586
pusht,0,1,horizon_valid,462,54,0.0012641065954489426,0.0014229005998155724,0.1146685119413262,0.031968378876896436,0.0012641065954489426,0.0014229005998155724,0.1146685119413262,0.031968378876896436,0.0012641065954489426,0.0014229005998155724,0.1146685119413262,0.031968378876896436
pusht,0,1,horizon_valid,465,54,0.0022871662804391235,0.0020024282135569526,0.1063059868832136,0.032293957207541635,0.0022871662804391235,0.0020024282135569526,0.1063059868832136,0.032293957207541635,0.0022871662804391235,0.0020024282135569526,0.1063059868832136,0.032293957207541635
pusht,0,1,horizon_valid,474,54,0.0017588944179738905,0.0017204811840740688,0.10991975358100953,0.03163403603765699,0.0017588944179738905,0.0017204811840740688,0.10991975358100953,0.03163403603765699,0.0017588944179738905,0.0017204811840740688,0.10991975358100953,0.03163403603765699
pusht,0,1,horizon_valid,477,54,0.002231531618033639,0.00221024582020214,0.10881415464326791,0.033849382004485014,0.002231531618033639,0.00221024582020214,0.10881415464326791,0.033849382004485014,0.002231531618033639,0.00221024582020214,0.10881415464326791,0.033849382004485014
pusht,0,1,horizon_valid,490,54,0.002408302352436025,0.002410911991588633,0.1270633846568806,0.030392926250998344,0.002408302352436025,0.002410911991588633,0.1270633846568806,0.030392926250998344,0.002408302352436025,0.002410911991588633,0.1270633846568806,0.030392926250998344
pusht,0,1,horizon_valid,496,54,0.007040562248288619,0.01064935015273039,0.11053046348927266,0.044422639926240126,0.007040562248288619,0.01064935015273039,0.11053046348927266,0.044422639926240126,0.007040562248288619,0.01064935015273039,0.11053046348927266,0.044422639926240126
pusht,0,1,horizon_valid,529,111,0.0011934226057345367,0.001158636511300338,0.08817170924472471,0.02261745456453027,0.0011934226057345367,0.001158636511300338,0.08817170924472471,0.02261745456453027,0.0011934226057345367,0.001158636511300338,0.08817170924472471,0.02261745456453027
pusht,0,1,horizon_valid,531,111,0.001247823984322331,0.0012054197868565097,0.08549867926384658,0.02036510109702159,0.001247823984322331,0.0012054197868565097,0.08549867926384658,0.02036510109702159,0.001247823984322331,0.0012054197868565097,0.08549867926384658,0.02036510109702159
pusht,0,1,horizon_valid,536,111,0.0018139476578489684,0.0018861902525558279,0.0891679847740929,0.020687219395243504,0.0018139476578489684,0.0018861902525558279,0.0891679847740929,0.020687219395243504,0.0018139476578489684,0.0018861902525558279,0.0891679847740929,0.020687219395243504
pusht,0,1,horizon_valid,556,111,0.0015166546034559541,0.0015485646310136527,0.08589391145466613,0.020140756664929812,0.0015166546034559541,0.0015485646310136527,0.08589391145466613,0.020140756664929812,0.0015166546034559541,0.0015485646310136527,0.08589391145466613,0.020140756664929812
pusht,0,1,horizon_valid,583,111,0.0017365639770916361,0.0017366090245117005,0.0869834815308783,0.023371160247988226,0.0017365639770916361,0.0017366090245117005,0.0869834815308783,0.023371160247988226,0.0017365639770916361,0.0017366090245117005,0.0869834815308783,0.023371160247988226
