task,train_seed,horizon,region,num_episodes,num_anchors,region_weight,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse,global_minus_correct,relative_gain,wrong_penalty,mean_trajectory_global_mse,mean_trajectory_correct_mse,mean_trajectory_wrong_mean_mse,mean_trajectory_wrong_best_mse,low_support,terminal_global_mse,terminal_correct_mse,terminal_wrong_mean_mse,terminal_wrong_best_mse,anchor_support
pusht,0,1,0,1406,78200,0.3835382630915538,0.002630201059479761,0.002699033751012631,0.07174753287632633,0.022231409675270482,-6.883269153287004e-05,-0.02617012539204313,0.0690484991253137,0.002630201059479761,0.002699033751012631,0.07174753287632633,0.022231409675270482,False,0.002630201059479761,0.002699033751012631,0.07174753287632633,0.022231409675270482,horizon_valid
pusht,0,1,1,1041,72663,0.35638159604886926,0.003339967656398788,0.0034061942376756578,0.1230360764855913,0.05342313316908263,-6.622658127686991e-05,-0.019828509761162353,0.11962988224791564,0.003339967656398788,0.0034061942376756578,0.1230360764855913,0.05342313316908263,False,0.003339967656398788,0.0034061942376756578,0.1230360764855913,0.05342313316908263,horizon_valid
pusht,0,1,2,830,53028,0.2600801408595769,0.0028851224197829852,0.003010080735280294,0.13202211856152993,0.06276135001898259,-0.00012495831549730893,-0.04331126978892914,0.12901203782624962,0.0028851224197829852,0.003010080735280294,0.13202211856152993,0.06276135001898259,False,0.0028851224197829852,0.003010080735280294,0.13202211856152993,0.06276135001898259,horizon_valid
pusht,0,5,0,988,43781,0.3161402596652369,0.012549907415672074,0.013878608437223218,0.31226262101195057,0.1324535967216263,-0.0013287010215511444,-0.10587337241164736,0.29838401257472735,0.012549907415672074,0.013878608437223218,0.31226262101195057,0.1324535967216263,False,0.026607747114568835,0.030056615970606184,0.5659111544590613,0.25737745057058037,horizon_valid
pusht,0,5,1,964,55411,0.4001198677122597,0.01547617041772451,0.019506759520441216,0.4671816410364092,0.2706911869772056,-0.004030589102716706,-0.2604384026490535,0.44767488151596796,0.01547617041772451,0.019506759520441216,0.4671816410364092,0.2706911869772056,False,0.032021458370040175,0.043803843844375204,0.7978628451543883,0.49414344191531495,horizon_valid
pusht,0,5,2,761,39294,0.28373987262250333,0.01289671826232331,0.01606441136136991,0.505490180180581,0.317856967292605,-0.0031676930990466,-0.24562008990308426,0.48942576881921107,0.01289671826232331,0.01606441136136991,0.505490180180581,0.317856967292605,False,0.02774398110203035,0.03655886480267147,0.8544118405474795,0.5686237687343603,horizon_valid
pusht,0,10,0,674,27365,0.29308756747493786,0.0384466121788799,0.05490407202101902,0.6242050210723311,0.36132568626686823,-0.016457459842139116,-0.42806007888465625,0.5693009490513121,0.0384466121788799,0.05490407202101902,0.6242050210723311,0.36132568626686823,False,0.09022590592315513,0.14726462171524846,1.1014129140085898,0.7091184028456526,horizon_valid
pusht,0,10,1,869,40511,0.43388527118498843,0.04958909629600642,0.07712443475116428,0.8222903029665387,0.5787280938730905,-0.027535338455157855,-0.5552700192557325,0.7451658682153744,0.04958909629600642,0.07712443475116428,0.8222903029665387,0.5787280938730905,False,0.1233227471546165,0.21509960053714997,1.3301382697726571,1.0063985193522158,horizon_valid
pusht,0,10,2,619,25492,0.2730271613400737,0.043735577799804595,0.05805389535156367,0.9032462381573186,0.674973121017359,-0.014318317551759073,-0.3273837519033085,0.845192342805755,0.043735577799804595,0.05805389535156367,0.9032462381573186,0.674973121017359,False,0.11052672486668125,0.1642099012896286,1.4257014470674432,1.126429085418368,horizon_valid
pusht,42,1,0,1406,78200,0.3835382630915538,0.002596041694083406,0.0026857596003743854,0.07145487026154457,0.02202365954142578,-8.971790629097934e-05,-0.03455950129593599,0.06876911066117018,0.002596041694083406,0.0026857596003743854,0.07145487026154457,0.02202365954142578,False,0.002596041694083406,0.0026857596003743854,0.07145487026154457,0.02202365954142578,horizon_valid
pusht,42,1,1,1041,72663,0.35638159604886926,0.0033399026589696953,0.0034116925399595996,0.12368899894811743,0.05370920654422354,-7.178988098990435e-05,-0.021494602783438704,0.12027730640815783,0.0033399026589696953,0.0034116925399595996,0.12368899894811743,0.05370920654422354,False,0.0033399026589696953,0.0034116925399595996,0.12368899894811743,0.05370920654422354,horizon_valid
pusht,42,1,2,830,53028,0.2600801408595769,0.0028461165741454093,0.002955358805778442,0.13314923755529212,0.06402468938229029,-0.00010924223163303291,-0.03838290835498704,0.1301938787495137,0.0028461165741454093,0.002955358805778442,0.13314923755529212,0.06402468938229029,False,0.0028461165741454093,0.002955358805778442,0.13314923755529212,0.06402468938229029,horizon_valid
pusht,42,5,0,988,43781,0.3161402596652369,0.012165650446608077,0.014813478263329936,0.3111717119640109,0.1327990932016628,-0.0026478278167218587,-0.2176478625900437,0.29635823370068093,0.012165650446608077,0.014813478263329936,0.3111717119640109,0.1327990932016628,False,0.025337863222465735,0.03227178849503494,0.5647470535788282,0.2601929707726755,horizon_valid
pusht,42,5,1,964,55411,0.4001198677122597,0.015809636857103588,0.019674529271936487,0.46851247260095696,0.27248158306571235,-0.003864892414832899,-0.2444643384137141,0.4488379433290205,0.015809636857103588,0.019674529271936487,0.46851247260095696,0.27248158306571235,False,0.03262273598422053,0.04390589947042622,0.7996520646524652,0.4979154240458539,horizon_valid
pusht,42,5,2,761,39294,0.28373987262250333,0.0127068360518239,0.015163546084862636,0.5086959174189845,0.3210907924159055,-0.0024567100330387358,-0.19333766667164223,0.4935323713341218,0.0127068360518239,0.015163546084862636,0.5086959174189845,0.3210907924159055,False,0.027014522401796578,0.03432196725063466,0.8545841544582631,0.5688292128985843,horizon_valid
pusht,42,10,0,674,27365,0.29308756747493786,0.03737580408477239,0.057156171174511064,0.6252636307616641,0.3653457666959064,-0.019780367089738675,-0.5292292052065195,0.568107459587153,0.03737580408477239,0.057156171174511064,0.6252636307616641,0.3653457666959064,False,0.09025346942688352,0.1493576702046351,1.108069496852164,0.71737358171261,horizon_valid
