[cmd] /data/sicong/weitao/le-wm/.venv/bin/python /data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/train_predictors.py --dataset-name pusht --latent-cache /data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/assets/formal_region_risk/pusht_formal_v1/train_latent_cache.npz --pretrained-model /data/sicong/weitao/.stable_worldmodel/pusht/lewm_object.ckpt --partition-dir /data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/assets/formal_region_risk/pusht_formal_v1/partition/global --out-dir /data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/assets/formal_region_risk/pusht_formal_v1/training/global/train0 --train-seed 0 --epochs 50 --split-manifest /data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/assets/formal_region_risk/pusht_formal_v1/split_manifest.json --training-role global --device cuda
  [train] epoch 1/50  train_loss=0.016836  eval_loss=0.005002
  [train] epoch 2/50  train_loss=0.003788  eval_loss=0.003387
  [train] epoch 3/50  train_loss=0.003193  eval_loss=0.002974
  [train] epoch 4/50  train_loss=0.002904  eval_loss=0.002749
  [train] epoch 5/50  train_loss=0.002712  eval_loss=0.002563
  [train] epoch 6/50  train_loss=0.002567  eval_loss=0.002448
  [train] epoch 7/50  train_loss=0.002457  eval_loss=0.002360
  [train] epoch 8/50  train_loss=0.002368  eval_loss=0.002254
  [train] epoch 9/50  train_loss=0.002287  eval_loss=0.002257
  [train] epoch 10/50  train_loss=0.002218  eval_loss=0.002138
  [train] epoch 11/50  train_loss=0.002161  eval_loss=0.002083
  [train] epoch 12/50  train_loss=0.002106  eval_loss=0.002070
  [train] epoch 13/50  train_loss=0.002060  eval_loss=0.001992
  [train] epoch 14/50  train_loss=0.002018  eval_loss=0.001947
  [train] epoch 15/50  train_loss=0.001975  eval_loss=0.001932
  [train] epoch 16/50  train_loss=0.001941  eval_loss=0.001891
  [train] epoch 17/50  train_loss=0.001907  eval_loss=0.001851
  [train] epoch 18/50  train_loss=0.001876  eval_loss=0.001811
  [train] epoch 19/50  train_loss=0.001844  eval_loss=0.001803
  [train] epoch 20/50  train_loss=0.001818  eval_loss=0.001788
  [train] epoch 21/50  train_loss=0.001792  eval_loss=0.001743
  [train] epoch 22/50  train_loss=0.001768  eval_loss=0.001728
  [train] epoch 23/50  train_loss=0.001742  eval_loss=0.001712
  [train] epoch 24/50  train_loss=0.001723  eval_loss=0.001687
  [train] epoch 25/50  train_loss=0.001700  eval_loss=0.001684
  [train] epoch 26/50  train_loss=0.001681  eval_loss=0.001661
  [train] epoch 27/50  train_loss=0.001661  eval_loss=0.001630
  [train] epoch 28/50  train_loss=0.001645  eval_loss=0.001603
  [train] epoch 29/50  train_loss=0.001624  eval_loss=0.001596
  [train] epoch 30/50  train_loss=0.001608  eval_loss=0.001586
  [train] epoch 31/50  train_loss=0.001593  eval_loss=0.001554
  [train] epoch 32/50  train_loss=0.001575  eval_loss=0.001542
  [train] epoch 33/50  train_loss=0.001564  eval_loss=0.001521
  [train] epoch 34/50  train_loss=0.001550  eval_loss=0.001528
  [train] epoch 35/50  train_loss=0.001537  eval_loss=0.001548
  [train] epoch 36/50  train_loss=0.001521  eval_loss=0.001509
  [train] epoch 37/50  train_loss=0.001512  eval_loss=0.001483
  [train] epoch 38/50  train_loss=0.001498  eval_loss=0.001461
  [train] epoch 39/50  train_loss=0.001486  eval_loss=0.001441
  [train] epoch 40/50  train_loss=0.001473  eval_loss=0.001430
  [train] epoch 41/50  train_loss=0.001461  eval_loss=0.001430
  [train] epoch 42/50  train_loss=0.001450  eval_loss=0.001426
  [train] epoch 43/50  train_loss=0.001439  eval_loss=0.001412
  [train] epoch 44/50  train_loss=0.001433  eval_loss=0.001438
  [train] epoch 45/50  train_loss=0.001422  eval_loss=0.001373
  [train] epoch 46/50  train_loss=0.001415  eval_loss=0.001381
  [train] epoch 47/50  train_loss=0.001408  eval_loss=0.001401
  [train] epoch 48/50  train_loss=0.001393  eval_loss=0.001385
  [train] epoch 49/50  train_loss=0.001385  eval_loss=0.001369
  [train] epoch 50/50  train_loss=0.001377  eval_loss=0.001356
  [best] epoch 50  eval_loss=0.001356 (selected over 50 epochs)
[done] dataset=pusht train_seed=0 regions=1 -> /data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/assets/formal_region_risk/pusht_formal_v1/training/global/train0
[done] phase=train-one work_root=/data/sicong/weitao/LAP-Latent-Space-Auto-Partitioned-Fine-Tuning-for-World-Models/experiments/control_matrix/assets/formal_region_risk/pusht_formal_v1
