metric,loss_kind,estimate,ci_low,ci_high,horizon
correct_minus_global,mean_trajectory,0.0006098063996731735,0.00022608571496197935,0.0009870336508660308,1
correct_minus_global,terminal,0.0006098063996731735,0.00022608571496197935,0.0009870336508660308,1
correct_minus_wrong_mean,mean_trajectory,-0.12178277231689727,-0.12866246504527734,-0.11509962443434121,1
correct_minus_wrong_mean,terminal,-0.12178277231689727,-0.12866246504527734,-0.11509962443434121,1
correct_minus_wrong_best,mean_trajectory,-0.037230508253315774,-0.041868298409712436,-0.03289184946910308,1
correct_minus_wrong_best,terminal,-0.037230508253315774,-0.041868298409712436,-0.03289184946910308,1
correct_minus_global,mean_trajectory,0.006481558051800125,0.004742127279886693,0.008311799829180256,5
correct_minus_wrong_mean,mean_trajectory,-0.4173425655972006,-0.4445517989963379,-0.3903129050084822,5
correct_minus_wrong_best,mean_trajectory,-0.1803902921195224,-0.20318066691517594,-0.15824465518015723,5
correct_minus_global,terminal,0.017848461196275874,0.013762196691136605,0.022096957949352857,5
correct_minus_wrong_mean,terminal,-0.5935992181838405,-0.6296530620173546,-0.5574091553859208,5
correct_minus_wrong_best,terminal,-0.26734321284215423,-0.29931700407800704,-0.23576962720109695,5
correct_minus_global,mean_trajectory,0.031030516035228016,0.024260105517436913,0.038227840871020706,10
correct_minus_wrong_mean,mean_trajectory,-0.7148615789796022,-0.7604043387205884,-0.6699125972205743,10
correct_minus_wrong_best,mean_trajectory,-0.40038034055301286,-0.44595529828907343,-0.3559322269618916,10
correct_minus_global,terminal,0.12398358390270806,0.10177152453396772,0.14761611957392617,10
correct_minus_wrong_mean,terminal,-0.782600082015861,-0.8388835163093971,-0.7268111339925961,10
correct_minus_wrong_best,terminal,-0.40895743230371784,-0.47073405964220344,-0.3484750088364774,10
