model,task,varied_factor,n_alternatives,n_agree,agreement_rate,baseline_decision
lewm,tworoom,B,2,2,1.0,spectral
lewm,tworoom,M,2,2,1.0,spectral
lewm,tworoom,c_bg,2,2,1.0,spectral
lewm,tworoom,c_pert,2,2,1.0,spectral
lewm,tworoom,kNN,2,2,1.0,spectral
lewm,tworoom,rho,2,2,1.0,spectral
lewm,pusht,B,2,2,1.0,global
lewm,pusht,M,2,2,1.0,global
lewm,pusht,c_bg,2,2,1.0,global
lewm,pusht,c_pert,2,2,1.0,global
lewm,pusht,kNN,2,2,1.0,global
lewm,pusht,rho,2,2,1.0,global
lewm,reacher,B,2,2,1.0,global
lewm,reacher,M,2,2,1.0,global
lewm,reacher,c_bg,2,2,1.0,global
lewm,reacher,c_pert,2,2,1.0,global
lewm,reacher,kNN,2,2,1.0,global
lewm,reacher,rho,2,2,1.0,global
lewm,cube,B,2,2,1.0,global
lewm,cube,M,2,2,1.0,global
lewm,cube,c_bg,2,2,1.0,global
lewm,cube,c_pert,2,2,1.0,global
lewm,cube,kNN,2,2,1.0,global
lewm,cube,rho,2,2,1.0,global
