model,task,varied_factor,n_alternatives,n_agree,agreement_rate,baseline_decision
subjepa,tworoom,B,2,2,1.0,spectral
subjepa,tworoom,M,2,1,0.5,spectral
subjepa,tworoom,c_bg,2,1,0.5,spectral
subjepa,tworoom,c_pert,2,2,1.0,spectral
subjepa,tworoom,kNN,2,2,1.0,spectral
subjepa,tworoom,rho,2,2,1.0,spectral
subjepa,pusht,B,2,2,1.0,global
subjepa,pusht,M,2,2,1.0,global
subjepa,pusht,c_bg,2,2,1.0,global
subjepa,pusht,c_pert,2,2,1.0,global
subjepa,pusht,kNN,2,2,1.0,global
subjepa,pusht,rho,2,2,1.0,global
subjepa,reacher,B,2,2,1.0,global
subjepa,reacher,M,2,2,1.0,global
subjepa,reacher,c_bg,2,2,1.0,global
subjepa,reacher,c_pert,2,2,1.0,global
subjepa,reacher,kNN,2,2,1.0,global
subjepa,reacher,rho,2,2,1.0,global
subjepa,cube,B,2,2,1.0,global
subjepa,cube,M,2,2,1.0,global
subjepa,cube,c_bg,2,2,1.0,global
subjepa,cube,c_pert,2,2,1.0,global
subjepa,cube,kNN,2,2,1.0,global
subjepa,cube,rho,2,2,1.0,global
