model,task,varied_factor,varied_value,K,rho,c_pert,c_bg,num_landmarks,B,diagnostic_seeds,nominal_knn,perturb_knn,candidate_gap_min,perturbation_threshold_max,S,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,decision,reason,agreement_with_baseline,elapsed_sec,cache_hit
subjepa,tworoom,baseline,baseline,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.005488716529538973,0.9887743728774375,0.48345648622952453,0.4753990673982195,0.4887743728774375,0.008057418831305008,True,True,spectral,spectrally_nondegenerate,True,0.0022553069866262376,True
subjepa,tworoom,K,2,2,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4653008594001956,0.08851349380711193,0.8097714800673013,0.3767873655930837,0.482901707986535,0.30977148006730126,-0.1061143423934513,True,False,global,residual_gap_not_above_background,False,0.0019431239925324917,False
subjepa,tworoom,K,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.005488716529538973,0.9887743728774375,0.48345648622952453,0.4753990673982195,0.4887743728774375,0.008057418831305008,True,True,spectral,spectrally_nondegenerate,True,0.001933915016707033,True
subjepa,tworoom,K,4,4,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.12983817810863418,0.004858596859578346,0.962579597693421,0.12497958124905584,0.4555788940267779,0.46257959769342105,-0.3305993127777221,True,False,global,residual_gap_not_above_background,False,0.0019411990069784224,False
subjepa,tworoom,K,5,5,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.12453958739300588,0.03751517065693927,0.6987691107522802,0.08702441673606662,0.3734174262513853,0.1987691107522802,-0.28639300951531865,True,False,global,residual_gap_not_above_background,False,0.0019449169631116092,False
subjepa,tworoom,rho,0.4,3,0.4,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.005488716529538973,0.9887743728774375,0.48345648622952453,0.4753990673982195,0.5887743728774375,0.008057418831305008,True,True,spectral,spectrally_nondegenerate,True,0.0019236209918744862,True
subjepa,tworoom,rho,0.5,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.005488716529538973,0.9887743728774375,0.48345648622952453,0.4753990673982195,0.4887743728774375,0.008057418831305008,True,True,spectral,spectrally_nondegenerate,True,0.0019281950080767274,True
subjepa,tworoom,rho,0.6,3,0.6,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.005488716529538973,0.9887743728774375,0.48345648622952453,0.4753990673982195,0.38877437287743755,0.008057418831305008,True,True,spectral,spectrally_nondegenerate,True,0.00192704499932006,True
subjepa,tworoom,c_pert,1.5,3,0.5,1.5,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.00411653739715423,0.9915807796580781,0.4848286653619093,0.4753990673982195,0.4915807796580781,0.009429597963689751,True,True,spectral,spectrally_nondegenerate,True,0.0019272079807706177,True
subjepa,tworoom,c_pert,2.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.4889452027590635,0.005488716529538973,0.9887743728774375,0.48345648622952453,0.4753990673982195,0.4887743728774375,0.008057418831305008,True,True,spectral,spectrally_nondegenerate,True,0.001924640964716673,True
