task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,3,0,0,1,298757,294207,0.0353768500476096,0.016244329604424273,0.019132520443185322,1.105043179333386,0.21959140302974656,0.9671863109198184,0.7464677696924485
tworoom,3,0,0,2,298757,298499,0.03390469274243954,0.014819296184927153,0.019085396557512384,1.1504566036939283,0.18389000578491083,0.9848708559667851,0.8519269718342793
tworoom,3,0,1,2,294207,298499,0.047539337799915204,0.020769811641250843,0.02676952615866436,1.3139708477762595,0.035701397244835745,0.8972734716107488,0.5774642129897486
tworoom,3,1,0,1,284028,295456,0.04972980266363257,0.022516015315993294,0.027213787347639275,1.2184199998114336,0.001598225873930197,0.9253332580863546,0.7124467362697132
tworoom,3,1,0,2,284028,311979,0.03963117622256062,0.015276720014059412,0.02435445620850121,1.229556272483999,0.12483319096963033,0.9715633080834857,0.7721855852471946
tworoom,3,1,1,2,295456,311979,0.0381295833303523,0.013167812857866229,0.024961770472486076,1.2581850294909591,0.12643141684356043,0.964575008533784,0.7428958560376303
tworoom,3,2,0,1,282297,323721,0.03874424726745833,0.017390035267830437,0.021354211999627896,1.1835901394529207,0.09727475226884653,0.9530681980226487,0.707960239884189
tworoom,3,2,0,2,282297,285445,0.037694046117981585,0.014806043953834459,0.022888002164147127,1.2611347373132136,0.09063155689024957,0.965499115953797,0.7398863533200428
tworoom,3,2,1,2,323721,285445,0.027232210756178148,0.00884105551864775,0.018391155237530397,1.1205028065426859,0.0066431953785970575,0.9651153859390259,0.7324646204315493
pusht,3,0,0,1,796199,750570,0.027288885021621568,0.0064585405497818256,0.02083034447183974,0.33565675660100514,0.013550263039331044,0.7438862748665532,0.33501255578698724
