task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,3,0,891463,2,0.03390469274243954,0.03894029352998812,0.8706840567683283
tworoom,3,1,891463,2,0.0381295833303523,0.042496854072181824,0.8972330814320604
tworoom,3,2,891463,2,0.027232210756178148,0.03455683471387269,0.7880412364633007
pusht,3,0,2281233,2,0.027288885021621568,0.029138267163994935,0.9365308124891318
pusht,3,1,2281233,2,0.02662788067547696,0.029074924139620106,0.9158366346067749
pusht,3,2,2281233,2,0.02625296932255053,0.028989113479787314,0.9056147695187517
reacher,3,0,1980152,2,0.0155731996214653,0.024121236967318632,0.6456219323480429
reacher,3,1,1980152,2,0.015221445094054641,0.023380105313879632,0.6510426231920524
reacher,3,2,1980152,2,0.011723721663843997,0.017181581291934426,0.6823424145103268
cube,3,0,1980152,5,0.026782793039350182,0.0369384288893686,0.7250658418517265
cube,3,1,1980152,5,0.027358820740857485,0.03713665475374283,0.7367066560592703
cube,3,2,1980152,5,0.020962532560021566,0.0375897259209202,0.5576665444201888
