task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
tworoom,3,0,0,1,298757,294207,0.0353768500476096,0.016244329604424273,0.019132520443185322
tworoom,3,0,0,2,298757,298499,0.03390469274243954,0.014819296184927153,0.019085396557512384
tworoom,3,0,1,2,294207,298499,0.047539337799915204,0.020769811641250843,0.02676952615866436
tworoom,3,1,0,1,284028,295456,0.04972980266363257,0.022516015315993294,0.027213787347639275
tworoom,3,1,0,2,284028,311979,0.03963117622256062,0.015276720014059412,0.02435445620850121
tworoom,3,1,1,2,295456,311979,0.0381295833303523,0.013167812857866229,0.024961770472486076
tworoom,3,2,0,1,282297,323721,0.03874424726745833,0.017390035267830437,0.021354211999627896
tworoom,3,2,0,2,282297,285445,0.037694046117981585,0.014806043953834459,0.022888002164147127
tworoom,3,2,1,2,323721,285445,0.027232210756178148,0.00884105551864775,0.018391155237530397
pusht,3,0,0,1,796199,750570,0.027288885021621568,0.0064585405497818256,0.02083034447183974
pusht,3,0,0,2,796199,734464,0.02741904169491401,0.0034346570724407845,0.023984384622473227
pusht,3,0,1,2,750570,734464,0.03270687477544922,0.003315104714857143,0.029391770060592078
pusht,3,1,0,1,797808,816153,0.02662788067547696,0.0036153849520122903,0.023012495723464668
pusht,3,1,0,2,797808,667272,0.03294640375690343,0.007082651533072924,0.025863752223830506
pusht,3,1,1,2,816153,667272,0.027650487986479934,0.006356229608365042,0.021294258378114893
pusht,3,2,0,1,779464,697251,0.02926986333593954,0.006587195048916048,0.02268266828702349
pusht,3,2,0,2,779464,804518,0.02625296932255053,0.0032793765224698,0.02297359280008073
pusht,3,2,1,2,697251,804518,0.03144450778087187,0.004467756879336043,0.026976750901535826
reacher,3,0,0,1,650373,661417,0.028172354746741103,0.0008280384988588131,0.02734431624788229
reacher,3,0,0,2,650373,668362,0.028618156533749488,0.0013193831231429424,0.027298773410606544
reacher,3,0,1,2,661417,668362,0.0155731996214653,0.0003832461080831036,0.015189953513382197
reacher,3,1,0,1,668479,665296,0.029347416485402802,0.0005944348171569306,0.028752981668245872
reacher,3,1,0,2,668479,646377,0.025571454362181462,0.0005667001813013093,0.02500475418088015
reacher,3,1,1,2,665296,646377,0.015221445094054641,0.00024210934978623487,0.014979335744268405
reacher,3,2,0,1,655723,665508,0.018326116034230306,0.00034303459859627236,0.017983081435634034
reacher,3,2,0,2,655723,658921,0.02149490617772897,0.0005381729356234024,0.02095673324210557
reacher,3,2,1,2,665508,658921,0.011723721663843997,0.00020361836853847372,0.011520103295305523
cube,3,0,0,1,637643,663846,0.026782793039350182,0.00039563818257311014,0.026387154856777072
cube,3,0,0,2,637643,678663,0.04497893290578435,0.0003275374994558319,0.044651395406328516
cube,3,0,1,2,663846,678663,0.03905356072297129,0.00039424235856260083,0.03865931836440869
cube,3,1,0,1,641603,658410,0.027358820740857485,0.0004802329835149893,0.026878587757342497
cube,3,1,0,2,641603,680139,0.0425372072213712,0.0003824761150877248,0.042154731106283476
cube,3,1,1,2,658410,680139,0.041513936298999805,0.0006125026438387905,0.04090143365516102
cube,3,2,0,1,712031,637389,0.045843303219232134,0.0005354658244160636,0.04530783739481607
cube,3,2,0,2,712031,630732,0.04596334198350691,0.0008420401574625515,0.04512130182604436
cube,3,2,1,2,637389,630732,0.020962532560021566,0.0006902165337796724,0.020272316026241893
