task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,3,0,0,1,262451,349623,0.02807674761559404,0.014280110951776991,0.013796636663817051,1.1073061652113902,0.03773704098027447,0.9845222539342097,0.8900910361523213
tworoom,3,0,0,2,262451,279389,0.028754304726601645,0.01439587178007267,0.014358432946528974,1.0224257127643575,0.07948424583125109,0.9959255820071684,0.9159136131337403
tworoom,3,0,1,2,349623,279389,0.02874288118062134,0.013590524896012483,0.015152356284608856,1.117038886966619,0.11722128681152559,0.9855813555922818,0.8836628175792215
tworoom,3,1,0,1,290569,298509,0.027090092260215935,0.013166635636900115,0.013923456623315818,1.1413990053471146,0.10159670244469829,0.9874545822149685,0.8592922875907615
tworoom,3,1,0,2,290569,302385,0.029679703257433507,0.014058611622031633,0.015621091635401872,1.0505722801956718,0.09646308103813059,0.9722482900128806,0.7928724484523682
tworoom,3,1,1,2,298509,302385,0.02847430597174052,0.013394968788217812,0.015079337183522706,1.1078834950891843,0.19805978348282877,0.9901072052432625,0.8938176880961795
tworoom,3,2,0,1,299280,362787,0.02365106754854082,0.01090469660251404,0.012746370946026783,1.0596726242898227,0.018637357682467288,0.9416167159852784,0.6854741139058687
tworoom,3,2,0,2,299280,229396,0.027813615008340516,0.013269990842873456,0.01454362416546706,1.0412904455622565,0.15649212089922782,0.997783772132335,0.9472475486903954
tworoom,3,2,1,2,362787,229396,0.03112359332359084,0.01487639543389658,0.01624719788969426,1.145720113923011,0.1378547632167605,0.9898739997334202,0.8553131539966783
pusht,3,0,0,1,780123,716461,0.013336842802303125,0.004836403091430303,0.008500439710872823,0.15246545405453316,0.07549695254592466,0.5306891515208266,0.15482534271680276
pusht,3,0,0,2,780123,784649,0.012642952861381104,0.003771271497190858,0.008871681364190247,0.15856066333730023,0.06783188267492686,0.5374752502405378,0.1604214248786342
pusht,3,0,1,2,716461,784649,0.011655201772878942,0.00469102291842574,0.006964178854453201,0.13614823065706183,0.007665069870997908,0.49959749673499354,0.13603935557918836
pusht,3,1,0,1,748693,745395,0.012010444103423246,0.0027612460808298434,0.009249198022593403,0.1626788323322932,0.0958614722291856,0.5461300069975372,0.16622935006538078
pusht,3,1,0,2,748693,787145,0.013136734172657375,0.003377194561210354,0.00975953961144702,0.1851569235638092,0.04302943839757087,0.5741429453729363,0.1859075716204487
pusht,3,1,1,2,745395,787145,0.014500191646403208,0.0037893560651152767,0.010710835581287931,0.18415716657248593,0.0528320338316148,0.5731493835173698,0.18481750816217574
pusht,3,2,0,1,779316,775587,0.020090116491327314,0.004959890696072115,0.015130225795255199,0.2554324557081131,0.07209825859211065,0.6637540118786428,0.2557829185651306
pusht,3,2,0,2,779316,726330,0.01376386630389417,0.0041272820183106,0.009636584285583569,0.1751061770390988,0.008459841751634152,0.5638867766560979,0.17512809616900854
pusht,3,2,1,2,775587,726330,0.019384824614792514,0.004072523173142254,0.01531230144165026,0.2569123272203244,0.0636384168404764,0.6675341318904319,0.2583727912588569
reacher,3,0,0,1,619233,674492,0.03560005138614265,0.00224305551761348,0.03335699586852917,1.576357427982827,0.1711587967917474,0.8335634589533389,0.4315704341859216
reacher,3,0,0,2,619233,686427,0.032702086218509875,0.002478622143098617,0.03022346407541126,1.3537433790692046,0.113003284905894,0.9350866634533032,0.6480366621855225
reacher,3,0,1,2,674492,686427,0.028704143414895803,0.0023287450688683404,0.02637539834602746,1.4068515908872468,0.05815551188585348,0.909748702471788,0.5937440541239319
reacher,3,1,0,1,651593,649629,0.02868269220743249,0.001483054935522067,0.027199637271910423,1.3019832553783246,0.005851294986878008,0.9200321304619261,0.6964183119966887
reacher,3,1,0,2,651593,678930,0.03630421772874965,0.0015473482424256063,0.034756869486324046,1.4753378808034712,0.11022393054049885,0.9005079174386766,0.527024979148486
reacher,3,1,1,2,649629,678930,0.0385603377285165,0.002100019922095127,0.03646031780642137,1.5563990333313784,0.11607522552737681,0.8606755331756525,0.44713571420449133
reacher,3,2,0,1,711485,601790,0.031400646371073,0.002131434589572803,0.0292692117815002,1.4621226396872942,0.0795424251334015,0.9060955575047419,0.5380163389857514
reacher,3,2,0,2,711485,666877,0.029450898722750567,0.002036389847290106,0.02741450887546046,1.4166734127054457,0.04703812259680686,0.8771327272451996,0.582964155781672
reacher,3,2,1,2,601790,666877,0.03169958214452079,0.0013780453405400526,0.030321536803980736,1.4476922882900338,0.03250430253659462,0.881628846247487,0.5525224607826951
cube,3,0,0,1,673056,664685,0.01233462258830073,0.0003870355441726059,0.011947587044128124,0.2532552193818385,0.006073462564555361,0.7709595591742324,0.2476905265345987
cube,3,0,0,2,673056,642411,0.016925282393689053,0.0004069337365985201,0.016518348657090533,0.33991392292562306,0.022877549296718848,0.7663427050292059,0.28218787341230406
cube,3,0,1,2,664685,642411,0.01346275670092494,0.0003616794612579605,0.01310107723966698,0.27102551225640215,0.028951011861274252,0.748879721600604,0.2544339917932738
cube,3,1,0,1,698086,658535,0.02272123409580356,0.00036180847977177935,0.02235942561603178,0.43966817999640995,0.064330275098411,0.8266443872562329,0.3907018660962036
cube,3,1,0,2,698086,623531,0.014064978529372421,0.0003512567008989523,0.013713721828473469,0.278237742089541,0.03546280204934914,0.7974699965656142,0.27751440244602527
cube,3,1,1,2,658535,623531,0.01849388508268575,0.0005701491010219246,0.017923735981663823,0.34135134011765156,0.028867473049061863,0.766078549539279,0.3086019573122799
cube,3,2,0,1,626665,825049,0.014224243242215662,0.00027881313410487005,0.013945430108110791,0.2972975534676856,0.02655802851301122,0.7836456175191981,0.2809344994303211
cube,3,2,0,2,626665,528438,0.014688262344155118,0.0005522831333849175,0.0141359792107702,0.27915569404266094,0.047182616410840726,0.7813624330515695,0.27800708675636293
cube,3,2,1,2,825049,528438,0.016397825165303276,0.000725010915278332,0.015672814250024945,0.31638239078010255,0.07374064492385196,0.7517170959768485,0.2409957431279187
