task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,3,0,891463,2,0.02807674761559404,0.02852464450760567,0.9842978974937898
tworoom,3,1,891463,2,0.027090092260215935,0.02841470049646332,0.953382994960223
tworoom,3,2,891463,2,0.02365106754854082,0.027529425293490728,0.8591195528565235
pusht,3,0,2281233,2,0.011655201772878942,0.012544999145521056,0.9290715477681161
pusht,3,1,2281233,2,0.012010444103423246,0.013215789974161276,0.9087950192084885
pusht,3,2,2281233,2,0.01376386630389417,0.017746269136671333,0.7755921088479478
reacher,3,0,1980152,2,0.028704143414895803,0.032335427006516114,0.8876995318203608
reacher,3,1,1980152,2,0.02868269220743249,0.034515749221566215,0.8310030306255355
reacher,3,2,1980152,2,0.029450898722750567,0.030850375746114784,0.9546366295541647
cube,3,0,1980152,5,0.01233462258830073,0.014240887227638242,0.8661414412693405
cube,3,1,1980152,5,0.014064978529372421,0.01842669923595391,0.7632934335808248
cube,3,2,1980152,5,0.014224243242215662,0.015103443583891351,0.9417880871476618
