task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
tworoom,3,0,0,1,262451,349623,0.02807674761559404,0.014280110951776991,0.013796636663817051
tworoom,3,0,0,2,262451,279389,0.028754304726601645,0.01439587178007267,0.014358432946528974
tworoom,3,0,1,2,349623,279389,0.02874288118062134,0.013590524896012483,0.015152356284608856
tworoom,3,1,0,1,290569,298509,0.027090092260215935,0.013166635636900115,0.013923456623315818
tworoom,3,1,0,2,290569,302385,0.029679703257433507,0.014058611622031633,0.015621091635401872
tworoom,3,1,1,2,298509,302385,0.02847430597174052,0.013394968788217812,0.015079337183522706
tworoom,3,2,0,1,299280,362787,0.02365106754854082,0.01090469660251404,0.012746370946026783
tworoom,3,2,0,2,299280,229396,0.027813615008340516,0.013269990842873456,0.01454362416546706
tworoom,3,2,1,2,362787,229396,0.03112359332359084,0.01487639543389658,0.01624719788969426
pusht,3,0,0,1,780123,716461,0.013336842802303125,0.004836403091430303,0.008500439710872823
pusht,3,0,0,2,780123,784649,0.012642952861381104,0.003771271497190858,0.008871681364190247
pusht,3,0,1,2,716461,784649,0.011655201772878942,0.00469102291842574,0.006964178854453201
pusht,3,1,0,1,748693,745395,0.012010444103423246,0.0027612460808298434,0.009249198022593403
pusht,3,1,0,2,748693,787145,0.013136734172657375,0.003377194561210354,0.00975953961144702
pusht,3,1,1,2,745395,787145,0.014500191646403208,0.0037893560651152767,0.010710835581287931
pusht,3,2,0,1,779316,775587,0.020090116491327314,0.004959890696072115,0.015130225795255199
pusht,3,2,0,2,779316,726330,0.01376386630389417,0.0041272820183106,0.009636584285583569
pusht,3,2,1,2,775587,726330,0.019384824614792514,0.004072523173142254,0.01531230144165026
reacher,3,0,0,1,619233,674492,0.03560005138614265,0.00224305551761348,0.03335699586852917
reacher,3,0,0,2,619233,686427,0.032702086218509875,0.002478622143098617,0.03022346407541126
reacher,3,0,1,2,674492,686427,0.028704143414895803,0.0023287450688683404,0.02637539834602746
reacher,3,1,0,1,651593,649629,0.02868269220743249,0.001483054935522067,0.027199637271910423
reacher,3,1,0,2,651593,678930,0.03630421772874965,0.0015473482424256063,0.034756869486324046
reacher,3,1,1,2,649629,678930,0.0385603377285165,0.002100019922095127,0.03646031780642137
reacher,3,2,0,1,711485,601790,0.031400646371073,0.002131434589572803,0.0292692117815002
reacher,3,2,0,2,711485,666877,0.029450898722750567,0.002036389847290106,0.02741450887546046
reacher,3,2,1,2,601790,666877,0.03169958214452079,0.0013780453405400526,0.030321536803980736
cube,3,0,0,1,673056,664685,0.01233462258830073,0.0003870355441726059,0.011947587044128124
cube,3,0,0,2,673056,642411,0.016925282393689053,0.0004069337365985201,0.016518348657090533
cube,3,0,1,2,664685,642411,0.01346275670092494,0.0003616794612579605,0.01310107723966698
cube,3,1,0,1,698086,658535,0.02272123409580356,0.00036180847977177935,0.02235942561603178
cube,3,1,0,2,698086,623531,0.014064978529372421,0.0003512567008989523,0.013713721828473469
cube,3,1,1,2,658535,623531,0.01849388508268575,0.0005701491010219246,0.017923735981663823
cube,3,2,0,1,626665,825049,0.014224243242215662,0.00027881313410487005,0.013945430108110791
cube,3,2,0,2,626665,528438,0.014688262344155118,0.0005522831333849175,0.0141359792107702
cube,3,2,1,2,825049,528438,0.016397825165303276,0.000725010915278332,0.015672814250024945
