task,method,num_clusters,partition_seed,region_i,region_j,normalized_squared_bures
tworoom,controlled_parc,4,0,0,1,0.8506227103305944
tworoom,controlled_parc,4,0,0,2,0.810919530281053
tworoom,controlled_parc,4,0,0,3,0.890626420902191
tworoom,controlled_parc,4,0,1,2,0.8773165214639358
tworoom,controlled_parc,4,0,1,3,0.7325353314500928
tworoom,controlled_parc,4,0,2,3,0.8954208890453882
tworoom,controlled_parc,4,1,0,1,0.7264143504458387
tworoom,controlled_parc,4,1,0,2,0.9678512951079538
tworoom,controlled_parc,4,1,0,3,0.7947216417672114
tworoom,controlled_parc,4,1,1,2,0.8547455675959481
tworoom,controlled_parc,4,1,1,3,0.7892137007256744
tworoom,controlled_parc,4,1,2,3,0.8595642404344868
tworoom,controlled_parc,4,2,0,1,0.8283320548349736
tworoom,controlled_parc,4,2,0,2,0.7169116015312206
tworoom,controlled_parc,4,2,0,3,0.7948144275326736
tworoom,controlled_parc,4,2,1,2,0.8395039043563329
tworoom,controlled_parc,4,2,1,3,0.6007060366605228
tworoom,controlled_parc,4,2,2,3,0.8910917561686107
pusht,controlled_parc,4,0,0,1,0.4059358902925679
pusht,controlled_parc,4,0,0,2,0.5718330431976989
pusht,controlled_parc,4,0,0,3,0.3950901409526283
pusht,controlled_parc,4,0,1,2,0.4731360621737727
pusht,controlled_parc,4,0,1,3,0.4676140338384562
pusht,controlled_parc,4,0,2,3,0.5364660339384675
pusht,controlled_parc,4,1,0,1,0.669792853682769
pusht,controlled_parc,4,1,0,2,0.4301541897968379
pusht,controlled_parc,4,1,0,3,0.3994354087251376
pusht,controlled_parc,4,1,1,2,0.6278464885464466
pusht,controlled_parc,4,1,1,3,0.5700740132096337
pusht,controlled_parc,4,1,2,3,0.40774325220067625
pusht,controlled_parc,4,2,0,1,0.31018767797086055
pusht,controlled_parc,4,2,0,2,0.46527707555643516
pusht,controlled_parc,4,2,0,3,0.4125795602193668
pusht,controlled_parc,4,2,1,2,0.5771433724670656
pusht,controlled_parc,4,2,1,3,0.5427976299852395
pusht,controlled_parc,4,2,2,3,0.6196690758426235
reacher,controlled_parc,4,0,0,1,0.8861028319477334
reacher,controlled_parc,4,0,0,2,0.8261973127458853
reacher,controlled_parc,4,0,0,3,0.6293881880635516
reacher,controlled_parc,4,0,1,2,0.7796542648841923
reacher,controlled_parc,4,0,1,3,0.6087652568613218
reacher,controlled_parc,4,0,2,3,0.6636854127497416
reacher,controlled_parc,4,1,0,1,0.9480039224741393
reacher,controlled_parc,4,1,0,2,0.4231583261108992
reacher,controlled_parc,4,1,0,3,0.8992788244247754
reacher,controlled_parc,4,1,1,2,0.8059036970401655
reacher,controlled_parc,4,1,1,3,0.53609892303344
reacher,controlled_parc,4,1,2,3,0.6239923469379315
reacher,controlled_parc,4,2,0,1,0.5897620117887489
reacher,controlled_parc,4,2,0,2,0.7494832433199362
reacher,controlled_parc,4,2,0,3,0.5568223792479692
reacher,controlled_parc,4,2,1,2,0.7030628898043283
reacher,controlled_parc,4,2,1,3,0.9177679714609933
reacher,controlled_parc,4,2,2,3,0.7261931661802672
cube,controlled_parc,4,0,0,1,0.7337613022397305
cube,controlled_parc,4,0,0,2,0.4526689255376958
cube,controlled_parc,4,0,0,3,0.7541640929952609
cube,controlled_parc,4,0,1,2,0.7569295115204344
cube,controlled_parc,4,0,1,3,0.7451277027977976
cube,controlled_parc,4,0,2,3,0.5657640953178574
cube,controlled_parc,4,1,0,1,0.321852972289238
cube,controlled_parc,4,1,0,2,0.8264637520135059
cube,controlled_parc,4,1,0,3,0.48656554672929275
cube,controlled_parc,4,1,1,2,0.8076927232335654
cube,controlled_parc,4,1,1,3,0.5466897684307487
cube,controlled_parc,4,1,2,3,0.7659069496249121
cube,controlled_parc,4,2,0,1,0.6977170625048532
cube,controlled_parc,4,2,0,2,0.696706685569358
cube,controlled_parc,4,2,0,3,0.49468490339492754
cube,controlled_parc,4,2,1,2,0.7537525197733619
cube,controlled_parc,4,2,1,3,0.6279372799745971
cube,controlled_parc,4,2,2,3,0.5809624572757283
