task,partition_method,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,mean_pairwise_response,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
tworoom,controlled_parc,4,0,0.9817564062068753,7.57351608127177e-05,0.0,0.9149566666666666,4.068292140960693,0.3094592680068087,0.00034347138098191293,0.4034676176571973,0.006505686881796906,0.0064916283646442325,0.04544082896682198,0.03808907345679477,0.8382125573590439,0.48571428571428577,-0.028571428571428574,0.6388836975255598,0.7325353314500928,1.015067249502679,0.03526357652708836,0.9588195968003352,0.8206800371099119,0.12168207281360731
tworoom,controlled_parc,4,1,0.9817564062068753,7.57351608127177e-05,0.0,0.9225416666666667,4.107418537139893,0.31136705312445057,0.00037123465109830696,0.4381894174422613,0.007549686568481382,0.007527265936199208,0.05090138744525203,0.04008175529790911,0.7874393471301704,0.8285714285714287,-0.4285714285714286,0.7980163743496836,0.7264143504458387,1.0282043493811164,0.021274587823407486,0.9545930513448418,0.8206800371099119,0.12168207281360731
tworoom,controlled_parc,4,2,0.9817564062068753,7.57351608127177e-05,0.0,0.9132083333333333,3.5421807765960693,0.30277316355709843,0.0003328661554728058,0.3894169353366993,0.007641918676857918,0.007632519072948885,0.04874503063861125,0.042378186615420886,0.8693847569736238,0.8285714285714287,0.4285714285714286,0.6917838701368723,0.6007060366605228,1.0097487402169256,0.00979367130377049,0.9141418505304809,0.8206800371099119,0.12168207281360731
pusht,controlled_parc,4,0,0.9638540498717841,0.0015123212105939698,0.0,0.8438583333333334,1.0590407848358154,0.41611097281251874,0.014567476727542154,0.779575914761701,0.002113908417402949,0.00213066882205736,0.04209224059587763,0.03430649415107013,0.8150313137388555,0.7714285714285715,0.7142857142857143,0.2968160001432233,0.3950901409526283,0.39649031693481707,0.01861068029772217,0.7955401499564668,0.4668276329923221,0.33013094944494964
pusht,controlled_parc,4,1,0.9638540498717841,0.0015123212105939698,0.0,0.8368983333333333,1.1009013652801514,0.42122793358418753,0.014871803577281805,0.7952775807151125,0.0016829781494259735,0.0016902172903297365,0.0471807480249308,0.03305583678221124,0.7006212950405998,0.8857142857142858,0.8857142857142858,0.25890761402018153,0.3994354087251376,0.3942644694296359,0.0030055032415714457,0.7949309242086926,0.4668276329923221,0.33013094944494964
pusht,controlled_parc,4,2,0.9638540498717841,0.0015123212105939698,0.0,0.8393966666666667,1.0389221906661987,0.3950013970103416,0.014548531684802022,0.809055851229336,0.0015231882608200931,0.0015073010939937411,0.04160455284929876,0.02467090963776181,0.592985814007556,0.942857142857143,0.7142857142857143,0.23670019234578699,0.31018767797086055,0.30937011697229144,0.05132819115302582,0.722398470989913,0.4668276329923221,0.33013094944494964
reacher,controlled_parc,4,0,0.9768231068065463,0.00011726978387305298,0.0,0.945705,6.405869483947754,0.3894582762662467,0.0003048894851148074,0.756281696204501,0.0003016652731992318,0.0003017638224047292,0.041367349844115754,0.020952761685802013,0.5065048103095348,0.6,0.028571428571428574,0.6636090397044325,0.6087652568613218,1.1427644977354083,0.1417982992043144,0.9276857647080524,0.9023812438919899,0.13368589046944734
reacher,controlled_parc,4,1,0.9768231068065463,0.00011726978387305298,0.0,0.9408166666666666,5.825173377990723,0.40169829686230646,0.0003109449515348719,0.7317879030393191,0.0003770181133097091,0.0003771622208745146,0.04329303027698572,0.031019612019936905,0.7165035993432577,-0.2,-0.6571428571428573,0.6938505216470829,0.4231583261108992,1.048559590059946,0.006468650381278148,0.8834169265117496,0.9023812438919899,0.13368589046944734
reacher,controlled_parc,4,2,0.9768231068065463,0.00011726978387305298,0.0,0.9458983333333333,5.878498554229736,0.39494191743459217,0.00030350573654117747,0.7393582274528693,0.00033987065697904423,0.00033993337765573156,0.0436011756792584,0.030642042027158062,0.7027801785109856,0.6,0.6571428571428573,0.6696693005464341,0.5568223792479692,1.0816935030578354,0.0004271682435804609,0.9009028403581871,0.9023812438919899,0.13368589046944734
cube,controlled_parc,4,0,0.9856522224156701,0.0010843552256641908,0.0,0.8398283333333333,1.0661693811416626,0.3013048014813582,0.011876129767651858,0.6953685045092663,0.00022827618840406779,0.00018710949537214565,0.0664154319831848,0.03627106688717839,0.5461240829745951,0.2571428571428572,0.3142857142857143,0.3803827939804157,0.4526689255376958,0.47348533726734043,0.02753655426421747,0.8639923343322626,0.9599395035076935,0.2919653672366025
cube,controlled_parc,4,1,0.9856522224156701,0.0010843552256641908,0.0,0.80459,0.9565219879150391,0.2876283182855188,0.01185334005977973,0.6483075998427111,0.00018188759767807496,0.00028823695696318587,0.05513600828646534,0.024951401520433906,0.4525427628129351,-0.14285714285714288,-0.3142857142857143,0.3304296935525346,0.321852972289238,0.3286033882834075,0.008263226474288298,0.786170240529945,0.9599395035076935,0.2919653672366025
cube,controlled_parc,4,2,0.9856522224156701,0.0010843552256641908,0.0,0.83084,1.0572820901870728,0.2935692211024099,0.012126064294235146,0.7199837809209496,0.00023411133843121926,0.00023308844716090138,0.060534617207142115,0.03959217373489521,0.6540418616907346,0.8857142857142858,0.942857142857143,0.4501170338693998,0.49468490339492754,0.5509451207540929,0.010809513360930495,0.8895733312103687,0.9599395035076935,0.2919653672366025
