task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
tworoom,0,0,0,60.0,57.99999999999999,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train0/eval0/results.json,37b8893070e6606953ffcf26d7722941ade072de286e00e96c38a50c0d7495b6,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,0,0,1,66.0,66.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train0/eval1/results.json,61f02f5019480f874d94244a46180a629d60f674f808acaeffaa6e5164cf4ad5,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,0,0,2,57.99999999999999,56.00000000000001,1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train0/eval2/results.json,9b2e3819b4827bae5cdd3fd98187eba03a5d09fed35e980111b8055cfad9e63d,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,0,0,3,52.0,52.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train0/eval3/results.json,2ddd801370525c2e99c1412d7b31b716a9defea1e2964149cd0c61b77946f3d6,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,0,0,4,57.99999999999999,64.0,-6.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train0/eval4/results.json,4b4f50ba40fc8f3c36574466178f2b8974d445b33383e7f6119fd50c5abe9768,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,0,42,0,57.99999999999999,57.99999999999999,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train42/eval0/results.json,7951a85499829c8ac0bb7a4539fbec3869dafc9f82bf0dedc4a97ed6fca22d3f,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,0,42,1,64.0,62.0,2.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train42/eval1/results.json,c09d0619eb9570344b879a6e5e4d277b404a29b8430803aaf3b848d9eda0b983,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,0,42,2,56.00000000000001,57.99999999999999,-1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train42/eval2/results.json,021e57f30be94bb2d6d78ca279b20a657768caabff67364dc6203c66bfcad20c,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,0,42,3,56.00000000000001,54.0,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train42/eval3/results.json,88d595aa60c1b22f2d679d9f40a4685a7ea0505cda80eb390881a536c238d668,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,0,42,4,60.0,60.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train42/eval4/results.json,baca8366ec85c1b2f9b31f5e9023d3d3dcb932b7ec2f555b2254901f2d58808e,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,0,625,0,62.0,54.0,8.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train625/eval0/results.json,1fad10e5d9ed1f34d0e3e6efe782a450e39c09e62219011289fe6ad0d12b9405,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,0,625,1,66.0,62.0,4.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train625/eval1/results.json,d6a8861337c277ad3d1b49cac02dcfc36cc0bf9ae1477823bffec38f8d54f865,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,0,625,2,52.0,54.0,-2.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train625/eval2/results.json,a15067452b8fec9e3d6820dffe8c6ae486612b0a4812ab0051f1754f8e967aa8,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,0,625,3,56.00000000000001,54.0,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train625/eval3/results.json,cddfe0242ade8b7a5b3d560ece563bb5a9e818e8f6cfb56faa9ba181ae385c57,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,0,625,4,60.0,60.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition0_train625/eval4/results.json,9b65fffbff91bb7c253557973c46cf5eeca498cd175c59700e476f7b2a1d6a7d,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
tworoom,1,0,0,64.0,57.99999999999999,6.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train0/eval0/results.json,e31979d06763c6110e8b840231860a9fbba5636f2dfb862784b8092507fafb2d,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,1,0,1,64.0,66.0,-2.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train0/eval1/results.json,fd589bc4814cee9075e6043470f0de5c7f050a1c7d95a2e81237a3eb27946de8,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,1,0,2,57.99999999999999,56.00000000000001,1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train0/eval2/results.json,865e03379b51c8fecab9f7db650d5c37cf3d49892b3cd99651ebf24483986235,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,1,0,3,52.0,52.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train0/eval3/results.json,0433e5f1271352305fd63933c788967f16100c702da6b8665b26da76ddbaa6b3,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,1,0,4,52.0,64.0,-12.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train0/eval4/results.json,ea7d5780fcfabc614fc067faf476a60ef35a4836d8a5ee8537bfe7adcd1a71cc,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,1,42,0,62.0,57.99999999999999,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train42/eval0/results.json,f36c8d48acecf45020383b1bd787cc9196b5b6e9071d72b612bc589aab3b0d45,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,1,42,1,64.0,62.0,2.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train42/eval1/results.json,4d5d014b1026bfaefa2821e0dbf8e2d332b3935c479384fd5f9c28edee801c82,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,1,42,2,56.00000000000001,57.99999999999999,-1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train42/eval2/results.json,40e08675321c628c841bb4ea42e4d9b962ee32a548b8e74af16693ede9987902,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,1,42,3,54.0,54.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train42/eval3/results.json,37524ef088abe03e62cc549b0234813aaf964213345a96a0e01c8df21e2c0905,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,1,42,4,60.0,60.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train42/eval4/results.json,8d2a9e3c1fd91bbe6c8cf442689a1836a5fc4c518550283f06fa28546fa686c3,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,1,625,0,60.0,54.0,6.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train625/eval0/results.json,c7b1c4fbfa312c94a3166f3d40f9524dc46fafdaefb925285da1529fb08d3ec0,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,1,625,1,66.0,62.0,4.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train625/eval1/results.json,ba54c867fbb979f72f7593552d00458ff307364b16de2609b1bc1eb1eb99c5bc,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,1,625,2,62.0,54.0,8.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train625/eval2/results.json,a2f732aa4f25e1e870759f61c6802a50b7a650789c3c394ca5c3d3893d17b98a,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,1,625,3,54.0,54.0,0.0,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train625/eval3/results.json,532ab40cc1712b0f4c0c6df78398677d26e9c6ea05018bee4ab554afe6a3cd55,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,1,625,4,56.00000000000001,60.0,-3.999999999999993,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition1_train625/eval4/results.json,13148c488adbc2946a7de30c4515b1a66c6607093acf84ace726fe6ed8bcc0c7,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
tworoom,2,0,0,60.0,57.99999999999999,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/controlled_parc/partition2_train0/eval0/results.json,cab8bc387573cded60ccd3e19d3f7480fe79df5ca5d2c15b31c7c32a2088d50d,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
