task,partition_seed,transition_count,action_dim,action_residual_velocity_eta2,between_residual_energy_per_transition,total_residual_variance_per_transition
tworoom,0,891463,2,0.00046233012018281606,0.072106286073173,155.96276972969122
tworoom,1,891463,2,0.00041727152021410523,0.06507882202191069,155.96276972969122
tworoom,2,891463,2,0.0004329309635676855,0.06752111217976027,155.96276972969122
pusht,0,2281233,2,0.003549196401641085,0.007478419552206555,2.107074026320061
pusht,1,2281233,2,0.0032405561019834407,0.006828091593322292,2.107074026320061
pusht,2,2281233,2,0.002892338553705544,0.006094371441837083,2.107074026320061
reacher,0,1980152,2,5.913353162185107e-05,0.0008021368346400482,13.564838977816809
reacher,1,1980152,2,6.237595953590747e-05,0.0008461198471914018,13.564838977816809
reacher,2,1980152,2,5.993884748684282e-05,0.0008130608146749425,13.564838977816809
cube,0,1980152,5,0.00019775074156599625,0.0008222556588751022,4.158040836477404
cube,1,1980152,5,0.0002154509946523694,0.0008958540340242269,4.158040836477404
cube,2,1980152,5,0.0002107555404990109,0.0008763301439087547,4.158040836477404
