task,partition_seed,transition_count,action_dim,affine_response_contrast_ratio,mean_action_contrast_ratio,action_slope_contrast_ratio
tworoom,0,891463,2,0.006486981336197061,0.0005241714317013342,0.005962809904495727
tworoom,1,891463,2,0.006440937087425726,0.00048026298002786086,0.005960674107397865
tworoom,2,891463,2,0.006475141772794204,0.0004990765445918397,0.005976065228202364
pusht,0,2281233,2,0.022384855374675782,0.0036498737330613214,0.018734981641614457
pusht,1,2281233,2,0.02201188668440212,0.0033509413962672045,0.018660945288134917
pusht,2,2281233,2,0.022700813210732328,0.0029976793347065273,0.0197031338760258
reacher,0,1980152,2,0.005791222615427474,5.908692021391942e-05,0.005732135695213555
reacher,1,1980152,2,0.005850655532931134,6.232839045752302e-05,0.005788327142473612
reacher,2,1980152,2,0.00577755005488962,5.988456808671532e-05,0.005717665486802905
cube,0,1980152,5,0.03154147758555223,0.0003327983246442019,0.031208679260908024
cube,1,1980152,5,0.03209167217495054,0.0003327571353460683,0.03175891503960448
cube,2,1980152,5,0.031763297216545375,0.000325751795592377,0.031437545420953006
