task,partition_seed,horizon,pair_count,persistence,crossing_rate,minimum_region_persistence
tworoom,0,1,891463,0.9401825987169405,0.05981740128305946,0.9257346922986086
tworoom,0,5,839322,0.8527239843588039,0.14727601564119608,0.82187840920361
tworoom,0,10,789072,0.7494525214429102,0.2505474785570898,0.7034262030854248
tworoom,1,1,891463,0.9414894392700538,0.058510560729946204,0.9285216802976937
tworoom,1,5,839322,0.8532851515866378,0.14671484841336224,0.8261024899544377
tworoom,1,10,789072,0.74885688504978,0.25114311495022,0.7064184438453339
tworoom,2,1,891463,0.9411125307500143,0.05888746924998567,0.9282224995542877
tworoom,2,5,839322,0.852990866437434,0.14700913356256595,0.825957776243383
tworoom,2,10,789072,0.7485261167548716,0.2514738832451284,0.7070020332582965
pusht,0,1,2281233,0.9862381440212377,0.013761855978762338,0.9796402095431302
pusht,0,5,2183189,0.9367356651210683,0.06326433487893168,0.9049065532622425
pusht,0,10,2089014,0.8814359310181741,0.11856406898182592,0.8182579609746081
pusht,1,1,2281233,0.9857213182520155,0.014278681747984523,0.9779925584273581
pusht,1,5,2183189,0.9356762057705494,0.06432379422945056,0.8998025150525332
pusht,1,10,2089014,0.880613054771294,0.11938694522870597,0.811408953002306
pusht,2,1,2281233,0.9847665714111623,0.015233428588837694,0.9787219652084517
pusht,2,5,2183189,0.9304828853571542,0.06951711464284582,0.9003793884954797
pusht,2,10,2089014,0.8712004802265566,0.1287995197734434,0.810114841734262
reacher,0,1,1980152,0.9712466517721872,0.028753348227812836,0.9706081490261952
reacher,0,5,1927492,0.914644522519419,0.08535547748058103,0.9125542061526788
reacher,0,10,1876802,0.8690378633441354,0.13096213665586465,0.8659437517149506
reacher,1,1,1980152,0.9720955765011979,0.027904423498802067,0.9710632513845738
reacher,1,5,1927492,0.9161656702077103,0.08383432979228966,0.9145376779516617
reacher,1,10,1876802,0.870956019867839,0.129043980132161,0.8687824609911553
reacher,2,1,1980152,0.9721511277922099,0.027848872207790087,0.9709747329846898
reacher,2,5,1927492,0.9157060055242772,0.08429399447572283,0.9128891730290848
reacher,2,10,1876802,0.8705228361862359,0.12947716381376406,0.8661696892909233
cube,0,1,1980152,0.9881367692985185,0.011863230701481542,0.9862409835384679
cube,0,5,1927492,0.9531173151432016,0.04688268485679836,0.9444553111990377
cube,0,10,1876802,0.9175176710169746,0.08248232898302543,0.9010033930861919
cube,1,1,1980152,0.9873605662595599,0.012639433740440076,0.9826811975076278
cube,1,5,1927492,0.9510820278372102,0.04891797216278981,0.9350227544301223
cube,1,10,1876802,0.915832890203655,0.08416710979634501,0.8895607906897885
cube,2,1,1980152,0.9874449032195508,0.012555096780449193,0.9828645282951025
cube,2,5,1927492,0.951000056031361,0.04899994396863905,0.9347755654438452
cube,2,10,1876802,0.9157385808412395,0.08426141915876051,0.8914187113336981
