task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,2,0,0,1,447626,443837,0.00817094544973772,0.00046280754991331375,0.007708137899824406,1.0016286014295064,0.0009399294215188496,0.9842177919182308,0.8973239973047493
tworoom,2,1,0,1,448448,443015,0.008034270376563154,0.00041433877152541527,0.007619931605037739,0.9959288715595005,0.015716833729000186,0.984205865457929,0.9016567827190419
tworoom,2,2,0,1,444650,446813,0.008167463541425155,0.0004362330002056465,0.007731230541219508,1.003089926347239,0.003579159771396481,0.9844930544534155,0.8978482622899067
tworoom,3,0,0,1,324476,287978,0.014647012180892774,0.0018382677532561187,0.012808744427636656,1.0516032168416949,0.11494952260013645,0.9599714117326135,0.8220256845304686
tworoom,3,0,0,2,324476,279009,0.01474273938241,0.0018304582432441849,0.012912281139165815,1.0449219664457783,0.09893155852433094,0.9631694466664391,0.8441512003012168
tworoom,3,0,1,2,287978,279009,0.011256214767805221,0.0007066130295613375,0.010549601738243883,0.9620814456927482,0.01601796407580552,0.9991689220893402,0.9611689874238991
tworoom,3,1,0,1,288384,322283,0.01528271013697059,0.0020795817249174586,0.013203128412053133,1.0621893544162553,0.1084624989093819,0.959807480198562,0.825330606553071
tworoom,3,1,0,2,288384,280796,0.011341336321795252,0.0007818512714311898,0.010559485050364062,0.964791623551366,0.013356096385673732,0.9991255408679881,0.9632786895564484
tworoom,3,1,1,2,322283,280796,0.014563325019102537,0.001832683310489627,0.01273064170861291,1.0362730495210137,0.1218185952950554,0.9654752282580112,0.8542646214070605
tworoom,3,2,0,1,320970,293482,0.014767245396108955,0.0018905885856390185,0.012876656810469936,1.0520385073239311,0.124424733422322,0.9633471760231977,0.8325426034735729
tworoom,3,2,0,2,320970,277011,0.014592957988779893,0.0017019510193896346,0.012891006969390259,1.041388681831939,0.1117837181215647,0.9640940890342695,0.8452129425137821
tworoom,3,2,1,2,293482,277011,0.011218851610074698,0.000760063105012211,0.010458788505062487,0.9625178115858204,0.012641015300757352,0.9991842989384597,0.9619327452609573
tworoom,4,0,0,1,195111,194730,0.015493976089929001,0.0007431478296376856,0.014750828260291315,0.9742687309106683,0.010588588949212883,0.9986308488517646,0.9569682265867185
tworoom,4,0,0,2,195111,256043,0.016738425999572967,0.0010309491610316736,0.015707476838541293,0.9950026506088641,0.030772537937657864,0.9999148623628715,0.9922245960818271
tworoom,4,0,0,3,195111,245579,0.017767275087929635,0.0014787900192459855,0.01628848506868365,1.0317708086686652,0.030823133279774255,0.9210332593122851,0.6939873678588798
tworoom,4,0,1,2,194730,256043,0.018183517303322575,0.0015652936925000763,0.016618223610822498,1.0635512104397193,0.04136112688687079,0.9378426428352985,0.7454969382773781
tworoom,4,0,1,3,194730,245579,0.015658982789789947,0.0010146878782412827,0.014644294911548665,0.9370704004803423,0.04141172222898715,0.9973165521441838,0.9305508765185768
tworoom,4,0,2,3,256043,245579,0.01895720921110944,0.0017949592812645497,0.017162249929844893,1.0546596771834145,5.0595342116389837e-05,0.9716509036607256,0.820150382646494
tworoom,4,1,0,1,248225,199569,0.01563994025523307,0.0009658864516450617,0.014674053803588008,0.9397536460681666,0.04623014410460487,0.9974743810963943,0.9330327767929748
tworoom,4,1,0,2,248225,192404,0.016959328176317637,0.001139745195860485,0.01581958298045715,1.0208171029307418,0.05409951653614123,0.9249369212601523,0.6966604885913423
