task,num_clusters,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
cube,2,0,0.6984435092624603,0.00034321876086334656,0.8077924967971312,0.5502341148667198
cube,2,1,0.6933701011793776,0.004094266006451977,0.8094705761535015,0.5505111757880327
cube,2,2,0.6951912204725854,0.0069294912142936855,0.8080568067862035,0.5534367958280612
cube,3,0,0.7445116120596361,0.02283989354219715,0.8472957322597144,0.5745248874351954
cube,3,1,0.7412306679293849,0.025946714936732132,0.8482273879478548,0.5693880989014407
cube,3,2,0.7397370900273155,0.021900795218529685,0.850511435106491,0.5696238810731385
cube,4,0,0.7381387370189901,0.004672046039543178,0.8619948827387361,0.6003056463488001
cube,4,1,0.7627358242745464,0.02969986009121253,0.8947016333465434,0.6548606376278567
cube,4,2,0.763470682938886,0.030373438483511612,0.891294844684399,0.6519684988928894
pusht,2,0,0.497392119984269,0.06798320653460517,0.8441606794319334,0.49752536708106304
pusht,2,1,0.50338926843877,0.09782834519567614,0.8458760505015599,0.5042841217445115
pusht,2,2,0.4944042975973356,0.08772199768586103,0.8415634959968837,0.4951006745279858
pusht,3,0,0.5075663954576424,0.0002561081385028802,0.866041022436391,0.5093231995773957
pusht,3,1,0.5071189811398464,0.03207410172075549,0.8657434682163347,0.5072767538644904
pusht,3,2,0.45782514272321295,0.04054301447178775,0.8372712361330314,0.4588827662869377
pusht,4,0,0.5064945489854957,0.0350652345031223,0.8582699246549524,0.5177865007518174
pusht,4,1,0.5205110684205554,0.011493078832099948,0.8633276236640202,0.5254831356345072
pusht,4,2,0.5597343964862089,0.006486343809925597,0.8866587224154759,0.5594645756164013
reacher,2,0,1.8299095888387424,0.03353139770774938,0.6991164842470573,0.17055500139688015
reacher,2,1,1.8293994428458458,0.045850521876573215,0.6961225014063963,0.17147128164461667
reacher,2,2,1.8328661268663962,0.02099118207148734,0.6966828324191804,0.1673116979915818
reacher,3,0,0.9929958268538784,0.012171712605958852,0.8664178858337385,0.4381672092328788
reacher,3,1,0.9523147078714789,0.009841613418242611,0.8607903378393128,0.4155364092759826
reacher,3,2,1.0179086563248285,0.015267639673512346,0.8597463872251605,0.4313166291987288
reacher,4,0,0.8966796261975278,0.02217433986343958,0.852091559241954,0.3818377682068574
reacher,4,1,0.921939647652677,0.014176666073311174,0.8497381928006222,0.3694210683505043
reacher,4,2,0.8760571823745403,0.013845991217940237,0.8557522905647529,0.395293506605664
tworoom,2,0,1.0016286014295064,0.0009399294215188496,0.9842177919182308,0.8973239973047493
tworoom,2,1,0.9959288715595005,0.015716833729000186,0.984205865457929,0.9016567827190419
tworoom,2,2,1.003089926347239,0.003579159771396481,0.9844930544534155,0.8978482622899067
tworoom,3,0,0.9620814456927482,0.01601796407580552,0.9599714117326135,0.8220256845304686
tworoom,3,1,0.964791623551366,0.013356096385673732,0.959807480198562,0.825330606553071
tworoom,3,2,0.9625178115858204,0.012641015300757352,0.9633471760231977,0.8325426034735729
tworoom,4,0,0.9370704004803423,5.0595342116389837e-05,0.9210332593122851,0.6939873678588798
tworoom,4,1,0.9397536460681666,0.007869372431536311,0.9249369212601523,0.6966604885913423
tworoom,4,2,0.9364828664914111,0.016931979703277998,0.9293466661999448,0.704458850764675
