task,num_clusters,partition_seed,transition_count,affine_response_contrast_ratio,contrast_per_region_df,mean_action_contrast_ratio,action_slope_contrast_ratio
tworoom,2,0,891463,0.0020715982386989534,0.0020715982386989534,0.00014050119124639826,0.001931097047452555
tworoom,2,1,891463,0.002036974113136734,0.002036974113136734,0.00012810892434279066,0.0019088651887939434
tworoom,2,2,891463,0.0020707531577667244,0.0020707531577667244,0.00013392004081206748,0.0019368331169546573
tworoom,3,0,891463,0.004569989344432281,0.0022849946722161407,0.0005198720092118801,0.0040501173352204016
tworoom,3,1,891463,0.004631814960805978,0.002315907480402989,0.0005553510139936718,0.004076463946812305
tworoom,3,2,891463,0.004560781877656701,0.0022803909388283503,0.0005158408806172098,0.00404494099703949
pusht,2,0,2281233,0.008928962129010298,0.008928962129010298,0.0009140450807067067,0.00801491704830359
pusht,2,1,2281233,0.009123980463728905,0.009123980463728905,0.000935574638572171,0.008188405825156736
pusht,2,2,2281233,0.008864082096108544,0.008864082096108544,0.0008680718749328987,0.007996010221175645
pusht,3,0,2281233,0.015139012018622099,0.0075695060093110495,0.0018969846561148881,0.013242027362507213
pusht,3,1,2281233,0.015422343880020478,0.007711171940010239,0.001980132618163125,0.01344221126185735
pusht,3,2,2281233,0.015518219908609857,0.007759109954304929,0.001790635610011652,0.013727584298598204
reacher,2,0,1980152,0.00430690290662799,0.00430690290662799,5.9763692584310456e-05,0.004247139214043679
reacher,2,1,1980152,0.004292739459610513,0.004292739459610513,5.9901527002825285e-05,0.004232837932607689
reacher,2,2,1980152,0.0043980911282281805,0.0043980911282281805,6.613413953183132e-05,0.004331956988696349
reacher,3,0,1980152,0.004992819893063985,0.0024964099465319923,5.939029620871185e-05,0.004933429596855273
reacher,3,1,1980152,0.005038050861031396,0.002519025430515698,7.41049397955003e-05,0.004963945921235897
reacher,3,2,1980152,0.005105387155121222,0.002552693577560611,6.537894894960935e-05,0.005040008206171612
cube,2,0,1980152,0.011435477661993342,0.011435477661993342,0.0001293647447122308,0.011306112917281109
cube,2,1,1980152,0.01130838091490923,0.01130838091490923,0.00012526386518323367,0.011183117049725997
cube,2,2,1980152,0.01133716653023833,0.01133716653023833,0.00012699828993160142,0.011210168240306729
cube,3,0,1980152,0.02222778356184046,0.01111389178092023,0.00024487395217040854,0.021982909609670052
cube,3,1,1980152,0.021842790172889634,0.010921395086444817,0.00023572768066592497,0.02160706249222371
cube,3,2,1980152,0.021627377696344523,0.010813688848172262,0.00023411626019404562,0.021393261436150484
