metric,complexity_level,task,mean,seed_min,seed_max,status,reason,source_csv
jacobian_cosine_distance,6,cube,0.7547817480774741,0.7381387370189901,0.763470682938886,rejected,Reacher exceeds Cube; no K=4 positive/negative separation.,k4_jacobian_seed_summary.csv
jacobian_cosine_distance,6,pusht,0.5289133379640867,0.5064945489854957,0.5597343964862089,rejected,Reacher exceeds Cube; no K=4 positive/negative separation.,k4_jacobian_seed_summary.csv
jacobian_cosine_distance,6,reacher,0.8982254854082483,0.8760571823745403,0.921939647652677,rejected,Reacher exceeds Cube; no K=4 positive/negative separation.,k4_jacobian_seed_summary.csv
jacobian_cosine_distance,6,tworoom,0.9377689710133068,0.9364828664914112,0.9397536460681666,rejected,Reacher exceeds Cube; no K=4 positive/negative separation.,k4_jacobian_seed_summary.csv
jacobian_log_scale_distance,7,cube,0.021581781538089068,0.0046720460395431,0.0303734384835116,rejected,TwoRoom is near zero; scale change is not necessary for regional advantage.,k4_jacobian_seed_summary.csv
jacobian_log_scale_distance,7,pusht,0.0176815523817159,0.0064863438099255,0.0350652345031223,rejected,TwoRoom is near zero; scale change is not necessary for regional advantage.,k4_jacobian_seed_summary.csv
jacobian_log_scale_distance,7,reacher,0.016732332384896933,0.0138459912179402,0.0221743398634395,rejected,TwoRoom is near zero; scale change is not necessary for regional advantage.,k4_jacobian_seed_summary.csv
jacobian_log_scale_distance,7,tworoom,0.008283982492310197,5.059534211638984e-05,0.0169319797032779,rejected,TwoRoom is near zero; scale change is not necessary for regional advantage.,k4_jacobian_seed_summary.csv
jacobian_subspace_chordal_distance,8,cube,0.8826637869232262,0.8619948827387361,0.8947016333465434,promising_with_check1,"With Check 1, all three partition seeds separate TwoRoom/Cube from Reacher, but PushT overlaps without Check 1.",k4_jacobian_seed_summary.csv
jacobian_subspace_chordal_distance,8,pusht,0.8694187569114828,0.8582699246549524,0.8866587224154759,promising_with_check1,"With Check 1, all three partition seeds separate TwoRoom/Cube from Reacher, but PushT overlaps without Check 1.",k4_jacobian_seed_summary.csv
jacobian_subspace_chordal_distance,8,reacher,0.8525273475357764,0.8497381928006222,0.8557522905647529,promising_with_check1,"With Check 1, all three partition seeds separate TwoRoom/Cube from Reacher, but PushT overlaps without Check 1.",k4_jacobian_seed_summary.csv
jacobian_subspace_chordal_distance,8,tworoom,0.9251056155907941,0.9210332593122852,0.9293466661999448,promising_with_check1,"With Check 1, all three partition seeds separate TwoRoom/Cube from Reacher, but PushT overlaps without Check 1.",k4_jacobian_seed_summary.csv
jacobian_bures_distance,9,cube,0.6357115942898487,0.6003056463488001,0.6548606376278567,strongest_fixed_k4_candidate,All partition seeds separate TwoRoom/Cube from PushT/Reacher; minimum positive minus maximum non-positive/inconclusive is positive.,k4_jacobian_seed_summary.csv
jacobian_bures_distance,9,pusht,0.5342447373342419,0.5177865007518174,0.5594645756164013,strongest_fixed_k4_candidate,All partition seeds separate TwoRoom/Cube from PushT/Reacher; minimum positive minus maximum non-positive/inconclusive is positive.,k4_jacobian_seed_summary.csv
jacobian_bures_distance,9,reacher,0.38218411438767524,0.3694210683505043,0.395293506605664,strongest_fixed_k4_candidate,All partition seeds separate TwoRoom/Cube from PushT/Reacher; minimum positive minus maximum non-positive/inconclusive is positive.,k4_jacobian_seed_summary.csv
jacobian_bures_distance,9,tworoom,0.6983689024049657,0.6939873678588798,0.704458850764675,strongest_fixed_k4_candidate,All partition seeds separate TwoRoom/Cube from PushT/Reacher; minimum positive minus maximum non-positive/inconclusive is positive.,k4_jacobian_seed_summary.csv
boundary_min_jacobian_bures_distance,10,cube,0.5964573076062206,0.5587519609626178,0.645613281972942,rejected,Boundary-local estimate is noisy and Reacher exceeds Cube/TwoRoom on some seeds.,k4_jacobian_seed_summary.csv
boundary_min_jacobian_bures_distance,10,pusht,0.4005624940485611,0.3884596204651179,0.4131509191300752,rejected,Boundary-local estimate is noisy and Reacher exceeds Cube/TwoRoom on some seeds.,k4_jacobian_seed_summary.csv
boundary_min_jacobian_bures_distance,10,reacher,0.6056124286432526,0.5032422227229791,0.7128485041955644,rejected,Boundary-local estimate is noisy and Reacher exceeds Cube/TwoRoom on some seeds.,k4_jacobian_seed_summary.csv
boundary_min_jacobian_bures_distance,10,tworoom,0.4821620469144163,0.461944383409717,0.500459373977992,rejected,Boundary-local estimate is noisy and Reacher exceeds Cube/TwoRoom on some seeds.,k4_jacobian_seed_summary.csv
