task,num_clusters,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance,boundary_min_jacobian_bures_distance,boundary_transition_count
tworoom,4,0,0.9370704004803423,5.0595342116389837e-05,0.9210332593122851,0.6939873678588798,0.461944383409717,1305.0
tworoom,4,1,0.9397536460681666,0.007869372431536311,0.9249369212601523,0.6966604885913423,0.500459373977992,1265.0
tworoom,4,2,0.9364828664914111,0.016931979703277998,0.9293466661999448,0.704458850764675,0.48408238335553994,1315.0
pusht,4,0,0.5064945489854957,0.0350652345031223,0.8582699246549524,0.5177865007518174,0.40007694255049037,5716.0
pusht,4,1,0.5205110684205554,0.011493078832099948,0.8633276236640202,0.5254831356345072,0.41315091913007523,5812.0
pusht,4,2,0.5597343964862089,0.006486343809925597,0.8866587224154759,0.5594645756164013,0.3884596204651179,6098.0
reacher,4,0,0.8966796261975278,0.02217433986343958,0.852091559241954,0.3818377682068574,0.7128485041955644,2409.0
reacher,4,1,0.921939647652677,0.014176666073311174,0.8497381928006222,0.3694210683505043,0.5032422227229791,2353.0
reacher,4,2,0.8760571823745403,0.013845991217940237,0.8557522905647529,0.395293506605664,0.6007465590112144,2393.0
cube,4,0,0.7381387370189901,0.004672046039543178,0.8619948827387361,0.6003056463488001,0.5587519609626178,3758.0
cube,4,1,0.7627358242745464,0.02969986009121253,0.8947016333465434,0.6548606376278567,0.645613281972942,3997.0
cube,4,2,0.763470682938886,0.030373438483511612,0.891294844684399,0.6519684988928894,0.5850066798831022,3978.0
