task,partition_seed,audit_count,knn,knn_purity,cross_edge_fraction,any_mixing_fraction,majority_mismatch_fraction,local_label_entropy
tworoom,0,20000,30,0.9840200000000001,0.015979999999999883,0.06625,0.0042,0.02292938329240797
tworoom,1,20000,30,0.9840483333333333,0.015951666666666697,0.06415,0.00405,0.0227170147737391
tworoom,2,20000,30,0.9837383333333333,0.01626166666666673,0.06675,0.00395,0.023204957312503813
pusht,0,20000,30,0.9349766666666667,0.06502333333333332,0.28825,0.02725,0.09448498568751593
pusht,1,20000,30,0.9315116666666668,0.06848833333333315,0.29335,0.0293,0.09833432231355252
pusht,2,20000,30,0.9287016666666669,0.07129833333333313,0.3088,0.0291,0.10278192369683474
reacher,0,20000,30,0.9691516666666666,0.030848333333333366,0.12175,0.0078,0.04406084072541092
reacher,1,20000,30,0.9703516666666666,0.029648333333333388,0.11895,0.0085,0.04232019497574963
reacher,2,20000,30,0.9704266666666667,0.02957333333333334,0.12095,0.0073,0.04271127899639619
cube,0,20000,30,0.9559983333333334,0.044001666666666606,0.18955,0.013,0.06430163650219753
cube,1,20000,30,0.9527333333333334,0.04726666666666657,0.20165,0.0137,0.06975533364377194
cube,2,20000,30,0.9540216666666668,0.04597833333333323,0.20065,0.01285,0.06832866021664037
