task,partition_seed,transition_count,latent_velocity_eta2,between_velocity_energy_per_transition,total_velocity_variance_per_transition
tworoom,0,891463,0.00042629684344267925,0.06660867779122992,156.2495214679821
tworoom,1,891463,0.00038126982433150507,0.05957322760197927,156.2495214679821
tworoom,2,891463,0.0003981624087173299,0.062212685828621904,156.2495214679821
pusht,0,2281233,0.0034929793338850735,0.007538544519561229,2.158199004050925
pusht,1,2281233,0.0032009034168305477,0.006908186566266891,2.158199004050925
pusht,2,2281233,0.0028415665281618548,0.00613266605102336,2.158199004050925
reacher,0,1980152,5.9131795750331e-05,0.0008024308680881954,13.570209696932867
reacher,1,1980152,6.238282143971004e-05,0.0008465479684231848,13.570209696932867
reacher,2,1980152,5.994009688684526e-05,0.0008133996840089631,13.570209696932867
cube,0,1980152,0.00019092163550328762,0.0008092520857250476,4.238660975178544
cube,1,1980152,0.00021128342208625399,0.000895558795899181,4.238660975178544
cube,2,1980152,0.0002065684129229086,0.0008755734705608999,4.238660975178544
