task,partition_seed,audit_count,same_k,margin_radius_ratio_mean,margin_radius_ratio_median,margin_radius_ratio_p10,separated_fraction
tworoom,0,20000,30,10.087409019470215,8.399975776672363,1.9513252973556519,0.93375
tworoom,1,20000,30,10.088054656982422,8.415175437927246,2.065277099609375,0.93585
tworoom,2,20000,30,10.040781021118164,8.382851600646973,1.9623780250549316,0.93325
pusht,0,20000,30,2.0121068954467773,1.7429687976837158,0.34925583004951477,0.71175
pusht,1,20000,30,2.0139310359954834,1.7074406147003174,0.3501565158367157,0.70665
pusht,2,20000,30,1.8534269332885742,1.5907198190689087,0.33458879590034485,0.6912
reacher,0,20000,30,9.608248710632324,10.835908889770508,0.6634190678596497,0.87825
reacher,1,20000,30,9.705124855041504,11.014820098876953,0.6963751316070557,0.88105
reacher,2,20000,30,9.726166725158691,11.052392959594727,0.6804181933403015,0.87905
cube,0,20000,30,2.8739376068115234,3.103480815887451,0.4530795216560364,0.81045
cube,1,20000,30,2.861422300338745,3.103405475616455,0.41917914152145386,0.79835
cube,2,20000,30,2.852342128753662,3.0959107875823975,0.4306286871433258,0.79935
