task,partition_seed,region_left,region_right,left_transition_fraction,right_transition_fraction,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,latent_centroid_distance,symmetric_boundary_distance
tworoom,0,0,1,0.21886606623045488,0.2184386788907672,0.01549396609687827,0.0007431478333773183,0.014750818263500953,0.3034299314022064,0.8113963901996613
tworoom,0,0,2,0.21886606623045488,0.2872166315371474,0.016738430086679686,0.0010309494079111079,0.015707480678768572,0.27604836225509644,0.8887812197208405
tworoom,0,0,3,0.21886606623045488,0.27547862334163054,0.017767269278908485,0.0014787894658467816,0.016288479813061703,0.2722690999507904,0.7099782228469849
tworoom,0,1,2,0.2184386788907672,0.2872166315371474,0.0181835014541142,0.0015652945236648058,0.016618206930449395,0.27428802847862244,0.7026456296443939
tworoom,0,1,3,0.2184386788907672,0.27547862334163054,0.015658975929696707,0.0010146878690547158,0.014644288060641993,0.2770216464996338,0.8905971050262451
tworoom,0,2,3,0.2872166315371474,0.27547862334163054,0.01895720484863407,0.0017949598724618448,0.017162244976172226,0.2793644964694977,0.750584065914154
tworoom,1,0,1,0.27844677793694184,0.22386683463026508,0.01563993560136716,0.0009658864479942127,0.014674049153372948,0.2743023633956909,0.8919183015823364
tworoom,1,0,2,0.27844677793694184,0.21582948479073163,0.016959322248144247,0.001139744875309045,0.015819577372835205,0.2695057690143585,0.7104986011981964
tworoom,1,0,3,0.27844677793694184,0.2818569026420614,0.0190788550770536,0.0015942381367128958,0.017484616940340706,0.28015944361686707,0.7514721155166626
tworoom,1,1,2,0.22386683463026508,0.21582948479073163,0.015084251412621678,0.0006828911907433615,0.014401360221878315,0.30142703652381897,0.8115180432796478
tworoom,1,1,3,0.22386683463026508,0.2818569026420614,0.01863839318956872,0.0016310853539664894,0.017007307835602236,0.2747146189212799,0.7053362131118774
tworoom,1,2,3,0.21582948479073163,0.2818569026420614,0.016523761624263018,0.0009375044102978056,0.015586257213965215,0.2779635787010193,0.8884511888027191
tworoom,2,0,1,0.22560442777770923,0.27914675090272956,0.015864743391932005,0.0009826994325619564,0.014882043959370051,0.27380380034446716,0.8920122981071472
tworoom,2,0,2,0.22560442777770923,0.28313569940648126,0.01959229543198257,0.0018203980055268834,0.017771897426455685,0.27400681376457214,0.7077021896839142
tworoom,2,0,3,0.22560442777770923,0.21211312191307996,0.015217257527716448,0.0006874738573419499,0.014529783670374498,0.30221906304359436,0.7976486384868622
tworoom,2,1,2,0.27914675090272956,0.28313569940648126,0.019078252651265507,0.0017322855955806567,0.017345967055684846,0.2794898450374603,0.7530424892902374
tworoom,2,1,3,0.27914675090272956,0.21211312191307996,0.01630111648693714,0.001009727586012968,0.01529138890092417,0.2684255540370941,0.7079426348209381
tworoom,2,2,3,0.28313569940648126,0.21211312191307996,0.0163810888696424,0.0009663985662464068,0.01541469030339599,0.27747851610183716,0.885151594877243
pusht,0,0,1,0.21516960345567507,0.3257773318201166,0.058878169716390295,0.006665535409171661,0.05221263430721864,0.263627290725708,0.7119086980819702
pusht,0,0,2,0.21516960345567507,0.29094178455247666,0.06574656964742187,0.01346478197402045,0.05228178767340142,0.25513139367103577,0.5531550347805023
pusht,0,0,3,0.21516960345567507,0.1681112801717317,0.06147712125797836,0.008374107650395432,0.05310301360758292,0.3038666248321533,0.5997328162193298
pusht,0,1,2,0.3257773318201166,0.29094178455247666,0.05855871766399801,0.01069107860136755,0.04786763906263047,0.23401837050914764,0.5332600474357605
pusht,0,1,3,0.3257773318201166,0.1681112801717317,0.05297871542772866,0.006610774948303525,0.04636794047942513,0.2755002975463867,0.5805298388004303
pusht,0,2,3,0.29094178455247666,0.1681112801717317,0.06717848023400397,0.012432775837825785,0.05474570439617817,0.26391077041625977,0.6606068909168243
pusht,1,0,1,0.2079406180780306,0.31411916275102103,0.058612596686497424,0.005754588450966137,0.052858008235531294,0.26590245962142944,0.712718278169632
pusht,1,0,2,0.2079406180780306,0.31076264458737884,0.06225664069395209,0.011247322415553367,0.05100931827839872,0.24732284247875214,0.548531174659729
pusht,1,0,3,0.2079406180780306,0.1671775745835695,0.0587266448023659,0.006741211141095672,0.05198543366127021,0.30139270424842834,0.5961133241653442
pusht,1,1,2,0.31411916275102103,0.31076264458737884,0.05919703403012071,0.010243251060716815,0.04895378296940388,0.23074886202812195,0.5334687232971191
pusht,1,1,3,0.31411916275102103,0.1671775745835695,0.05242887261485117,0.006467665688848884,0.045961206926002286,0.2709057033061981,0.5515936017036438
pusht,1,2,3,0.31076264458737884,0.1671775745835695,0.0656129149127219,0.011903513840977412,0.05370940107174449,0.2551659643650055,0.6797551214694977
pusht,2,0,1,0.27580830191392114,0.21832403792159766,0.07238735663411065,0.007274079421379705,0.06511327721273093,0.2702166736125946,0.7347920835018158
