task,partition_seed,mean_pairwise_response,minimum_pairwise_response,pairwise_uniformity_min_over_mean,pairwise_response_cv,response_centroid_spearman,response_boundary_spearman
cube,0,0.0859084884917918,0.0713274228962237,0.8302721203496197,0.0895390262699009,0.4285714285714286,-0.3714285714285715
cube,1,0.0844080663809228,0.0737533143429301,0.8737709262336512,0.0800233706161659,0.6571428571428573,-0.8857142857142858
cube,2,0.083428176840026,0.0739537546752903,0.8864361835027919,0.0642387880399412,0.2571428571428572,-0.8285714285714287
pusht,0,0.0608029623236028,0.0529787154277286,0.8713179983716958,0.0856173824020778,0.0285714285714285,0.3142857142857143
pusht,1,0.0594724506221134,0.0524288726148511,0.8815657008458039,0.0738463012051267,-0.6,-0.1428571428571428
pusht,2,0.062085600098743,0.0562982439949894,0.9067842447374478,0.0923391707083923,0.3714285714285715,0.3714285714285715
reacher,0,0.015450942414951,0.0112779643276425,0.7299208050845141,0.2535120999036209,-0.0857142857142857,0.7142857142857143
reacher,1,0.0156230382825635,0.0117961903032343,0.7550509759386025,0.258773865531639,-0.2571428571428572,0.6571428571428573
reacher,2,0.015404498661742,0.0110826332467883,0.719441345633999,0.2577441884274275,-0.1428571428571428,0.7714285714285715
tworoom,0,0.0171332310802755,0.0154939660968782,0.9043228256386224,0.0819142718162028,-0.3714285714285715,-0.6571428571428573
tworoom,1,0.0169874255028164,0.0150842514126216,0.8879660088447868,0.0940155429280923,-0.1428571428571428,-0.6571428571428573
tworoom,2,0.0170724645148501,0.0152172575277164,0.8913336663637169,0.1059073083096723,-0.0857142857142857,-0.6
