task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,2,0,891463,2,0.00817094544973772,0.00817094544973772,1.0
tworoom,2,1,891463,2,0.008034270376563154,0.008034270376563154,1.0
tworoom,2,2,891463,2,0.008167463541425155,0.008167463541425155,1.0
tworoom,3,0,891463,2,0.011256214767805221,0.013548655443702665,0.8307993966321613
tworoom,3,1,891463,2,0.011341336321795252,0.013729123825956127,0.8260786679156793
tworoom,3,2,891463,2,0.011218851610074698,0.013526351664987848,0.8294070631857091
tworoom,4,0,891463,2,0.015493976089929001,0.017133231080275594,0.9043230676883963
tworoom,4,1,891463,2,0.0150842601947792,0.01698742550281648,0.8879662308027936
tworoom,4,2,891463,2,0.015217266182214225,0.017072464514850127,0.8913338884949975
pusht,2,0,2281233,2,0.03613632851927882,0.03613632851927882,1.0
pusht,2,1,2281233,2,0.03691913387790186,0.03691913387790186,1.0
pusht,2,2,2281233,2,0.03579057875300339,0.03579057875300339,1.0
pusht,3,0,2281233,2,0.042462172690136066,0.04660928753606428,0.9110238524302832
pusht,3,1,2281233,2,0.04479276203808128,0.04691160088028068,0.9548333716513594
pusht,3,2,2281233,2,0.0430593709030072,0.046719115132158116,0.9216649498005623
pusht,4,0,2281233,2,0.05297871542658486,0.06080296232360283,0.8713179983669856
pusht,4,1,2281233,2,0.05242887261416346,0.059472450622113426,0.8815657008535818
pusht,4,2,2281233,2,0.05629824399481184,0.06208560009874305,0.9067842447406999
reacher,2,0,1980152,2,0.017227600543507745,0.017227600543507745,1.0
reacher,2,1,1980152,2,0.017171562148377263,0.017171562148377263,1.0
reacher,2,2,1980152,2,0.017592536670337583,0.017592536670337583,1.0
reacher,3,0,1980152,2,0.010568520003997174,0.014773338022733376,0.7153779320377167
reacher,3,1,1980152,2,0.010313932012074239,0.014853885325634161,0.6943592054177854
reacher,3,2,1980152,2,0.010992516003872386,0.015132295417767871,0.7264275313423577
reacher,4,0,1980152,2,0.011277964326476196,0.015450942414951091,0.7299208050612552
reacher,4,1,1980152,2,0.01179619030232402,0.015623038282563511,0.7550509759352928
reacher,4,2,1980152,2,0.01108263324641184,0.015404498661742053,0.7194413456593812
cube,2,0,1980152,5,0.0441317492832856,0.0441317492832856,1.0
cube,2,1,1980152,5,0.04365622941017072,0.04365622941017072,1.0
cube,2,2,1980152,5,0.043811960397178364,0.043811960397178364,1.0
cube,3,0,1980152,5,0.06447752851950289,0.06584257936548925,0.9792679621737019
cube,3,1,1980152,5,0.06315825883114107,0.06477612602880377,0.9750237117152809
cube,3,2,1980152,5,0.06251521642398265,0.06428027578305977,0.9725411980957575
cube,4,0,1980152,5,0.07132742289522208,0.08590848849179189,0.8302721203392729
cube,4,1,1980152,5,0.07375331434262829,0.08440806638092285,0.87377092622628
cube,4,2,1980152,5,0.07395375467562564,0.08342817684002601,0.8864361835142623
