task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
tworoom,2,0,0,1,447626,443837,0.00817094544973772,0.00046280754991331375,0.007708137899824406
tworoom,2,1,0,1,448448,443015,0.008034270376563154,0.00041433877152541527,0.007619931605037739
tworoom,2,2,0,1,444650,446813,0.008167463541425155,0.0004362330002056465,0.007731230541219508
tworoom,3,0,0,1,324476,287978,0.014647012180892774,0.0018382677532561187,0.012808744427636656
tworoom,3,0,0,2,324476,279009,0.01474273938241,0.0018304582432441849,0.012912281139165815
tworoom,3,0,1,2,287978,279009,0.011256214767805221,0.0007066130295613375,0.010549601738243883
tworoom,3,1,0,1,288384,322283,0.01528271013697059,0.0020795817249174586,0.013203128412053133
tworoom,3,1,0,2,288384,280796,0.011341336321795252,0.0007818512714311898,0.010559485050364062
tworoom,3,1,1,2,322283,280796,0.014563325019102537,0.001832683310489627,0.01273064170861291
tworoom,3,2,0,1,320970,293482,0.014767245396108955,0.0018905885856390185,0.012876656810469936
tworoom,3,2,0,2,320970,277011,0.014592957988779893,0.0017019510193896346,0.012891006969390259
tworoom,3,2,1,2,293482,277011,0.011218851610074698,0.000760063105012211,0.010458788505062487
tworoom,4,0,0,1,195111,194730,0.015493976089929001,0.0007431478296376856,0.014750828260291315
tworoom,4,0,0,2,195111,256043,0.016738425999572967,0.0010309491610316736,0.015707476838541293
tworoom,4,0,0,3,195111,245579,0.017767275087929635,0.0014787900192459855,0.01628848506868365
tworoom,4,0,1,2,194730,256043,0.018183517303322575,0.0015652936925000763,0.016618223610822498
tworoom,4,0,1,3,194730,245579,0.015658982789789947,0.0010146878782412827,0.014644294911548665
tworoom,4,0,2,3,256043,245579,0.01895720921110944,0.0017949592812645497,0.017162249929844893
tworoom,4,1,0,1,248225,199569,0.01563994025523307,0.0009658864516450617,0.014674053803588008
tworoom,4,1,0,2,248225,192404,0.016959328176317637,0.001139745195860485,0.01581958298045715
tworoom,4,1,0,3,248225,251265,0.019078859867351264,0.0015942367390707059,0.017484623128280558
tworoom,4,1,1,2,199569,192404,0.0150842601947792,0.0006828913325827244,0.014401368862196475
tworoom,4,1,1,3,199569,251265,0.018638409318365926,0.0016310846643317785,0.017007324654034147
tworoom,4,1,2,3,192404,251265,0.016523755204851786,0.0009375038802357131,0.015586251324616072
tworoom,4,2,0,1,201118,248849,0.015864747581934176,0.0009826997560589141,0.014882047825875261
tworoom,4,2,0,2,201118,252405,0.0195923128155596,0.0018203976090938115,0.017771915206465788
tworoom,4,2,0,3,201118,189091,0.015217266182214225,0.0006874739327065081,0.014529792249507716
tworoom,4,2,1,2,248849,252405,0.0190782573012976,0.0017322849499660413,0.01734597235133156
tworoom,4,2,1,3,248849,189091,0.016301120725919705,0.0010097279739391429,0.015291392751980564
tworoom,4,2,2,3,252405,189091,0.01638108248217546,0.0009663983024578045,0.015414684179717655
pusht,2,0,0,1,977819,1303414,0.03613632851927882,0.0035986469768844883,0.03253768154239433
pusht,2,1,0,1,979006,1302227,0.03691913387790186,0.00363988540797161,0.03327924846993025
pusht,2,2,0,1,1287438,993795,0.03579057875300339,0.0033791850502523,0.03241139370275109
pusht,3,0,0,1,613681,694970,0.04950194952716172,0.004421380307429518,0.0450805692197322
pusht,3,0,0,2,613681,972582,0.04786374039089509,0.006866420321357778,0.04099732006953731
pusht,3,0,1,2,694970,972582,0.042462172690136066,0.005439354019086092,0.03702281867104997
pusht,3,1,0,1,923963,738998,0.04479276203808128,0.00627384677409052,0.03851891526399076
pusht,3,1,0,2,923963,618272,0.04727706324341849,0.006814637468426185,0.0404624257749923
pusht,3,1,1,2,738998,618272,0.048664977359342276,0.004162919372864927,0.04450205798647735
pusht,3,2,0,1,741757,922523,0.0445140261186905,0.004661971634328956,0.03985205448436154
pusht,3,2,0,2,741757,616953,0.0430593709030072,0.006200697762187556,0.03685867314081965
pusht,3,2,1,2,922523,616953,0.05258394837477666,0.005330836086883157,0.0472531122878935
pusht,4,0,0,1,490852,743174,0.0588781697166586,0.006665535409660491,0.05221263430699811
