task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,4,0,0,1,195111,194730,0.01549397607424733,0.0007431478295380955,0.014750828244709234,0.9742687309104536,0.010588588952060052,0.9986308488517646,0.9569682265857976
tworoom,4,0,0,2,195111,256043,0.016738425984958293,0.0010309491608627903,0.0157074768240955,0.9950026506087842,0.0307725380673682,0.9999148623628717,0.9922245960819598
tworoom,4,0,0,3,195111,245579,0.017767275072599155,0.0014787900191382563,0.016288485053460897,1.0317708086713642,0.030823133392536915,0.9210332593122854,0.693987367857589
tworoom,4,0,1,2,194730,256043,0.0181835172879226,0.0015652936923596548,0.016618223595562944,1.063551210442975,0.04136112701942827,0.9378426428352986,0.7454969382767711
tworoom,4,0,1,3,194730,245579,0.01565898277587941,0.0010146878780753384,0.014644294897804075,0.9370704004800912,0.04141172234459691,0.9973165521441839,0.9305508765181935
tworoom,4,0,2,3,256043,245579,0.01895720919696521,0.001794959281047554,0.017162249915917655,1.0546596771827186,5.0595325168644045e-05,0.9716509036607259,0.8201503826437029
tworoom,4,1,0,1,248225,199569,0.015639940241553064,0.000965886451477761,0.014674053790075301,0.9397536460679858,0.046230144212108235,0.9974743810963949,0.9330327767926152
tworoom,4,1,0,2,248225,192404,0.01695932816143983,0.0011397451957471639,0.015819582965692667,1.020817102933774,0.05409951666055285,0.9249369212601521,0.6966604885911593
tworoom,4,1,0,3,248225,251265,0.019078859852896528,0.0015942367388528803,0.017484623114043647,1.056437826719025,0.013026922023597773,0.9728990657540503,0.8218914527372974
tworoom,4,1,1,2,199569,192404,0.015084260179552254,0.0006828913324833274,0.014401368847068927,0.9746364811798124,0.007869372448444652,0.9986178927092557,0.9573980515422904
tworoom,4,1,1,3,199569,251265,0.01863840930271715,0.001631084664195698,0.017007324638521455,1.0745504928196883,0.05925706623570613,0.933717571403444,0.7379126132881864
tworoom,4,1,2,3,192404,251265,0.016523755190191777,0.0009375038800626583,0.01558625131012912,0.9919131767685434,0.06712643868415077,0.9998783984706041,0.9911519328830651
tworoom,4,2,0,1,201118,248849,0.015864747568085244,0.0009826997558910007,0.014882047812194243,0.9364828664912344,0.017811584305504686,0.9972801360711716,0.9305793736947079
tworoom,4,2,0,2,201118,252405,0.019592312799249105,0.0018203976089500233,0.01777191519029908,1.0991400394489104,0.03474356401420612,0.932010090152895,0.749279452768281
tworoom,4,2,0,3,201118,189091,0.015217266166793825,0.0006874739326095817,0.014529792234184245,0.9724450321073642,0.04468199950075175,0.998594049684162,0.9571413681508038
tworoom,4,2,1,2,248849,252405,0.019078257287003565,0.0017322849497492965,0.017345972337254267,1.0542931015613204,0.01693197970870157,0.9734007333108612,0.8278866420621768
tworoom,4,2,1,3,248849,189091,0.016301120711437335,0.0010097279738240422,0.015291392737613292,1.0044287039615614,0.06249358380625638,0.9293466661999452,0.7044588507651739
tworoom,4,2,2,3,252405,189091,0.016381082467584927,0.0009663983022754408,0.015414684165309488,0.994307626928947,0.07942556351495789,0.9997857369371751,0.9852532202274017
