task,num_clusters,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
cube,4,0,0.7381387370373962,0.004672046026336527,0.8619948827387361,0.6003056463503333
cube,4,1,0.76273582428581,0.029699860023146216,0.8947016333465432,0.6548606376329787
cube,4,2,0.7634706829500965,0.030373438405742754,0.8912948446843987,0.6519684988994401
pusht,4,0,0.5064945489850773,0.035065234546095975,0.8582699246549527,0.5177865007494219
pusht,4,1,0.5205110684201816,0.011493078759997924,0.86332762366402,0.5254831356368778
pusht,4,2,0.5597343964876442,0.006486343748334871,0.8866587224154759,0.5594645756175836
reacher,4,0,0.8966796261975256,0.02217433986570641,0.8520915592419541,0.3818377682068607
reacher,4,1,0.9219396476526514,0.01417666608273257,0.8497381928006223,0.369421068350349
reacher,4,2,0.8760571823745344,0.013845991219099262,0.8557522905647529,0.3952935066053323
tworoom,4,0,0.9370704004800912,5.0595325168644045e-05,0.9210332593122854,0.693987367857589
tworoom,4,1,0.9397536460679858,0.007869372448444652,0.9249369212601521,0.6966604885911593
tworoom,4,2,0.9364828664912344,0.01693197970870157,0.9293466661999452,0.7044588507651739
