task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
tworoom,4,0,0,1,195111,194730,0.01549397607424733,0.0007431478295380955,0.014750828244709234
tworoom,4,0,0,2,195111,256043,0.016738425984958293,0.0010309491608627903,0.0157074768240955
tworoom,4,0,0,3,195111,245579,0.017767275072599155,0.0014787900191382563,0.016288485053460897
tworoom,4,0,1,2,194730,256043,0.0181835172879226,0.0015652936923596548,0.016618223595562944
tworoom,4,0,1,3,194730,245579,0.01565898277587941,0.0010146878780753384,0.014644294897804075
tworoom,4,0,2,3,256043,245579,0.01895720919696521,0.001794959281047554,0.017162249915917655
tworoom,4,1,0,1,248225,199569,0.015639940241553064,0.000965886451477761,0.014674053790075301
tworoom,4,1,0,2,248225,192404,0.01695932816143983,0.0011397451957471639,0.015819582965692667
tworoom,4,1,0,3,248225,251265,0.019078859852896528,0.0015942367388528803,0.017484623114043647
tworoom,4,1,1,2,199569,192404,0.015084260179552254,0.0006828913324833274,0.014401368847068927
tworoom,4,1,1,3,199569,251265,0.01863840930271715,0.001631084664195698,0.017007324638521455
tworoom,4,1,2,3,192404,251265,0.016523755190191777,0.0009375038800626583,0.01558625131012912
tworoom,4,2,0,1,201118,248849,0.015864747568085244,0.0009826997558910007,0.014882047812194243
tworoom,4,2,0,2,201118,252405,0.019592312799249105,0.0018203976089500233,0.01777191519029908
tworoom,4,2,0,3,201118,189091,0.015217266166793825,0.0006874739326095817,0.014529792234184245
tworoom,4,2,1,2,248849,252405,0.019078257287003565,0.0017322849497492965,0.017345972337254267
tworoom,4,2,1,3,248849,189091,0.016301120711437335,0.0010097279738240422,0.015291392737613292
tworoom,4,2,2,3,252405,189091,0.016381082467584927,0.0009663983022754408,0.015414684165309488
pusht,4,0,0,1,490852,743174,0.058878169698985766,0.006665535409476338,0.05221263428950943
pusht,4,0,0,2,490852,663706,0.06574656962717991,0.01346478197384406,0.05228178765333585
pusht,4,0,0,3,490852,383501,0.061477121236895756,0.008374107650307718,0.05310301358658804
pusht,4,0,1,2,743174,663706,0.0585587176469905,0.010691078601758424,0.04786763904523207
pusht,4,0,1,3,743174,383501,0.052978715408830195,0.006610774948225972,0.046367940460604225
pusht,4,0,2,3,663706,383501,0.06717848021082153,0.012432775837318175,0.05474570437350335
pusht,4,1,0,1,474361,716579,0.058612596667499794,0.005754588451158355,0.052858008216341436
pusht,4,1,0,2,474361,708922,0.062256640673834476,0.011247322415114412,0.051009318258720064
pusht,4,1,0,3,474361,381371,0.05872664478020576,0.006741211140880719,0.05198543363932504
pusht,4,1,1,2,716579,708922,0.059197034013438815,0.01024325106113445,0.04895378295230437
pusht,4,1,1,3,716579,381371,0.05242887259640987,0.006467665688813186,0.04596120690759668
pusht,4,1,2,3,708922,381371,0.06561291489113803,0.011903513840775874,0.05370940105036216
pusht,4,2,0,1,629183,498048,0.07238735660778434,0.007274079421909552,0.06511327718587478
pusht,4,2,0,2,629183,784372,0.057926674243222155,0.0076824906352467495,0.050244183607975404
pusht,4,2,0,3,629183,369630,0.06282305636948897,0.008364761248487267,0.0544582951210017
pusht,4,2,1,2,498048,784372,0.059767813004768196,0.008732156335342698,0.0510356566694255
pusht,4,2,1,3,498048,369630,0.06331045626847005,0.009331301247635215,0.05397915502083484
pusht,4,2,2,3,784372,369630,0.05629824397751311,0.0077262362137024854,0.048572007763810626
reacher,4,0,0,1,495384,471429,0.01993690840607266,0.00018520747017263266,0.019751700935900028
reacher,4,0,0,2,495384,503643,0.01425654135875327,0.00013306756975725934,0.01412347378899601
reacher,4,0,0,3,495384,509696,0.011277964322044629,0.00013405255054240014,0.011143911771502228
reacher,4,0,1,2,471429,503643,0.011414130549297052,0.00011320862630568047,0.011300921922991371
reacher,4,0,1,3,471429,509696,0.0157467323426884,0.0001459713456821427,0.015600760997006259
reacher,4,0,2,3,503643,509696,0.020073377473729462,0.00023139754541098582,0.019841979928318477
reacher,4,1,0,1,496420,504173,0.021385582828948438,0.00025867979675951464,0.021126903032188924
reacher,4,1,0,2,496420,505767,0.011796190297665056,0.00013962782493760417,0.011656562472727451
reacher,4,1,0,3,496420,473792,0.016759094263563853,0.00016791036007858371,0.016591183903485268
reacher,4,1,1,2,504173,505767,0.012912924438698932,0.00011750361924440307,0.012795420819454529
reacher,4,1,1,3,504173,473792,0.011894676291489381,0.00012630813354893417,0.011768368157940447
reacher,4,1,2,3,505767,473792,0.018989761537467727,0.0001875090003213233,0.018802252537146406
reacher,4,2,0,1,497691,479634,0.011082633241922197,0.00010737357781123197,0.010975259664110965
reacher,4,2,0,2,497691,501563,0.014688758753296139,0.00013966520293890507,0.014549093550357233
reacher,4,2,0,3,497691,501264,0.02100261203949394,0.0002466270699728944,0.020755984969521045
reacher,4,2,1,2,479634,501563,0.018648997654114395,0.00017314489787516505,0.01847585275623923
reacher,4,2,1,3,479634,501264,0.01579608363231417,0.0001504512259834471,0.015645632406330722
reacher,4,2,2,3,501563,501264,0.011207906612355234,0.00013897065104079284,0.011068935961314441
cube,4,0,0,1,544027,666264,0.07132742286747457,0.0007234090351342341,0.07060401383234033
cube,4,0,0,2,544027,408716,0.08716719147216138,0.0008029376698711671,0.08636425380229022
cube,4,0,0,3,544027,361145,0.08684997370773533,0.0010444737518865127,0.08580549995584881
cube,4,0,1,2,666264,408716,0.0881007919786594,0.0006026099829405701,0.08749818199571884
cube,4,0,1,3,666264,361145,0.08753442570383228,0.0008903514454549989,0.08664407425837728
cube,4,0,2,3,408716,361145,0.09447112494725342,0.001032081283332218,0.0934390436639212
cube,4,1,0,1,561783,458519,0.07968464663312197,0.0008081306777291236,0.07887651595539284
cube,4,1,0,2,561783,475376,0.0737533143076482,0.0008047389940181318,0.07294857531363007
cube,4,1,0,3,561783,484474,0.08787298378536183,0.0006864624497143127,0.08718652133564753
cube,4,1,1,2,458519,475376,0.08373837888615639,0.0010347391080597992,0.08270363977809658
cube,4,1,1,3,458519,484474,0.09012051231567703,0.000729673453470879,0.08939083886220614
cube,4,1,2,3,475376,484474,0.09127856210751757,0.0007996146254303759,0.0904789474820872
cube,4,2,0,1,456412,466514,0.08432046563386332,0.0009682539124872759,0.08335221172137604
cube,4,2,0,2,456412,500599,0.08819189859505641,0.0007254062929157686,0.08746649230214064
cube,4,2,0,3,456412,556627,0.08083859861865293,0.0008046362031121523,0.08003396241554078
cube,4,2,1,2,466514,500599,0.08788133922061724,0.0007994541219460186,0.08708188509867122
cube,4,2,1,3,466514,556627,0.07395375463986538,0.0007822204762850205,0.07317153416358035
cube,4,2,2,3,500599,556627,0.08538300408712197,0.0006842218763842147,0.08469878221073776
