task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,4,0,0,1,195111,194730,0.015493976089773733,0.0007431478296366995,0.014750828260137034,0.9742687309106662,0.010588588949241005,0.9986308488517648,0.9569682265867094
tworoom,4,0,0,2,195111,256043,0.016738425999428267,0.0010309491610300014,0.015707476838398265,0.9950026506088632,0.030772537938942236,0.999914862362872,0.9922245960818284
tworoom,4,0,0,3,195111,245579,0.01776727508777785,0.0014787900192449188,0.01628848506853293,1.0317708086686919,0.030823133280890952,0.9210332593122854,0.693987367858867
tworoom,4,0,1,2,194730,256043,0.018183517303170103,0.0015652936924986862,0.016618223610671418,1.0635512104397515,0.041361126888183414,0.9378426428352986,0.7454969382773721
tworoom,4,0,1,3,194730,245579,0.01565898278965222,0.0010146878782396397,0.01464429491141258,0.9370704004803397,0.04141172223013205,0.9973165521441839,0.9305508765185729
tworoom,4,0,2,3,256043,245579,0.018957209210969404,0.0017949592812624012,0.017162249929707003,1.0546596771834076,5.059534194862665e-05,0.9716509036607257,0.8201503826464662
tworoom,4,1,0,1,248225,199569,0.01563994025509763,0.0009658864516434053,0.014674053803454223,0.9397536460681648,0.04623014410566917,0.9974743810963949,0.9330327767929713
tworoom,4,1,0,2,248225,192404,0.01695932817617033,0.001139745195859363,0.015819582980310967,1.0208171029307718,0.05409951653737326,0.9249369212601521,0.6966604885913406
tworoom,4,1,0,3,248225,251265,0.01907885986720815,0.0015942367390685492,0.0174846231281396,1.0564378267196943,0.01302692201887122,0.9728990657540508,0.8218914527398663
tworoom,4,1,1,2,199569,192404,0.015084260194628439,0.0006828913325817403,0.014401368862046699,0.9746364811800053,0.007869372431704184,0.9986178927092557,0.9573980515432516
tworoom,4,1,1,3,199569,251265,0.01863840931821099,0.0016310846643304313,0.017007324653880558,1.0745504928166274,0.05925706612454029,0.9337175714034444,0.7379126132885742
tworoom,4,1,2,3,192404,251265,0.01652375520470664,0.0009375038802339997,0.015586251324472642,0.991913176768657,0.06712643855624449,0.9998783984706044,0.9911519328830029
tworoom,4,2,0,1,201118,248849,0.015864747581797057,0.0009826997560572516,0.014882047825739805,0.9364828664914094,0.01781158420191465,0.9972801360711716,0.9305793736952634
tworoom,4,2,0,2,201118,252405,0.019592312815398114,0.0018203976090923881,0.017771915206305725,1.099140039446167,0.03474356390524655,0.9320100901528956,0.7492794527695684
tworoom,4,2,0,3,201118,189091,0.01521726618206155,0.0006874739327055484,0.014529792249356,0.9724450321076019,0.044681999471016066,0.9985940496841625,0.957141368151783
tworoom,4,2,1,2,248849,252405,0.019078257301156074,0.001732284949963895,0.017345972351192177,1.0542931015619448,0.01693197970333186,0.9734007333108611,0.8278866420647787
tworoom,4,2,1,3,248849,189091,0.016301120725776316,0.0010097279739380031,0.015291392751838313,1.0044287039583752,0.06249358367293086,0.9293466661999449,0.7044588507646798
tworoom,4,2,2,3,252405,189091,0.016381082482031,0.0009663983024559989,0.015414684179575,0.9943076269291076,0.07942556337626258,0.9997857369371755,0.9852532202272601
pusht,4,0,0,1,490852,743174,0.058878169716483644,0.006665535409658669,0.052212634306824976,0.6711178434590337,0.08248046584034703,0.934144125721986,0.6715873960693385
pusht,4,0,0,2,490852,663706,0.06574656964518558,0.013464781973918075,0.052281787671267496,0.5252798854912129,0.14818975604934326,0.8797477325085149,0.5300068981329935
pusht,4,0,0,3,490852,383501,0.06147712125864271,0.00837410765052251,0.0531030136081202,0.6536401491123727,0.035065234503547656,0.9341445204000824,0.6533124159235153
pusht,4,0,1,2,743174,663706,0.05855871766247962,0.010691078601814492,0.04786763906066513,0.5064945489854915,0.2306702218896902,0.8582699246549526,0.5177865007517937
