task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,4,0,891463,2,0.015493976089773733,0.017133231080128597,0.9043230676870927
tworoom,4,1,891463,2,0.015084260194628439,0.016987425502670364,0.8879662308015565
tworoom,4,2,891463,2,0.01521726618206155,0.017072464514703352,0.8913338884937178
pusht,4,0,2281233,2,0.052978715426409084,0.06080296232341815,0.8713179983667413
pusht,4,1,2281233,2,0.052428872613987695,0.05947245062193168,0.8815657008533204
pusht,4,2,2281233,2,0.056298243994640576,0.06208560009854303,0.9067842447408627
reacher,4,0,1980152,2,0.01127796432643232,0.015450942414889833,0.7299208050613095
reacher,4,1,1980152,2,0.01179619030227789,0.01562303828250155,0.7550509759353347
reacher,4,2,1980152,2,0.01108263324636739,0.015404498661681068,0.7194413456593439
cube,4,0,1980152,5,0.07132742289494733,0.08590848849134032,0.830272120340439
cube,4,1,1980152,5,0.07375331434228194,0.08440806638051022,0.8737709262264481
cube,4,2,1980152,5,0.07395375467527157,0.08342817683962174,0.886436183514314
