task,num_clusters,ridge,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance,weakest_region_left,weakest_region_right
cube,4,1e-10,0,0.7381387370189882,0.0046720460395449,0.8619948827387361,0.6003056463488,0,1
cube,4,1e-10,1,0.7627358242745452,0.029699860091219,0.8947016333465431,0.6548606376278565,0,3
cube,4,1e-10,2,0.7634706829388849,0.0303734384835193,0.891294844684399,0.6519684988928888,2,3
cube,4,1e-08,0,0.7381387370189901,0.0046720460395431,0.8619948827387361,0.6003056463488001,0,1
cube,4,1e-08,1,0.7627358242745464,0.0296998600912125,0.8947016333465434,0.6548606376278567,0,3
cube,4,1e-08,2,0.763470682938886,0.0303734384835116,0.891294844684399,0.6519684988928894,2,3
cube,4,1e-06,0,0.7381387370191723,0.0046720460394125,0.8619948827387366,0.6003056463488153,0,1
cube,4,1e-06,1,0.7627358242746579,0.0296998600905386,0.8947016333465432,0.6548606376279076,0,3
cube,4,1e-06,2,0.763470682938997,0.0303734384827413,0.8912948446843988,0.6519684988929544,2,3
cube,4,0.0001,0,0.7381387370373962,0.0046720460263365,0.8619948827387361,0.6003056463503333,0,1
cube,4,0.0001,1,0.76273582428581,0.0296998600231462,0.8947016333465432,0.6548606376329787,0,3
cube,4,0.0001,2,0.7634706829500965,0.0303734384057427,0.8912948446843987,0.6519684988994401,2,3
pusht,4,1e-10,0,0.5064945489854957,0.035065234503118,0.8582699246549527,0.5177865007518176,1,2
pusht,4,1e-10,1,0.5205110684205555,0.0114930788321071,0.8633276236640204,0.5254831356345071,0,2
pusht,4,1e-10,2,0.5597343964862087,0.0064863438099317,0.886658722415476,0.5594645756164011,0,2
pusht,4,1e-08,0,0.5064945489854957,0.0350652345031223,0.8582699246549524,0.5177865007518174,1,2
pusht,4,1e-08,1,0.5205110684205554,0.0114930788320999,0.8633276236640202,0.5254831356345072,0,2
pusht,4,1e-08,2,0.5597343964862089,0.0064863438099255,0.8866587224154759,0.5594645756164013,0,2
pusht,4,1e-06,0,0.5064945489854915,0.0350652345035476,0.8582699246549526,0.5177865007517937,1,2
pusht,4,1e-06,1,0.5205110684205517,0.0114930788313859,0.86332762366402,0.5254831356345308,0,2
pusht,4,1e-06,2,0.5597343964862231,0.0064863438093158,0.8866587224154762,0.559464575616413,0,2
pusht,4,0.0001,0,0.5064945489850773,0.0350652345460959,0.8582699246549527,0.5177865007494219,1,2
pusht,4,0.0001,1,0.5205110684201816,0.0114930787599979,0.86332762366402,0.5254831356368778,0,2
pusht,4,0.0001,2,0.5597343964876442,0.0064863437483348,0.8866587224154759,0.5594645756175836,0,2
reacher,4,1e-10,0,0.8966796261975278,0.0221743398634393,0.8520915592419541,0.3818377682068575,2,3
reacher,4,1e-10,1,0.921939647652677,0.01417666607331,0.8497381928006222,0.3694210683505043,0,1
reacher,4,1e-10,2,0.8760571823745403,0.01384599121794,0.8557522905647529,0.395293506605664,1,2
reacher,4,1e-08,0,0.8966796261975278,0.0221743398634395,0.852091559241954,0.3818377682068574,2,3
reacher,4,1e-08,1,0.921939647652677,0.0141766660733111,0.8497381928006222,0.3694210683505043,0,1
reacher,4,1e-08,2,0.8760571823745403,0.0138459912179402,0.8557522905647529,0.395293506605664,1,2
reacher,4,1e-06,0,0.8966796261975277,0.0221743398634617,0.8520915592419543,0.3818377682068574,2,3
reacher,4,1e-06,1,0.9219396476526768,0.0141766660734042,0.8497381928006223,0.369421068350503,0,1
reacher,4,1e-06,2,0.8760571823745402,0.0138459912179516,0.8557522905647529,0.3952935066056605,1,2
reacher,4,0.0001,0,0.8966796261975256,0.0221743398657064,0.8520915592419541,0.3818377682068607,2,3
reacher,4,0.0001,1,0.9219396476526514,0.0141766660827325,0.8497381928006223,0.369421068350349,0,1
reacher,4,0.0001,2,0.8760571823745344,0.0138459912190992,0.8557522905647529,0.3952935066053323,1,2
tworoom,4,1e-10,0,0.9370704004803424,5.059534211794422e-05,0.9210332593122852,0.69398736785888,0,3
tworoom,4,1e-10,1,0.9397536460681666,0.0078693724315347,0.924936921260152,0.6966604885913423,0,2
tworoom,4,1e-10,2,0.9364828664914112,0.0169319797032776,0.9293466661999448,0.7044588507646747,1,3
tworoom,4,1e-08,0,0.9370704004803424,5.059534211638984e-05,0.9210332593122852,0.6939873678588798,0,3
tworoom,4,1e-08,1,0.9397536460681666,0.0078693724315363,0.9249369212601524,0.6966604885913423,0,2
tworoom,4,1e-08,2,0.9364828664914112,0.0169319797032779,0.9293466661999448,0.704458850764675,1,3
tworoom,4,1e-06,0,0.9370704004803396,5.059534194862665e-05,0.9210332593122854,0.693987367858867,0,3
tworoom,4,1e-06,1,0.9397536460681648,0.0078693724317041,0.924936921260152,0.6966604885913406,0,2
tworoom,4,1e-06,2,0.9364828664914094,0.0169319797033318,0.9293466661999448,0.7044588507646798,1,3
tworoom,4,0.0001,0,0.9370704004800912,5.059532516864405e-05,0.9210332593122854,0.693987367857589,0,3
tworoom,4,0.0001,1,0.9397536460679858,0.0078693724484446,0.924936921260152,0.6966604885911593,0,2
tworoom,4,0.0001,2,0.9364828664912344,0.0169319797087015,0.9293466661999452,0.7044588507651739,1,3
