task,ridge,jacobian_bures_mean,jacobian_bures_seed_min,jacobian_bures_seed_max,baseline_bures_mean,absolute_change_vs_1e-8,relative_change_vs_1e-8,threshold_margin,bures_branch
cube,1e-10,0.6357115942898485,0.6003056463488,0.6548606376278565,0.6357115942898487,2.220446049250313e-16,3.492851269655961e-16,0.12676373995108647,regional
cube,1e-08,0.6357115942898487,0.6003056463488001,0.6548606376278567,0.6357115942898487,0.0,0.0,0.1267637399510867,regional
cube,1e-06,0.6357115942898924,0.6003056463488153,0.6548606376279076,0.6357115942898487,4.374278717023117e-14,6.880917001222243e-14,0.12676373995113044,regional
cube,0.0001,0.6357115942942507,0.6003056463503333,0.6548606376329787,0.6357115942898487,4.402034292638746e-12,6.924577642092942e-12,0.12676373995548873,regional
pusht,1e-10,0.5342447373342419,0.5177865007518176,0.5594645756164011,0.5342447373342419,0.0,0.0,0.02529688299547994,regional
pusht,1e-08,0.5342447373342419,0.5177865007518174,0.5594645756164013,0.5342447373342419,0.0,0.0,0.02529688299547994,regional
pusht,1e-06,0.5342447373342458,0.5177865007517937,0.559464575616413,0.5342447373342419,3.885780586188048e-15,7.273409197397427e-15,0.025296882995483827,regional
pusht,0.0001,0.5342447373346277,0.5177865007494219,0.5594645756175836,0.5342447373342419,3.858025010572419e-13,7.221456274558874e-13,0.025296882995865744,regional
reacher,1e-10,0.38218411438767524,0.3694210683505043,0.395293506605664,0.38218411438767524,0.0,0.0,-0.12676373995108675,global
reacher,1e-08,0.38218411438767524,0.3694210683505043,0.395293506605664,0.38218411438767524,0.0,0.0,-0.12676373995108675,global
reacher,1e-06,0.38218411438767363,0.369421068350503,0.3952935066056605,0.38218411438767524,1.609823385706477e-15,4.212167186189021e-15,-0.12676373995108836,global
reacher,0.0001,0.382184114387514,0.369421068350349,0.3952935066053323,0.38218411438767524,1.61259894326804e-13,4.2194295434065884e-13,-0.126763739951248,global
tworoom,1e-10,0.6983689024049657,0.69398736785888,0.7044588507646747,0.6983689024049657,0.0,0.0,0.18942104806620375,regional
tworoom,1e-08,0.6983689024049657,0.6939873678588798,0.704458850764675,0.6983689024049657,0.0,0.0,0.18942104806620375,regional
tworoom,1e-06,0.6983689024049625,0.693987367858867,0.7044588507646798,0.6983689024049657,3.219646771412954e-15,4.610237884770484e-15,0.18942104806620053,regional
tworoom,0.0001,0.6983689024046407,0.693987367857589,0.7044588507651739,0.6983689024049657,3.2507330161024584e-13,4.654750526416544e-13,0.18942104806587867,regional
