task,partition_seed,tangent_dim,query_count,cross_tangent_distance_mean,within_tangent_distance_mean,tangent_contrast_mean,tangent_contrast_median,positive_contrast_fraction,curvature_tail_mean
tworoom,0,4,512,0.8031633812370284,0.16859423325027578,0.6345691479867526,0.6866483587597454,1.0,0.005076963411053934
tworoom,0,8,512,0.8057265610143298,0.34733525723851016,0.4583913037758196,0.4794198832831023,1.0,0.00035528299550072044
tworoom,0,16,512,0.7962917021354947,0.3202970200883423,0.47599468204715234,0.4811483591959052,1.0,5.5976551196599737e-05
tworoom,1,4,512,0.8018972884135971,0.17430188443276676,0.6275954039808304,0.6867344730231109,0.99609375,0.005210451541955308
tworoom,1,8,512,0.8064806400116031,0.34411196902980096,0.46236867098180223,0.486789878363828,1.0,0.00038514234942216936
tworoom,1,16,512,0.7949892619670211,0.3139000675504373,0.48108919441658393,0.48279140516982744,1.0,5.988380132834855e-05
tworoom,2,4,512,0.8056924253554861,0.17013765289276173,0.6355547724627244,0.6795822934226435,1.0,0.005302039625855639
tworoom,2,8,512,0.807266184913933,0.34343775443029867,0.46382843048363437,0.48538135340217226,1.0,0.00041896213398890996
tworoom,2,16,512,0.7980660259600931,0.3163770720288043,0.48168895393128885,0.4810071357344392,1.0,6.191353812243678e-05
pusht,0,4,512,0.855549552117286,0.32497677582027285,0.5305727762970132,0.5217844142759909,0.99609375,0.09540115052153092
pusht,0,8,512,0.7948576474005389,0.32750995275732453,0.46734769464321435,0.4498680551901962,1.0,0.014958273719218606
pusht,0,16,512,0.7444621741022887,0.3424913609772635,0.4019708131250251,0.3842454004849266,1.0,0.0010778657917151376
pusht,1,4,512,0.8560252041392774,0.320451704602096,0.5355734995371815,0.5316559889347603,1.0,0.08676101191757428
pusht,1,8,512,0.7961846446367108,0.32221876642907743,0.47396587820763325,0.46601330056371926,1.0,0.01294400084159506
pusht,1,16,512,0.7467447676016808,0.3287542076963882,0.4179905599052927,0.41049252993147606,1.0,0.0009129317257118451
pusht,2,4,512,0.8465680141476462,0.326429116950745,0.5201388971969011,0.5140180528357308,1.0,0.0900728432182518
pusht,2,8,512,0.7852965310968337,0.33433186019412564,0.45096467090270803,0.4345322103826573,1.0,0.014027544736611268
pusht,2,16,512,0.7342112562222847,0.3405145712551939,0.39369668496709076,0.3825859901169093,1.0,0.0009988325795433652
reacher,0,4,512,0.7645420374037241,0.22293014896087082,0.5416118884428531,0.5543404172979989,0.998046875,0.0050149469392215375
reacher,0,8,512,0.7781958415624968,0.3057939484675842,0.47240189309491276,0.4806039090880666,1.0,0.00031417083972805305
reacher,0,16,512,0.7636187999951718,0.30755845164394524,0.45606034835122644,0.4617709065653668,1.0,3.077652445334255e-05
reacher,1,4,512,0.7711221667476944,0.21788532944251804,0.5532368373051764,0.571335218566185,0.99609375,0.005053336027738757
reacher,1,8,512,0.7828814371787953,0.29625385816495525,0.48662757901384013,0.5010722126567548,1.0,0.0003112857328700452
reacher,1,16,512,0.7668324614877696,0.3016554426949322,0.46517701879283746,0.4660795497331486,1.0,3.0976102264389024e-05
reacher,2,4,512,0.7632824703351266,0.20920681145434833,0.5540756588807783,0.5709523148376453,0.994140625,0.005092075355428509
reacher,2,8,512,0.7749189210544711,0.30198329623926157,0.47293562481520945,0.48136426605653315,1.0,0.00030942992641445324
reacher,2,16,512,0.7613713182579713,0.29910441541355237,0.46226690284441896,0.46592596675211534,1.0,3.0557615896442366e-05
cube,0,4,512,0.8552269328250233,0.3333437514047249,0.5218831814202983,0.5227239184975523,1.0,0.10235577267468896
cube,0,8,512,0.7874234308567668,0.3294285097418062,0.45799492111496065,0.4754139295948095,1.0,0.012342656490630427
cube,0,16,512,0.7202133795205965,0.33422938560770443,0.38598399391289206,0.39511996010965766,1.0,0.0005288314188454031
cube,1,4,512,0.8581864152988042,0.34298801678840524,0.515198398510399,0.5189324013295038,1.0,0.10345376799117365
cube,1,8,512,0.7901658467255084,0.32983136332352253,0.4603344834019858,0.47888441129218534,1.0,0.012645645780894265
cube,1,16,512,0.7257084024636877,0.3338692808708371,0.3918391215928506,0.409687612450371,1.0,0.0005337516959788676
cube,2,4,512,0.8476571866563927,0.33806374088598523,0.5095934457704074,0.5084960784569554,1.0,0.1009449204327622
cube,2,8,512,0.7760353974988077,0.329768744038819,0.4462666534599886,0.4665646436153813,0.998046875,0.012317130850474128
cube,2,16,512,0.7158009508888392,0.3363296731689709,0.3794712777198683,0.37584588436537025,1.0,0.0005253593311700194
