task,method,num_clusters,partition_seed,weakest_pair_bures,transition_count
tworoom,gmm,4,0,0.7132216628968218,891463
tworoom,gmm,4,1,0.7548432679031611,891463
tworoom,gmm,4,2,0.64379397682008,891463
pusht,gmm,4,0,0.4717399355715962,2281233
pusht,gmm,4,1,0.5270579507089168,2281233
pusht,gmm,4,2,0.4134392942171129,2281233
reacher,gmm,4,0,0.4744200438333732,1980152
reacher,gmm,4,1,0.3782383037634839,1980152
reacher,gmm,4,2,0.6050301702696294,1980152
cube,gmm,4,0,0.6184837860573631,1980152
cube,gmm,4,1,0.6378224376010537,1980152
cube,gmm,4,2,0.6275916817695064,1980152
