task,method,num_clusters,partition_seed,region_i,region_j,normalized_squared_bures
tworoom,gmm,4,0,0,1,0.7835976032070845
tworoom,gmm,4,0,0,2,0.8853443833425088
tworoom,gmm,4,0,0,3,0.9143233016159709
tworoom,gmm,4,0,1,2,0.9452017896097119
tworoom,gmm,4,0,1,3,0.7444380799709321
tworoom,gmm,4,0,2,3,0.7132216628968218
tworoom,gmm,4,1,0,1,0.9047274229563623
tworoom,gmm,4,1,0,2,0.819390306381553
tworoom,gmm,4,1,0,3,0.8088812839504625
tworoom,gmm,4,1,1,2,0.7548432679031611
tworoom,gmm,4,1,1,3,0.926407351358423
tworoom,gmm,4,1,2,3,0.9299070999059879
tworoom,gmm,4,2,0,1,0.9094562331166292
tworoom,gmm,4,2,0,2,0.8346770872604167
tworoom,gmm,4,2,0,3,0.9357509887567265
tworoom,gmm,4,2,1,2,0.8630135353974634
tworoom,gmm,4,2,1,3,0.64379397682008
tworoom,gmm,4,2,2,3,0.9434441152590987
pusht,gmm,4,0,0,1,0.5528943949041716
pusht,gmm,4,0,0,2,0.542130307740818
pusht,gmm,4,0,0,3,0.7511942104657063
pusht,gmm,4,0,1,2,0.5362775383635741
pusht,gmm,4,0,1,3,0.766440954455013
pusht,gmm,4,0,2,3,0.4717399355715962
pusht,gmm,4,1,0,1,0.7244290039176094
pusht,gmm,4,1,0,2,0.649240903743603
pusht,gmm,4,1,0,3,0.5270579507089168
pusht,gmm,4,1,1,2,0.6616425375378173
pusht,gmm,4,1,1,3,0.7327451363000198
pusht,gmm,4,1,2,3,0.5656152210215296
pusht,gmm,4,2,0,1,0.5299057276874851
pusht,gmm,4,2,0,2,0.5532694754959852
pusht,gmm,4,2,0,3,0.6021514588578692
pusht,gmm,4,2,1,2,0.4134392942171129
pusht,gmm,4,2,1,3,0.5764946445166655
pusht,gmm,4,2,2,3,0.6978140646689709
reacher,gmm,4,0,0,1,0.8975027895019929
reacher,gmm,4,0,0,2,0.9135849588703941
reacher,gmm,4,0,0,3,0.47702259078716447
reacher,gmm,4,0,1,2,0.4744200438333732
reacher,gmm,4,0,1,3,0.8379886347333141
reacher,gmm,4,0,2,3,0.7305112876236238
reacher,gmm,4,1,0,1,0.8532244482373541
reacher,gmm,4,1,0,2,0.5703348848819602
reacher,gmm,4,1,0,3,0.8757519045068514
reacher,gmm,4,1,1,2,0.7453283434908312
reacher,gmm,4,1,1,3,0.3782383037634839
reacher,gmm,4,1,2,3,0.8828700234202441
reacher,gmm,4,2,0,1,0.7510993603331128
reacher,gmm,4,2,0,2,0.6753818702290839
reacher,gmm,4,2,0,3,0.6050301702696294
reacher,gmm,4,2,1,2,0.892710487258171
reacher,gmm,4,2,1,3,0.6401762837900075
reacher,gmm,4,2,2,3,0.7691015142929775
cube,gmm,4,0,0,1,0.6517092122814618
cube,gmm,4,0,0,2,0.7588656688496273
cube,gmm,4,0,0,3,0.7459419694469326
cube,gmm,4,0,1,2,0.6398921481976382
cube,gmm,4,0,1,3,0.7367031505059883
cube,gmm,4,0,2,3,0.6184837860573631
cube,gmm,4,1,0,1,0.6928258708312143
cube,gmm,4,1,0,2,0.7443369012693022
cube,gmm,4,1,0,3,0.7171641360274829
cube,gmm,4,1,1,2,0.6378224376010537
cube,gmm,4,1,1,3,0.7455200971327028
cube,gmm,4,1,2,3,0.6504466177469423
cube,gmm,4,2,0,1,0.7070148162092771
cube,gmm,4,2,0,2,0.6547061886124129
cube,gmm,4,2,0,3,0.7423517104918463
cube,gmm,4,2,1,2,0.7324632856401693
cube,gmm,4,2,1,3,0.7365537453351746
cube,gmm,4,2,2,3,0.6275916817695064
