task,partition_method,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,mean_pairwise_response,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
tworoom,gmm,4,0,0.9979235982494491,7.57351608127177e-05,0.0,0.9662066666666667,8.032707214355469,0.40077942733663374,0.00035745379243434414,0.5721556461260823,0.00219416906747733,0.002190293300973541,0.02739533684394636,0.019670743035194227,0.7180325303990901,0.14285714285714288,-0.3714285714285715,0.6176775007643881,0.7132215654304416,0.9362025945218111,0.054630634865323525,0.9222950615363081,0.8206800371099119,0.12168207281360731
tworoom,gmm,4,1,0.9979235982494491,7.57351608127177e-05,0.0,0.9709683333333333,8.614750862121582,0.4267522028389529,0.0003636720397377773,0.6732402112861691,0.0015253487785697182,0.0015100168306904746,0.022591628902647754,0.013172649695143751,0.5830765790243619,0.3142857142857143,0.8285714285714287,0.6700326615285733,0.7548433919761515,0.911907185891107,0.08947722598722944,0.9539142482867738,0.8206800371099119,0.12168207281360731
tworoom,gmm,4,2,0.9979235982494491,7.57351608127177e-05,0.0,0.9600733333333333,8.032539367675781,0.3909790261928249,0.00036887639842887737,0.6109125656467344,0.0015851622014213123,0.0015686959837573043,0.02869525889112848,0.020349740598477054,0.7091673462743507,0.7714285714285715,-0.8285714285714287,0.28235903616643954,0.6437937718954908,0.905635114379844,0.1155260698884556,0.9297485665675744,0.8206800371099119,0.12168207281360731
pusht,gmm,4,0,0.9744150824287381,0.0015123212105939698,0.0,0.8957816666666667,1.5964778661727905,0.4427410658227682,0.01403995134884818,0.8196278244186013,0.0047074304713123245,0.0047976951256095595,0.07603782553997379,0.0407145417583538,0.5354511582784517,0.8285714285714287,0.3142857142857143,0.4286878126834732,0.4717399355715962,0.43716676968796553,0.10490048514004573,0.8208677105998236,0.4668276329923221,0.33013094944494964
pusht,gmm,4,1,0.9744150824287381,0.0015123212105939698,0.0,0.9192466666666667,1.8374968767166138,0.4597007457102608,0.01332831891518875,0.8627855055064255,0.0037833637899055395,0.003947959942402964,0.08610005363056782,0.051657810484918874,0.5999741963758658,1.0,-0.14285714285714288,0.39202770221111527,0.5270579507089168,0.5297480767422003,0.09033495156202496,0.8789849338477674,0.4668276329923221,0.33013094944494964
pusht,gmm,4,2,0.9744150824287381,0.0015123212105939698,0.0,0.9097416666666667,1.6123895645141602,0.42139839066147244,0.013399551642539666,0.8404639700834939,0.0037174072926817302,0.003685769233490729,0.060124314926923494,0.043135720315241335,0.7174421923587737,0.7142857142857143,0.942857142857143,0.3165808124217401,0.4134392942171129,0.4029295248357222,0.032699928241485765,0.8003001307986312,0.4668276329923221,0.33013094944494964
reacher,gmm,4,0,0.9991962860879716,0.00011726978387305298,0.0,0.966645,9.293499946594238,0.4700095132728951,0.00030968950412353137,0.8423776189496814,0.00014250354408463072,0.00014256491319594673,0.0245068218686435,0.017120956808773638,0.6986200373325404,-0.6,-0.14285714285714288,0.5730112611726331,0.4744200438333732,1.086370249046675,0.03153839074668193,0.8773316996634124,0.9023812438919899,0.13368589046944734
reacher,gmm,4,1,0.9991962860879716,0.00011726978387305298,0.0,0.9611016666666666,8.322025299072266,0.4539418919403948,0.0003099688677098224,0.8268160413298792,0.00011600631141753662,0.00011607596472544801,0.021879170422477598,0.016961479075951587,0.7752341038728866,0.14285714285714288,-0.6571428571428573,0.5133149708847442,0.3782383037634839,0.9959540158350506,0.0793547750671174,0.8551530517523563,0.9023812438919899,0.13368589046944734
reacher,gmm,4,2,0.9991962860879716,0.00011726978387305298,0.0,0.9609666666666666,8.425748825073242,0.4376641413706235,0.0003079023658266102,0.8135306761182053,0.00018893987282790273,0.00018898321867697764,0.02967763363097405,0.017053439131939952,0.5746226044835854,0.7142857142857143,-0.2571428571428572,0.5489864867921295,0.6050301702696294,1.0609764651431268,0.0941610550149505,0.8923941976029488,0.9023812438919899,0.13368589046944734
cube,gmm,4,0,0.9889787882339016,0.0010843552256641908,0.0,0.9562566666666666,2.8640835285186768,0.4575228735250739,0.0123766589220313,0.9127318704903341,0.00021719810606410942,0.00023262098108379518,0.09076076238304419,0.07603151162239848,0.8377134526648995,0.3714285714285715,-0.6571428571428573,0.4907423262882422,0.6184837860573631,0.7585199068649817,0.015289481105671578,0.8547734530226284,0.9599395035076935,0.2919653672366025
cube,gmm,4,1,0.9889787882339016,0.0010843552256641908,0.0,0.9487916666666667,2.80208683013916,0.42947659485128276,0.012559795485922154,0.9136984082497781,0.00021581506152636566,0.0002234607819298782,0.08517490213982398,0.07523025412874057,0.8832443858314251,0.3714285714285715,-0.7714285714285715,0.608902957820296,0.6378224376010537,0.7283094388902897,0.0004947065604190497,0.8797281794475373,0.9599395035076935,0.2919653672366025
cube,gmm,4,2,0.9889787882339016,0.0010843552256641908,0.0,0.95449,2.882337808609009,0.4356465443814843,0.012562680647142548,0.9133233020851427,0.00020995576529149525,0.00021362068277736365,0.08853138453507624,0.07552728552252162,0.8531131182365913,0.6571428571428573,-0.3714285714285715,0.48401863938195433,0.6275916817695064,0.7294552615203136,0.008704309253750884,0.8593221373089859,0.9599395035076935,0.2919653672366025
