task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
tworoom,0,0,0,62.0,57.99999999999999,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train0/eval0/results.json,80f269de01c5bb2b67522eaf3361730029d0472d66641376219d83c1b5453a7f,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,0,0,1,56.00000000000001,66.0,-9.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train0/eval1/results.json,20043283a7e596e086157e2e529b7c498ee03e44bdf76f653e423de1e076e212,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,0,0,2,64.0,56.00000000000001,7.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train0/eval2/results.json,877fb722a5eb8c624c3fcf6af90f420dcacfe845292af20915e1e97b4cdc3cdf,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,0,0,3,57.99999999999999,52.0,5.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train0/eval3/results.json,405e1c9de5af41ff849c84e4a54b4aff42cf17f5b19d811e638ac7b2b63954ea,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,0,0,4,56.00000000000001,64.0,-7.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train0/eval4/results.json,8febf32b1fa216b0290e725e5dcb0bcdd9cfea9b0329c328c54d1b88d60db003,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,0,42,0,52.0,57.99999999999999,-5.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train42/eval0/results.json,047fa6fdcd8d2b736bef1d7d13e06db0f0a6d57e074d01a2296eb313093397cc,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,0,42,1,62.0,62.0,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train42/eval1/results.json,96d737bedeca1e1e23903b2642ba336a401b2e7502db1ced473d4f08716cbdce,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,0,42,2,57.99999999999999,57.99999999999999,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train42/eval2/results.json,831881e4f1f39e505c94625e1f103d07397e61a69f066e93cf898d9d5dc36e42,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,0,42,3,50.0,54.0,-4.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train42/eval3/results.json,ead0315feee1e8885db6819302836636c05fbcdf3c4c6bc936b641db7b8c4237,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,0,42,4,56.00000000000001,60.0,-3.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train42/eval4/results.json,955032728b67bc9c84b6fe9e39a4e35120be28fafa3bdcbdb6f8a91237052926,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,0,625,0,56.00000000000001,54.0,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train625/eval0/results.json,d5719e303a91e4e4ab46b9b0a3d62a70958d10efd38b361653539d522555ccab,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,0,625,1,62.0,62.0,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train625/eval1/results.json,9e997fae7cd7a99624418f135279db5108fd3499a237f141522774b94e866f28,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,0,625,2,57.99999999999999,54.0,3.999999999999993,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train625/eval2/results.json,0d8f17d6c0b9c6eeaa852c872040340bb6060898fcb162fe749f67ffdb714f0a,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,0,625,3,56.00000000000001,54.0,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train625/eval3/results.json,1c4af6983e1881fc9166000d8d0ee17644cc33c41bea4b4bd91ecaf5baa9710b,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,0,625,4,54.0,60.0,-6.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition0_train625/eval4/results.json,139c5e73397efcad58e45c8ad0a44bdfd8bc9212c08e78dab1a96c81caaefd58,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
tworoom,1,0,0,57.99999999999999,57.99999999999999,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train0/eval0/results.json,22ffd245da64954d57a74cb5d335a00d222003df5ac3cd5c07b435e17e0f9932,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,1,0,1,60.0,66.0,-6.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train0/eval1/results.json,562d95436225e17e98430db1b344405d1ab1c788637d45878dc6b41119823be3,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,1,0,2,56.00000000000001,56.00000000000001,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train0/eval2/results.json,e22a8b8ee4118ff477740f5d0989d8b14d79a1eccdd8e89cbef23253412f4f37,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,1,0,3,56.00000000000001,52.0,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train0/eval3/results.json,b99f0a5360c23c6ef5842b790d60196a700e2090b066331ce484ff381b111e09,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,1,0,4,57.99999999999999,64.0,-6.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train0/eval4/results.json,acd67d79d55b765d348f56b454c7dfdf8131bfd6e3c9aa89d4a6bfe54ae24e4d,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,1,42,0,60.0,57.99999999999999,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train42/eval0/results.json,cc179cb11fb9f1dd705d911f79f0bca44b6bc063900f0507e033701aa3d13403,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,1,42,1,70.0,62.0,8.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train42/eval1/results.json,f44729ddfdd551012363a6d26e839f6d728b8c0e038da249898821d18ebfe170,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,1,42,2,62.0,57.99999999999999,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train42/eval2/results.json,2a3d3b7a80375895dc6d8713aeb13fe9e5af2d4f1e3a8d40c48a4567a5ff8f4a,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,1,42,3,56.00000000000001,54.0,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train42/eval3/results.json,828568c036058a28f2dccc33488bea278d95db6db9f5b6b0b521229468129059,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,1,42,4,60.0,60.0,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train42/eval4/results.json,460521febd280bf2b3b748784cf39d56b877cad823cea9edf7c454b94c671663,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,1,625,0,50.0,54.0,-4.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train625/eval0/results.json,d75bd682da629bdcb2e3247acdb94a5647609bdc76b005040be4cdcc16d75ed0,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,1,625,1,57.99999999999999,62.0,-4.000000000000007,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train625/eval1/results.json,29288a7ee536488f6a6c8c6e7ae416e05755b09af312a16a9250251e71b3d3bd,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,1,625,2,62.0,54.0,8.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train625/eval2/results.json,bf8d76b269ab3b6e2ff4460bbe3d57d143adec4c306a1354b6fa84f3ce42ebda,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,1,625,3,62.0,54.0,8.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train625/eval3/results.json,cdc47c9719deb0214100cf860fb92d6894f78aec7140adea23a8571de259939f,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,1,625,4,54.0,60.0,-6.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition1_train625/eval4/results.json,29ca845848a4ac6876067deac46678e557ce9cc7af4da84919896e42a366ae4a,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
tworoom,2,0,0,57.99999999999999,57.99999999999999,0.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition2_train0/eval0/results.json,7e811b4b74be614e9d4698726a2a3282964956ae3f6d045f51c15d03cf8b36b0,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,2,0,1,60.0,66.0,-6.0,experiments/tworoom/matrix_k4_long/eval/gmm/partition2_train0/eval1/results.json,fa8ee34564d354a205aac569e2e8b61b22b130798f3b79b6f2fa45c7f51f02f4,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,2,0,2,57.99999999999999,56.00000000000001,1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/gmm/partition2_train0/eval2/results.json,c58a9ecb7823a397fc06111f6fbd0d6f7e47df2c0d5034868551861974cb5321,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
