task,method,num_clusters,partition_seed,weakest_pair_bures,transition_count
tworoom,kmeanspp,4,0,0.6794196433457741,891463
tworoom,kmeanspp,4,1,0.6615883038794057,891463
tworoom,kmeanspp,4,2,0.6695589123238516,891463
pusht,kmeanspp,4,0,0.29739327793124626,2281233
pusht,kmeanspp,4,1,0.44976206186676254,2281233
pusht,kmeanspp,4,2,0.31261167215717395,2281233
reacher,kmeanspp,4,0,0.5765574499654798,1980152
reacher,kmeanspp,4,1,0.626258401322547,1980152
reacher,kmeanspp,4,2,0.6124876587852196,1980152
cube,kmeanspp,4,0,0.4719475440827326,1980152
cube,kmeanspp,4,1,0.4270143063497765,1980152
cube,kmeanspp,4,2,0.5007606941127993,1980152
