task,method,num_clusters,partition_seed,region_i,region_j,normalized_squared_bures
tworoom,kmeanspp,4,0,0,1,0.9225803398011356
tworoom,kmeanspp,4,0,0,2,0.8374406116180971
tworoom,kmeanspp,4,0,0,3,0.9233588654094602
tworoom,kmeanspp,4,0,1,2,0.9008940714943925
tworoom,kmeanspp,4,0,1,3,0.6794196433457741
tworoom,kmeanspp,4,0,2,3,0.7433220248563626
tworoom,kmeanspp,4,1,0,1,0.9077305047905578
tworoom,kmeanspp,4,1,0,2,0.6615883038794057
tworoom,kmeanspp,4,1,0,3,0.8300474666928014
tworoom,kmeanspp,4,1,1,2,0.809711686245125
tworoom,kmeanspp,4,1,1,3,0.8517088389924279
tworoom,kmeanspp,4,1,2,3,0.7370962593946987
tworoom,kmeanspp,4,2,0,1,0.6695589123238516
tworoom,kmeanspp,4,2,0,2,0.8128054055290737
tworoom,kmeanspp,4,2,0,3,0.8936450133749169
tworoom,kmeanspp,4,2,1,2,0.8854095416902397
tworoom,kmeanspp,4,2,1,3,0.7924789905259993
tworoom,kmeanspp,4,2,2,3,0.8233577503013523
pusht,kmeanspp,4,0,0,1,0.29739327793124626
pusht,kmeanspp,4,0,0,2,0.5543842429782924
pusht,kmeanspp,4,0,0,3,0.5345577304284356
pusht,kmeanspp,4,0,1,2,0.44195035100131824
pusht,kmeanspp,4,0,1,3,0.40739596176208076
pusht,kmeanspp,4,0,2,3,0.5528311066879693
pusht,kmeanspp,4,1,0,1,0.4804428334845469
pusht,kmeanspp,4,1,0,2,0.5734068152928411
pusht,kmeanspp,4,1,0,3,0.5394220856927913
pusht,kmeanspp,4,1,1,2,0.4768975934525936
pusht,kmeanspp,4,1,1,3,0.44976206186676254
pusht,kmeanspp,4,1,2,3,0.5558245127154394
pusht,kmeanspp,4,2,0,1,0.44314006414478735
pusht,kmeanspp,4,2,0,2,0.5420477576787703
pusht,kmeanspp,4,2,0,3,0.31261167215717395
pusht,kmeanspp,4,2,1,2,0.5193768071021331
pusht,kmeanspp,4,2,1,3,0.43080497564856035
pusht,kmeanspp,4,2,2,3,0.4206274293186805
reacher,kmeanspp,4,0,0,1,0.5765574499654798
reacher,kmeanspp,4,0,0,2,0.8359185543032427
reacher,kmeanspp,4,0,0,3,0.6978843877913306
reacher,kmeanspp,4,0,1,2,0.8123873812080584
reacher,kmeanspp,4,0,1,3,0.7585200983978702
reacher,kmeanspp,4,0,2,3,0.6005780845939522
reacher,kmeanspp,4,1,0,1,0.6865550118937602
reacher,kmeanspp,4,1,0,2,0.8957969804802115
reacher,kmeanspp,4,1,0,3,0.6922651460477288
reacher,kmeanspp,4,1,1,2,0.626258401322547
reacher,kmeanspp,4,1,1,3,0.6563165361635925
reacher,kmeanspp,4,1,2,3,0.7050081352219935
reacher,kmeanspp,4,2,0,1,0.6124876587852196
reacher,kmeanspp,4,2,0,2,0.6387062224520467
reacher,kmeanspp,4,2,0,3,0.7395959315972767
reacher,kmeanspp,4,2,1,2,0.8119229775636037
reacher,kmeanspp,4,2,1,3,0.6771006929343631
reacher,kmeanspp,4,2,2,3,0.8061710600470583
cube,kmeanspp,4,0,0,1,0.5994607022086431
cube,kmeanspp,4,0,0,2,0.6396147824476525
cube,kmeanspp,4,0,0,3,0.549432321400495
cube,kmeanspp,4,0,1,2,0.7210153904204639
cube,kmeanspp,4,0,1,3,0.6829606330919219
cube,kmeanspp,4,0,2,3,0.4719475440827326
cube,kmeanspp,4,1,0,1,0.5154199418376297
cube,kmeanspp,4,1,0,2,0.7683325364380331
cube,kmeanspp,4,1,0,3,0.5536928987782727
cube,kmeanspp,4,1,1,2,0.7003261822857069
cube,kmeanspp,4,1,1,3,0.4270143063497765
cube,kmeanspp,4,1,2,3,0.7472621063103866
cube,kmeanspp,4,2,0,1,0.6469588483699215
cube,kmeanspp,4,2,0,2,0.5007606941127993
cube,kmeanspp,4,2,0,3,0.5892116647871483
cube,kmeanspp,4,2,1,2,0.6243830874821928
cube,kmeanspp,4,2,1,3,0.6241027997753396
cube,kmeanspp,4,2,2,3,0.7018079266192777
