task,partition_method,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,mean_pairwise_response,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
tworoom,kmeanspp,4,0,0.9972056351759139,7.57351608127177e-05,0.0,0.9265116666666666,4.300146579742432,0.3184970913899131,0.0003469020779783003,0.40171746051057444,0.00709384758078006,0.007070444503771785,0.04908181119514246,0.03818037935934772,0.7778926333331065,0.08571428571428573,-0.942857142857143,0.7318500737722248,0.6794196433457741,1.052569043953259,0.05276305591619938,0.9473001004010587,0.8206800371099119,0.12168207281360731
tworoom,kmeanspp,4,1,0.9972056351759139,7.57351608127177e-05,0.0,0.9164233333333334,4.410594940185547,0.30921208505265885,0.0003715236844448469,0.3882421375996107,0.0073465067062218024,0.007302620999392071,0.05164981138361265,0.03963821730973165,0.7674416662498789,-0.48571428571428577,-0.5428571428571429,0.7578296035809138,0.6615883038794057,1.003652396030444,0.02854738383553371,0.926969547292302,0.8206800371099119,0.12168207281360731
tworoom,kmeanspp,4,2,0.9972056351759139,7.57351608127177e-05,0.0,0.9199216666666666,3.840549945831299,0.3110182722874707,0.0003205843291546284,0.4217599914836669,0.00828501846617486,0.008259674738884368,0.04911253578848777,0.042494409329101396,0.8652456780507413,0.6,-0.028571428571428574,0.8256871464109324,0.6695589123238516,1.094253821814772,0.009248681887658237,0.9491097190466737,0.8206800371099119,0.12168207281360731
pusht,kmeanspp,4,0,0.995516272164932,0.0015123212105939698,0.0,0.8616583333333333,1.1342179775238037,0.41138834942083913,0.012977619803440598,0.799462330075337,0.0027169025382471814,0.002643514842035733,0.042301488619644605,0.03012850256431256,0.7122326789776621,0.942857142857143,0.942857142857143,0.26792359642758723,0.29739327793124626,0.29781768559677246,0.0035868202076134123,0.7092287451152198,0.4668276329923221,0.33013094944494964
pusht,kmeanspp,4,1,0.995516272164932,0.0015123212105939698,0.0,0.8708866666666667,1.2254868745803833,0.39677347317102274,0.013396564462640983,0.8205440461385132,0.0025357265041185476,0.0025870607761501667,0.04813091587243378,0.03923307557565559,0.8151325372581516,0.7714285714285715,0.6,0.38507289362790326,0.44976206186676254,0.4494838437409321,0.006040581819224321,0.8277040396464954,0.4668276329923221,0.33013094944494964
pusht,kmeanspp,4,2,0.995516272164932,0.0015123212105939698,0.0,0.8565916666666666,1.14052152633667,0.39884743349472174,0.013353331530641934,0.7971555001546184,0.0026382790775392882,0.0026939268766742065,0.04050475390186297,0.02942578690678719,0.7264773655477952,0.7714285714285715,0.6571428571428573,0.27067948211873577,0.31261167215717395,0.31228604398911075,0.01725592721840985,0.722238492687587,0.4668276329923221,0.33013094944494964
reacher,kmeanspp,4,0,0.9998199675445725,0.00011726978387305298,0.0,0.9546383333333334,7.669456958770752,0.4199421723127675,0.0003014897892815927,0.7940379432673239,0.000205089641085021,0.00020518478070664182,0.02831523452751265,0.021344158464324987,0.7538047563613086,-0.14285714285714288,-0.7714285714285715,0.6501117469708673,0.5765574499654798,1.1525720666979966,0.007564098824103512,0.9161885927081187,0.9023812438919899,0.13368589046944734
reacher,kmeanspp,4,1,0.9998199675445725,0.00011726978387305298,0.0,0.9561583333333333,7.959817886352539,0.43382357000327654,0.0003131902290011157,0.7996437557078477,0.0002237793382785623,0.0002238590456998136,0.032834928036582244,0.026250278011167732,0.7994620235476568,-0.028571428571428574,-0.5428571428571429,0.5445314988655623,0.626258401322547,1.1033828713199032,0.019752185130049053,0.8771370022437703,0.9023812438919899,0.13368589046944734
reacher,kmeanspp,4,2,0.9998199675445725,0.00011726978387305298,0.0,0.9515066666666666,7.476018905639648,0.4145661544250631,0.00031009127592419134,0.7765619388726142,0.0003364681258988133,0.0003365786055868949,0.03930618743522791,0.026653648730366318,0.6781031300552484,0.2571428571428572,-0.6571428571428573,0.6765335800259863,0.6124876587852196,1.1879739491453483,0.04688385801576836,0.8829512884698382,0.9023812438919899,0.13368589046944734
cube,kmeanspp,4,0,0.9998287223070398,0.0010843552256641908,0.0,0.84852,1.0763522386550903,0.28065324524928803,0.011905208568132663,0.807037183464212,0.0002133833726613705,0.0002251707215680011,0.0520745717664192,0.03607843482740217,0.6928224967308844,-0.2571428571428572,-0.3714285714285715,0.4877603442451162,0.4719475440827326,0.4926151411248303,0.0014261491085774817,0.8777103351223968,0.9599395035076935,0.2919653672366025
cube,kmeanspp,4,1,0.9998287223070398,0.0010843552256641908,0.0,0.85933,1.238703727722168,0.29148236752797496,0.011944880873887474,0.7915656526367726,0.00015823262256529054,0.00020986705485705624,0.05128334767130412,0.032152244120988,0.6269529112464506,-0.3142857142857143,-0.14285714285714288,0.41157108853632524,0.4270143063497765,0.4283167584102593,0.008906565707068262,0.8364163628777455,0.9599395035076935,0.2919653672366025
cube,kmeanspp,4,2,0.9998287223070398,0.0010843552256641908,0.0,0.8574533333333333,1.1168532371520996,0.29096413105460156,0.011967509569672772,0.8134896488814484,0.0001913186662483837,0.000206998682754978,0.05346320084846124,0.03720078282191161,0.695820344302904,0.028571428571428574,0.3714285714285715,0.5068528478982525,0.5007606941127993,0.5035060209638089,0.013526766963687317,0.8492957548876152,0.9599395035076935,0.2919653672366025
