partition_method,num_clusters,metric,criterion_scope,direction,threshold,threshold_source,correct,covered,total,accuracy,full_grid_accuracy
kmeanspp,4,normalized_cluster_entropy,partition_specific,lower,0.9971145811665179,K4_excluding_pusht_balanced_accuracy,1,4,4,0.25,0.25
kmeanspp,4,eigengap_after_k,task_graph_only,higher,0.00060081250476855,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,prototype_distance_ratio,partition_specific,lower,1.0793239933536816,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,knn_purity,partition_specific,lower,0.9621138888888889,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,margin_radius_ratio_mean,partition_specific,lower,6.271207054456075,K4_excluding_pusht_balanced_accuracy,3,4,4,0.75,0.75
kmeanspp,4,tangent_contrast_mean_d8,partition_specific,lower,0.46942558369420295,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,curvature_tail_mean_d8,partition_specific,higher,0.0003490456629873,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,flow_persistence_h10,partition_specific,lower,0.8095587071076287,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,latent_velocity_eta2,partition_specific,higher,0.0001317046974314977,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,action_residual_velocity_eta2,partition_specific,higher,0.00013423426922695023,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,mean_pairwise_response,partition_specific,higher,0.016278600076199752,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,minimum_pairwise_response,partition_specific,higher,0.013325377152480201,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,pairwise_uniformity_min_over_mean,partition_specific,higher,0.799148726123863,K4_excluding_pusht_balanced_accuracy,3,4,4,0.75,0.75
kmeanspp,4,response_centroid_spearman,partition_specific,higher,0.14285714285714285,K4_excluding_pusht_balanced_accuracy,1,4,4,0.25,0.25
kmeanspp,4,response_boundary_spearman,partition_specific,lower,0.038095238095238126,K4_excluding_pusht_balanced_accuracy,3,4,4,0.75,0.75
kmeanspp,4,boundary_min_jacobian_bures_distance,partition_specific,lower,0.6010348681247366,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,jacobian_bures_distance,partition_specific,higher,0.508947854338762,predeclared_existing,2,4,4,0.5,0.5
kmeanspp,4,jacobian_cosine_distance,partition_specific,lower,0.8265036167428612,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,jacobian_log_scale_distance,partition_specific,lower,0.0125081574386035,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,jacobian_subspace_chordal_distance,partition_specific,higher,0.8675955672295013,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,check1_retained_safety_fraction,task_graph_only,lower,0.8615306405009509,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
kmeanspp,4,check2_prominence_ratio,task_graph_only,higher,0.21282562885302492,K4_excluding_pusht_balanced_accuracy,2,4,4,0.5,0.5
