task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
tworoom,0,0,0,57.99999999999999,57.99999999999999,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train0/eval0/results.json,0c21591e98c50f9436e758bd351ab08ce52fb91eaa8028213a304ffb1b7d513b,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,0,0,1,62.0,66.0,-4.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train0/eval1/results.json,1090a0e4f9c5554e486c1c78b1a0f09119b46bd7fb4e8907651faebb26613f44,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,0,0,2,60.0,56.00000000000001,3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train0/eval2/results.json,d869e83d9ae236646ad85182f84f15607f9c9f13522cbf6b3dd90bb9cd8a1ef7,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,0,0,3,56.00000000000001,52.0,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train0/eval3/results.json,b84b59411255f691ff2373e68e2ccf5fa60c887976d1c50d0c6ac19c17e92023,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,0,0,4,57.99999999999999,64.0,-6.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train0/eval4/results.json,94fd529e9328ae3d9940eaa80f3f5979e75ed7bc807b3ff66d9e6bb6998f0768,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,0,42,0,62.0,57.99999999999999,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train42/eval0/results.json,3e7178df2f280103c7560030968519c8436e995e7162d27387c28e1e61eb6e6b,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,0,42,1,66.0,62.0,4.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train42/eval1/results.json,23daa6a8593809420020dcdc2e214afa355c2406229d5c869caa0912a9dd4d44,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,0,42,2,62.0,57.99999999999999,4.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train42/eval2/results.json,6621785cb1c183dd39c46da1d35fff5312fce8895dd2a27a9e61b817cd8e170a,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,0,42,3,54.0,54.0,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train42/eval3/results.json,7c81bc456b4e201ddb08039bad02c200470c33846c721726395c4795a827c2ec,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,0,42,4,62.0,60.0,2.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train42/eval4/results.json,15a71c73131e2e16aeca006bed967016b6a7fc9d33f228f5845c3ac1ac8d09a9,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
tworoom,0,625,0,62.0,54.0,8.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train625/eval0/results.json,8827c0ce63d6d8deac405d0b7ae25e6a0bd084779783ff4cc8edeeae957338bb,experiments/tworoom/matrix_k4_long/eval/global/train625/eval0/results.json,9e16f1fba9160a95db4d34c2be2bc687b4c7ce95f4ec5f827fb7cc2ad7a7f18f
tworoom,0,625,1,57.99999999999999,62.0,-4.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train625/eval1/results.json,31e9d80678b36be5a1221b0b24c9716207cf143ba4ccf7605767039ad8262c28,experiments/tworoom/matrix_k4_long/eval/global/train625/eval1/results.json,7114317e6925af8a1fb418a0841b7f236c5cbe4898e52720371f4bc05aa9a9c0
tworoom,0,625,2,60.0,54.0,6.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train625/eval2/results.json,d408fdf98dd530400aee48c2f319b6c388bcdee5cd612e445080393f7b61ed0f,experiments/tworoom/matrix_k4_long/eval/global/train625/eval2/results.json,9f697bba7add1cc9fcbfec670ba2e1538e1a59cf48b532dafea9d368e231f9e3
tworoom,0,625,3,57.99999999999999,54.0,3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train625/eval3/results.json,9134def412c5a086021f8847d220942b28144c5943bd5ec769b9accf890c1ecd,experiments/tworoom/matrix_k4_long/eval/global/train625/eval3/results.json,059574563bb638f77c2b10112e0c988a89ed414dfafc19d1e4e73055650586b0
tworoom,0,625,4,56.00000000000001,60.0,-3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition0_train625/eval4/results.json,f5a2a71a7c35ffa7169d825b86104757c0f9d01005479a534e84cb37ab127066,experiments/tworoom/matrix_k4_long/eval/global/train625/eval4/results.json,2660e040f47cbdf4e69f8a965c47be84a497b1470e5c2f6aa348b09f13758b97
tworoom,1,0,0,56.00000000000001,57.99999999999999,-1.9999999999999858,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train0/eval0/results.json,a13e790c3f6e0b23b0ff53d6e435a28e9f5240e6a2de052fbf7d96994590d15f,experiments/tworoom/matrix_k4_long/eval/global/train0/eval0/results.json,ea803440b197179b802c291a2d66af8ca353c9da767de9941ce527bda05c3b79
tworoom,1,0,1,66.0,66.0,0.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train0/eval1/results.json,0a4ae88415b88e8a0e1160a3c62e86681421298c0590de96ca0b08e68b9d7e0f,experiments/tworoom/matrix_k4_long/eval/global/train0/eval1/results.json,534e4829fed4bcf9283a110c38a6bb1513581ae50b9b088f1b8c362c380ddc98
tworoom,1,0,2,54.0,56.00000000000001,-2.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train0/eval2/results.json,54c356750f47f32f9531168b4c9b13ede96e2210429352472002eedf4616bb94,experiments/tworoom/matrix_k4_long/eval/global/train0/eval2/results.json,64d81eb05b6a16a8041f44be8f067578d1fe37da823094e1eab3c5792162f7db
tworoom,1,0,3,60.0,52.0,8.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train0/eval3/results.json,dc36b1d22ba61fbd7e5a3e7543714591b3019d617a94f176b3b3be16f887c3da,experiments/tworoom/matrix_k4_long/eval/global/train0/eval3/results.json,4039c7152019ddc151d3123008b71f10db2d66e2db606cf72acf4eb012b4cd02
tworoom,1,0,4,62.0,64.0,-2.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train0/eval4/results.json,a379d480936e8fef0ff8c9d72ddeb5e192ae3a9b63f51044840f89a1f398bd58,experiments/tworoom/matrix_k4_long/eval/global/train0/eval4/results.json,6c62e6f34fb5a37b36ba2ec87097315f14834b273f8c214bb35f46c0bf54a692
tworoom,1,42,0,60.0,57.99999999999999,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train42/eval0/results.json,29cf29b0be968e4517f9a34bd9f26da735ca849c9b5d92c0b9482d0b48c9a21b,experiments/tworoom/matrix_k4_long/eval/global/train42/eval0/results.json,43c3e0f66b6fb59d055eb4c0b182e8de86bb2ff5fa9f854b3b5231136cfc17d3
tworoom,1,42,1,66.0,62.0,4.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train42/eval1/results.json,4eec8a88737ea54398321a07abe99b38abbe9c0ccda08f7b35e14ead8886e71c,experiments/tworoom/matrix_k4_long/eval/global/train42/eval1/results.json,ee03385fcb5a37c6c1fc861b77cd0bbb72178b719e7cd176b721532bc09e15a1
tworoom,1,42,2,60.0,57.99999999999999,2.000000000000007,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train42/eval2/results.json,c1dc027407ab7a2403713d7f410a1a70e136afc11ae193bc3b03a98fd547f0de,experiments/tworoom/matrix_k4_long/eval/global/train42/eval2/results.json,e229e18106054764df45e4e8ff2135159d38af3891e8fe6100ff4d379808de37
tworoom,1,42,3,52.0,54.0,-2.0,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train42/eval3/results.json,4c708a12a26f2e2c2b9a8b95da6b060f58a3ca6df83b7fdd0add5ee9a9b05fb4,experiments/tworoom/matrix_k4_long/eval/global/train42/eval3/results.json,8cb7872010fe354e24572a4bc661c66bc7fd618b7cd84b348173de7ab7479244
tworoom,1,42,4,56.00000000000001,60.0,-3.999999999999993,experiments/tworoom/matrix_k4_long/eval/kmeanspp/partition1_train42/eval4/results.json,2891c03001e650edd3156b60c717aa60c94421965493b53012b0cc7522d3f6ea,experiments/tworoom/matrix_k4_long/eval/global/train42/eval4/results.json,2deab296b0e381ff6b8de8a1c04c96db9497df4d412096e1f0ed290adf28f23c
