task,method,num_clusters,partition_seeds,q_mean,q_sd,weakest_pair_bures_mean,weakest_pair_bures_sd,r_pair_mean,r_pair_sd,r_b_mean,r_b_sd,r_Q_mean,r_Q_sd,affine_reference_gain_normalized_mean,affine_reference_gain_normalized_sd,Sc_mean,Sc_sd,min_region_fraction_mean,min_region_fraction_sd,max_region_fraction_mean,max_region_fraction_sd
tworoom,spectral,4,"0,1,2",0.34918445120262726,0.002720385858688236,0.6983689024052545,0.005440771717376472,0.07653135625989778,0.00202206057064024,0.03979996122289875,0.001867248167828591,0.08140651204517631,0.0005267354357668786,0.5469222807306003,0.0017601849789500089,1.8330783117171199,0.0014542731189638716,0.21546042853152625,0.003178886544269227,0.2840697445285634,0.0027992862795307052
tworoom,gmm,4,"0,1,2",0.35197645488377466,0.028051004943536323,0.7039529097675493,0.056102009887072646,0.07165808659614963,0.030441876001212953,0.12196035545226115,0.02474308132105198,0.11170627201256535,0.017795971278660262,0.6573011689447508,0.029068982770183674,2.277212790385238,0.243543212277878,0.21692132296386202,0.0011531771407909514,0.29003297575633163,0.02010509238465872
tworoom,kmeanspp,4,"0,1,2",0.3350945656138781,0.004466178146573904,0.6701891312277563,0.008932356293147809,0.07127626292501603,0.0040316560056079575,0.3919267302668172,0.06581920864668986,0.16683716403025203,0.013756472691227328,0.9651347228359635,0.057238897889607364,3.026648801278941,0.2498724539510873,0.22705560036329794,0.007467922769381866,0.2694574349505625,0.0106956853217502
pusht,spectral,4,"0,1,2",0.26712236866848754,0.011088729969784812,0.5342447373369751,0.022177459939569624,0.026937439423944314,0.004392627828118307,0.05114586748922519,0.005233651656076397,0.000338214209536768,0.00014004297378092745,0.34554388979119377,0.0026557072753242627,0.13528662612688633,0.0010933518033681765,0.165773217086257,0.0032744824621904994,0.3279111194107163,0.014973317065876178
pusht,gmm,4,"0,1,2",0.23537286341752006,0.0284079263324974,0.4707457268350401,0.0568158526649948,0.06561740733041695,0.00912823108541415,0.06304379862134739,0.009460360430050123,0.001316804193636002,0.00036985875780887797,0.36535087356292034,0.01994322155417478,0.14456728018424705,0.012711934123513182,0.1726826384386572,0.00640938847665953,0.32216305831100983,0.018941312840373536
pusht,kmeanspp,4,"0,1,2",0.17662783532703372,0.04196132904174714,0.35325567065406743,0.08392265808349428,0.057559220187254845,0.025506258460176633,0.04707668994382743,0.002943810122212282,0.00030952175062707774,0.00025780194734972714,0.28157326720874304,0.014823324515058555,0.11910729313460854,0.004645593708111676,0.21302631807740233,0.00216655769986431,0.29793960839014105,0.006137547184731944
reacher,spectral,4,"0,1,2",0.1910920571949923,0.006469847990487073,0.3821841143899846,0.012939695980974147,0.12999485764190202,0.011841559511155937,0.006557768349798216,0.00014594328331579218,0.3025465422020566,0.00529296813989685,0.6301912253887493,0.00022701500882115787,0.12498366319995187,0.0007929790238679057,0.23985616592396272,0.002132987261499704,0.25537197817810625,0.0020540215116090573
reacher,gmm,4,"0,1,2",0.2429480863118427,0.05691531829686058,0.4858961726236854,0.11383063659372115,0.11516842283442293,0.056657922532871004,0.010216081667866007,0.0010798455915847823,0.27833995045340504,0.002213637207485197,0.6466725412675366,0.004003585272745181,0.19621922218372342,0.027549330129159992,0.23034679492618074,0.00973018474235675,0.2723950821283753,0.006635039313740178
reacher,kmeanspp,4,"0,1,2",0.3025505850130707,0.012830299135294087,0.6051011700261414,0.025660598270588173,0.05214176675466844,0.01409462594656303,0.013335101861429485,0.0017798285205659933,0.28943652091122324,0.0030656808695914807,0.6574639745403917,0.0030649596617667906,0.2568329481614697,0.03898578893775162,0.23721428119322827,0.009968640247317879,0.2631383853360752,0.0063083861405455145
cube,spectral,4,"0,1,2",0.3178557971456841,0.01534826520175118,0.6357115942913683,0.03069653040350236,0.029147472336350445,0.011169163751222047,0.0038303187977408357,5.931120647115689e-05,0.048929484547456194,0.005275633519001087,0.3997630728272316,0.0013742684053711712,0.32442138171662877,0.0033918548230503546,0.21481111887706938,0.028089078297807483,0.3004271052592596,0.031242187894617787
cube,gmm,4,"0,1,2",0.31398298423875864,0.00483737864930907,0.6279659684775173,0.00967475729861814,0.033135029076598536,0.003619583344124419,0.003892868969272755,0.00029675083766374336,0.05554857792154335,0.009914375976169358,0.4065594602061733,0.008331048245762735,0.3299469491269966,0.004779956453044464,0.1991582801050963,0.0029485617137063208,0.3188125625372867,0.013272710054562618
cube,kmeanspp,4,"0,1,2",0.23328709075832565,0.018582836139806814,0.4665741815166513,0.03716567227961363,0.07602748326831937,0.02053414302421701,0.004098584832374084,0.00038984030932711115,0.024197186233799628,0.0061378496434588035,0.33761034509281873,0.004103103675356048,0.24254071288024304,0.0021686736338393494,0.23177126469752488,0.01036320844015399,0.26438525931342644,0.005125424372169046
