task,method,num_clusters,partition_seed,region_i,region_j,pi_i,pi_j,energy_i,energy_j,bures_squared,normalized_bures,q_ij,weight,fixed_action_factor_distance_squared,orthogonal_relaxation_gap,intercept_distance_squared
tworoom,spectral,4,0,0,1,0.21886606623045488,0.2184386788907672,1.1931695529687796,1.1681672624566808,2.259724304632589,0.9569682265871239,0.47848411329356194,0.12318010734329682,2.3005800284203075,0.04085572378771829,0.1159033936847281
tworoom,spectral,4,0,0,2,0.21886606623045488,0.2872166315371474,1.1931695529687796,1.2689100861003753,2.4429359753976754,0.9922245960822301,0.49611229804111506,0.16887477362124023,2.4497815901565514,0.0068456147588760174,0.16078968640499244
tworoom,spectral,4,0,0,3,0.21886606623045488,0.27547862334163054,1.1931695529687796,1.269038494476975,1.7087412819685248,0.6939873678591616,0.3469936839295808,0.16198162412188838,2.5403972428525825,0.8316559608840577,0.23063618696333532
tworoom,spectral,4,0,1,2,0.2184386788907672,0.2872166315371474,1.1681672624566808,1.2689100861003753,1.8168337016951814,0.745496938277684,0.372748469138842,0.1668334402498332,2.591824179107216,0.7749904774120346,0.24412753941905346
tworoom,spectral,4,0,1,3,0.2184386788907672,0.27547862334163054,1.1681672624566808,1.269038494476975,2.2679439533716654,0.9305508765189586,0.4652754382594793,0.16002369974320318,2.283964792302494,0.016020838930828507,0.1582535317048001
tworoom,spectral,4,0,2,3,0.2872166315371474,0.27547862334163054,1.2689100861003753,1.269038494476975,2.0814994994984604,0.8201503826468172,0.4100751913234086,0.21910635492053823,2.676672030522255,0.5951725310237945,0.27994682070980476
tworoom,spectral,4,1,0,1,0.27844677793694184,0.22386683463026508,1.2738282460593195,1.1613306330276474,2.272083050887514,0.9330327767933579,0.46651638839667897,0.16574458316812207,2.2886060715232635,0.016523020635749397,0.15064232605556097
tworoom,spectral,4,1,0,2,0.27844677793694184,0.21582948479073163,1.2738282460593195,1.1431958303522112,1.683845174010592,0.6966604885916307,0.34833024429581533,0.1586039628129011,2.46726597453171,0.7834208005211178,0.17775781731139492
tworoom,spectral,4,1,0,3,0.27844677793694184,0.2818569026420614,1.2738282460593195,1.3074524868784736,2.1215325715245577,0.8218914527402104,0.4109457263701052,0.22120054800736544,2.7269502473743588,0.6054176758498011,0.2486415771210092
tworoom,spectral,4,1,1,2,0.22386683463026508,0.21582948479073163,1.1613306330276474,1.1431958303522112,2.2063491457707167,0.9573980515436766,0.4786990257718383,0.12158005040271352,2.2460773728531627,0.039728227082445944,0.1065056235215174
tworoom,spectral,4,1,1,3,0.22386683463026508,0.2818569026420614,1.1613306330276474,1.3074524868784736,1.8217462036533925,0.7379126132888769,0.36895630664443846,0.17009104911482267,2.6525094554357302,0.8307632517823378,0.25438848159637006
tworoom,spectral,4,1,2,3,0.21582948479073163,0.2818569026420614,1.1431958303522112,1.3074524868784736,2.428964816440661,0.9911519328834066,0.4955759664417033,0.1627798064940752,2.430874923266388,0.0019101068257270093,0.14621570161201455
tworoom,spectral,4,2,0,1,0.22560442777770923,0.27914675090272956,1.2171518717300727,1.2612922195691074,2.306388950220862,0.9305793736956446,0.4652896868478223,0.1701577650495008,2.321045395286051,0.014656445065188706,0.15326457557699197
tworoom,spectral,4,2,0,2,0.22560442777770923,0.28313569940648126,1.2171518717300727,1.3047360058176705,1.8895987688359632,0.7492794527698784,0.3746397263849392,0.1756145414649405,2.77175711555379,0.8821583467178269,0.2839142527704132
tworoom,spectral,4,2,0,3,0.22560442777770923,0.21211312191307996,1.2171518717300727,1.1131007609721904,2.2303811930049178,0.9571413681522034,0.4785706840761017,0.12156557598891343,2.2661066400113783,0.03572544700646052,0.1072203385284973
tworoom,spectral,4,2,1,2,0.27914675090272956,0.28313569940648126,1.2612922195691074,1.3047360058176705,2.1243804909597968,0.8278866420651272,0.4139433210325636,0.2210961028145041,2.7053258882031175,0.5809453972433207,0.2701719584216923
tworoom,spectral,4,2,1,3,0.27914675090272956,0.21211312191307996,1.2612922195691074,1.1131007609721904,1.6726621503365382,0.7044588507649716,0.3522294253824858,0.1532657669714522,2.3848879636568148,0.7122258133202766,0.1574799712932064
tworoom,spectral,4,2,2,3,0.28313569940648126,0.21211312191307996,1.3047360058176705,1.1131007609721904,2.382181460464559,0.9852532202276661,0.4926266101138331,0.15830024771068893,2.4041168361866996,0.02193537572214055,0.15072215572590542
tworoom,gmm,4,0,0,1,0.25214394764561177,0.21787555961380337,1.0680060966413802,1.6486913393576588,2.1287983777788018,0.7835978896913697,0.39179894484568484,0.12904420940686634,3.230146861877219,1.1013484840984171,1.4957644319390075
tworoom,gmm,4,0,0,2,0.25214394764561177,0.26713391357801725,1.0680060966413802,1.9809463431759937,2.6993713042646053,0.8853438541751383,0.44267192708756914,0.17756951537219973,3.353778271482417,0.6544069672178119,1.3331165721271918
tworoom,gmm,4,0,0,3,0.25214394764561177,0.2628465791625676,1.0680060966413802,1.4780454540787782,2.327914404767903,0.9143233584997308,0.4571616792498654,0.1459009953526387,2.3857403844119824,0.05782597964407943,0.6821631781817312
tworoom,gmm,4,0,1,2,0.21787555961380337,0.26713391357801725,1.6486913393576588,1.9809463431759937,3.4307397249139733,0.9452017046834164,0.4726008523417082,0.18265896907686577,3.8189845219478595,0.38824479703388626,0.5056656325127802
tworoom,gmm,4,0,1,3,0.21787555961380337,0.2628465791625676,1.6486913393576588,1.4780454540787782,2.3276617528248136,0.7444380216815754,0.3722190108407877,0.15482545100330253,3.3504866629840326,1.022824910159219,0.694449100912157
tworoom,gmm,4,0,2,3,0.26713391357801725,0.2628465791625676,1.9809463431759937,1.4780454540787782,2.4670275444498184,0.7132215654306479,0.3566107827153239,0.21000085978812702,3.9908831626304155,1.5238556181805971,0.7947368582627008
tworoom,gmm,4,1,0,1,0.2981750224069872,0.24709830918389208,1.0870775055761617,1.9448286472392176,2.743048947348158,0.9047275242345503,0.45236376211727514,0.22142387499928612,2.775728403709009,0.03267945636085079,0.6003793930977108
tworoom,gmm,4,1,0,2,0.2981750224069872,0.21563990877916414,1.0870775055761617,1.6261567718164374,2.223197758679078,0.8193902668867787,0.40969513344338937,0.17292403200424328,3.123936895855592,0.9007391371765139,1.0431321799979503
