task,method,num_clusters,partition_seeds,regional_to_global_mse_ratio_mean,regional_to_global_mse_ratio_sd,regional_gain_fraction_mean,regional_gain_fraction_sd,normalized_regional_residual_energy_mean,normalized_regional_residual_energy_sd,normalized_regional_residual_l2_mean,normalized_regional_residual_l2_sd,worst_region_normalized_residual_energy_mean,worst_region_normalized_residual_energy_sd,worst_region_normalized_residual_l2_mean,worst_region_normalized_residual_l2_sd
tworoom,spectral,4,"0,1,2",0.9936871340395795,2.5934308362292697e-05,0.006312865960420397,2.593430836229955e-05,0.9918571592417226,2.5886547725201842e-05,0.9959202574147792,1.299629103714748e-05,0.9929880517398345,0.00013129727474708468,0.9964878568484874,6.587878633336657e-05
tworoom,gmm,4,"0,1,2",0.9905450673511038,0.0011401793254806464,0.009454932648896174,0.0011401793254806243,0.9887208789850681,0.0011380795705787272,0.9943443370996256,0.0005721839400219965,0.9921687318475582,0.0015235616941872265,0.9960764738509438,0.0007649394370323294
tworoom,kmeanspp,4,"0,1,2",0.9813939661281922,0.0007236627773859459,0.01860603387180787,0.0007236627773859206,0.9795866304354348,0.0007223300795989016,0.9897406436264721,0.00036494374516377824,0.9833416592915648,0.001950679310697745,0.9916355248011253,0.0009838017800268028
pusht,spectral,4,"0,1,2",0.9776555295496246,0.00032933546828659704,0.022344470450375353,0.0003293354682866168,0.9541944828837309,0.00032143232187483746,0.976828779694047,0.00016452280793553408,0.9626273407984479,0.0012530016732498362,0.9811356017046865,0.000638591454726749
pusht,gmm,4,"0,1,2",0.9757657112332226,0.002716846057853054,0.024234288766777395,0.0027168460578530693,0.9523500150147729,0.002651649216817686,0.9758835919342843,0.0013583123050907718,0.96274238627048,0.0020618553538224223,0.9811939922835098,0.0010505550159962682
pusht,kmeanspp,4,"0,1,2",0.9841098048963399,0.0015134992232396156,0.015890195103659997,0.0015134992232396344,0.9604938733548156,0.0014771794001199872,0.9800477001641573,0.000753748394559002,0.9661930353828772,0.0030559651395679426,0.9829503669090873,0.0015547875261833664
reacher,spectral,4,"0,1,2",0.9941372509799264,3.472234841258291e-05,0.005862749020073589,3.472234841263378e-05,0.9937871433244169,3.471012016143537e-05,0.9968887315655466,1.7409159051995918e-05,0.9945711018762751,0.00033444656306585405,0.997281847388957,0.00016768159144670724
reacher,gmm,4,"0,1,2",0.990606545626286,0.0012427975410737738,0.009393454373713984,0.00124279754107376,0.9902576813875906,0.001242359862138763,0.995116787931443,0.0006242170276067246,0.9937096404316413,0.0011056595052234262,0.9968497557106247,0.0005544880196690613
reacher,kmeanspp,4,"0,1,2",0.9875874542693154,0.001926529575004501,0.012412545730684505,0.0019265295750044978,0.9872396532711291,0.0019258511045495107,0.9935990272989943,0.0009691916385926458,0.9911592727171645,0.0006395310507380255,0.9955697885904273,0.0003211615863666553
cube,spectral,4,"0,1,2",0.970622211477373,0.0005824806710821789,0.029377788522626885,0.0005824806710822238,0.9522653558370107,0.0005714645275551579,0.9758408162650988,0.00029278339187092586,0.9593033397511824,0.006506824990370123,0.9794365716408144,0.003318557744722541
cube,gmm,4,"0,1,2",0.9693184947828472,0.0010861636941815714,0.030681505217152794,0.0010861636941815452,0.9509862956348606,0.001065621664646148,0.9751851601687815,0.0005463809776276297,0.9581449447718088,0.004178209773786962,0.9788472344930127,0.002134114754364857
cube,kmeanspp,4,"0,1,2",0.9805804837061715,0.0004893677653997049,0.019419516293828407,0.0004893677653997385,0.962035292621215,0.0004801126161578519,0.9808339577586836,0.0002447304178406664,0.9752896698376032,0.0035731047400625756,0.9875664483017784,0.001808325004269572
