task,train_seed,global_mean_percent,spectral_k4_mean_percent,delta_spectral_minus_global_pp
tworoom,0,59.2,60.13333333333333,0.93333333333333
tworoom,42,58.4,60.0,1.6000000000000014
tworoom,625,56.8,58.53333333333333,1.7333333333333343
pusht,0,40.4,41.46666666666667,1.06666666666667
pusht,42,40.8,40.13333333333333,-0.6666666666666643
pusht,625,40.0,40.666666666666664,0.6666666666666643
reacher,0,77.6,80.13333333333334,2.5333333333333456
reacher,42,79.6,76.0,-3.5999999999999943
reacher,625,78.8,76.66666666666667,-2.1333333333333258
cube,0,47.6,50.4,2.799999999999997
cube,42,49.2,50.4,1.1999999999999957
cube,625,47.6,50.666666666666664,3.066666666666663
