metric,layer2_correct,layer2_covered,layer2_total,layer2_accuracy,full_grid_accuracy,direction,threshold,layer1_accuracy,threshold_source
jacobian_bures_distance,8,8,8,1.0,1.0,higher,0.508947854338762,1.0,predeclared_existing
curvature_tail_mean_d8,6,8,8,0.75,0.75,higher,0.0003490456629873,1.0,K4_excluding_pusht_balanced_accuracy
jacobian_subspace_chordal_distance,6,8,8,0.75,0.75,higher,0.8675955672295013,1.0,K4_excluding_pusht_balanced_accuracy
check2_prominence_ratio,6,8,8,0.75,0.75,higher,0.21282562885302492,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
flow_persistence_h10,5,8,8,0.625,0.625,lower,0.8095587071076287,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
pairwise_uniformity_min_over_mean,5,8,8,0.625,0.625,higher,0.799148726123863,1.0,K4_excluding_pusht_balanced_accuracy
jacobian_log_scale_distance,5,8,8,0.625,0.625,lower,0.0125081574386035,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
response_boundary_spearman,4,4,8,1.0,0.5,lower,0.038095238095238126,1.0,K4_excluding_pusht_balanced_accuracy
eigengap_after_k,4,8,8,0.5,0.5,higher,0.00060081250476855,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
prototype_distance_ratio,4,8,8,0.5,0.5,lower,1.0793239933536816,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
margin_radius_ratio_mean,4,8,8,0.5,0.5,lower,6.271207054456075,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
tangent_contrast_mean_d8,4,8,8,0.5,0.5,lower,0.46942558369420295,1.0,K4_excluding_pusht_balanced_accuracy
action_residual_velocity_eta2,4,8,8,0.5,0.5,higher,0.00013423426922695023,1.0,K4_excluding_pusht_balanced_accuracy
affine_response_contrast_ratio,4,8,8,0.5,0.5,higher,0.0061370813999440995,1.0,K4_excluding_pusht_balanced_accuracy
boundary_min_jacobian_bures_distance,4,8,8,0.5,0.5,lower,0.6010348681247366,1.0,K4_excluding_pusht_balanced_accuracy
jacobian_cosine_distance,4,8,8,0.5,0.5,lower,0.8265036167428612,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
knn_purity,3,8,8,0.375,0.375,lower,0.9621138888888889,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
latent_velocity_eta2,3,8,8,0.375,0.375,higher,0.0001317046974314977,1.0,K4_excluding_pusht_balanced_accuracy
minimum_pairwise_response,3,8,8,0.375,0.375,higher,0.013325377152480201,1.0,K4_excluding_pusht_balanced_accuracy
response_centroid_spearman,2,4,8,0.5,0.25,higher,0.14285714285714285,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
normalized_cluster_entropy,2,8,8,0.25,0.25,lower,0.9971145811665179,1.0,K4_excluding_pusht_balanced_accuracy
check1_retained_safety_fraction,1,8,8,0.125,0.125,lower,0.8615306405009509,0.6666666666666666,K4_excluding_pusht_balanced_accuracy
