task,seed,knn,global_idx,umap_1,umap_2,aligned_cluster,agrees_with_nominal
pusht,0,27,38,11.56953430,6.28434658,2,1
pusht,0,27,74,12.11207008,7.81168413,2,1
pusht,0,27,113,10.91458893,6.63127089,2,1
pusht,0,27,268,11.85573292,6.86686802,2,1
pusht,0,27,273,12.33380985,8.21348953,2,1
pusht,0,27,315,12.34015942,9.32464600,2,1
pusht,0,27,411,12.23840809,8.36063766,2,1
pusht,0,27,576,11.53916931,6.26781178,2,1
pusht,0,27,578,11.47073364,6.25621367,2,1
pusht,0,27,620,12.11042309,7.86128998,2,1
pusht,0,27,737,12.17678070,8.27769852,2,1
pusht,0,27,874,10.89177227,6.58091736,2,1
pusht,0,27,1027,11.60708904,6.29806137,2,1
pusht,0,27,1159,11.98753071,7.93856525,2,1
pusht,0,27,1545,10.99480343,6.44051361,2,1
pusht,0,27,1596,11.99719334,7.91088390,2,1
pusht,0,27,1661,11.42026997,6.13727427,2,1
pusht,0,27,1869,11.01217556,6.52192354,2,1
pusht,0,27,2012,11.83021450,6.77500200,2,1
pusht,0,27,2072,10.92133617,6.59734249,2,1
pusht,0,27,2118,11.65472412,6.36467981,2,1
pusht,0,27,2142,12.04584408,7.87515497,2,1
pusht,0,27,2261,12.03618431,8.08931255,2,1
pusht,0,27,2314,11.42630863,6.14253902,2,1
pusht,0,27,2536,11.57532501,6.22332287,2,1
pusht,0,27,2675,12.36728001,8.33180714,2,1
pusht,0,27,2689,12.08432293,7.81439161,2,1
pusht,0,27,2887,12.27005005,8.07117462,2,1
pusht,0,27,3173,10.96193218,6.56451559,2,1
pusht,0,27,3348,12.06280994,7.88340759,2,1
pusht,0,27,3449,12.00368118,8.00141811,2,1
pusht,0,27,3619,11.16560936,6.27923393,2,1
pusht,0,27,3677,12.01712132,7.99772787,2,1
pusht,0,27,3683,12.29469204,8.53915310,2,1
pusht,0,27,3821,10.91917038,6.59808969,2,1
pusht,0,27,3960,11.49625397,6.22942734,2,1
pusht,0,27,4227,12.28713417,8.52256870,2,1
pusht,0,27,4511,11.59099579,6.22314310,2,1
pusht,0,27,4716,11.53401279,6.21155357,2,1
pusht,0,27,4768,12.04505539,8.05693245,2,1
pusht,0,27,5032,10.99793148,6.46130562,2,1
pusht,0,27,5120,8.22231197,11.74431992,3,1
pusht,0,27,5207,12.19867039,8.62070560,2,1
pusht,0,27,5252,11.05191803,6.36927462,2,1
pusht,0,27,5358,10.97210407,6.47903252,2,1
pusht,0,27,5435,12.53362846,9.02393246,2,1
pusht,0,27,5524,12.06951904,7.82680893,2,1
pusht,0,27,5545,12.41079712,9.26123238,2,1
pusht,0,27,5843,12.08611298,8.16111088,2,1
pusht,0,27,5970,11.01091957,7.60536051,2,1
pusht,0,27,6138,11.55549145,6.28892517,2,1
pusht,0,27,6159,12.37433720,8.14000797,2,1
pusht,0,27,6551,10.96825314,6.57656479,2,1
pusht,0,27,6651,10.92453671,6.61433887,2,1
pusht,0,27,6845,12.28977871,8.48140717,2,1
pusht,0,27,7009,11.47426891,6.19651890,2,1
pusht,0,27,7249,12.32862091,8.09786797,2,1
pusht,0,27,7464,12.31482029,7.93762827,2,1
pusht,0,27,7631,10.92515087,6.59432173,2,1
pusht,0,27,7718,12.56241322,9.25042439,2,1
pusht,0,27,7742,10.92156887,6.59731197,2,1
pusht,0,27,7752,10.96772575,6.56838179,2,1
pusht,0,27,8074,10.94116020,6.59956264,2,1
pusht,0,27,8483,12.40816021,9.43805790,2,1
pusht,0,27,8593,12.59297848,9.07442951,2,1
pusht,0,27,8976,10.77496910,6.00497103,2,1
pusht,0,27,9236,10.68131733,6.48364544,2,1
pusht,0,27,9413,11.59131241,6.25453997,2,1
pusht,0,27,9460,12.56018925,8.94694328,2,1
pusht,0,27,9972,10.28826046,2.02640939,2,1
pusht,0,27,10087,10.74211884,6.02213335,2,1
pusht,0,27,10151,10.95678234,6.56138468,2,1
pusht,0,27,10335,9.75061607,1.65353549,2,1
pusht,0,27,10338,9.78559685,1.67089689,2,1
pusht,0,27,10399,11.79865837,6.30385685,2,1
