task,global_idx,umap_1,umap_2,nominal_cluster,stability_fraction,stability_count
tworoom,15,7.17889214,-2.93075824,1,1.00000000,9
tworoom,31,2.96535754,-0.86824316,1,1.00000000,9
tworoom,43,2.65712166,2.74849033,1,1.00000000,9
tworoom,106,10.77568150,0.54794300,1,1.00000000,9
tworoom,109,11.60747719,3.54586005,3,1.00000000,9
tworoom,123,14.33517361,12.04931736,3,1.00000000,9
tworoom,164,-2.73236704,17.05130768,2,1.00000000,9
tworoom,230,14.64966679,2.05028820,3,1.00000000,9
tworoom,242,15.60653782,2.10187554,3,1.00000000,9
tworoom,288,8.39381409,-5.31085730,1,1.00000000,9
tworoom,337,-2.87997484,16.01758194,2,1.00000000,9
tworoom,406,-2.13220406,16.98246574,2,1.00000000,9
tworoom,452,-0.86624581,12.32630348,2,1.00000000,9
tworoom,600,-3.20302033,3.58033943,2,1.00000000,9
tworoom,629,-1.70811820,8.31977844,2,1.00000000,9
tworoom,654,7.17685890,1.87960184,1,1.00000000,9
tworoom,728,11.64288807,15.40465927,3,1.00000000,9
tworoom,787,10.76251888,14.50805283,3,1.00000000,9
tworoom,798,8.59311676,14.49488258,3,1.00000000,9
tworoom,821,2.76414084,-0.88131624,1,1.00000000,9
tworoom,824,2.12680697,-0.24791221,1,1.00000000,9
tworoom,867,11.19883728,6.84631109,3,1.00000000,9
tworoom,884,15.30963039,6.61347675,3,1.00000000,9
tworoom,998,-1.65726256,-0.90289557,1,1.00000000,9
tworoom,1035,15.32114697,0.83032757,1,0.77777778,7
tworoom,1046,15.05889130,2.71332407,3,1.00000000,9
tworoom,1109,-3.35666418,3.15341306,2,1.00000000,9
tworoom,1249,1.10446596,0.35916784,1,1.00000000,9
tworoom,1309,13.11044788,12.22195244,3,1.00000000,9
tworoom,1357,-0.53427207,11.37990475,2,1.00000000,9
tworoom,1424,8.78015518,5.86919308,3,1.00000000,9
tworoom,1428,10.98580170,5.12955666,3,1.00000000,9
tworoom,1440,11.46827984,7.60886002,3,1.00000000,9
tworoom,1497,9.34563255,-4.15640497,1,1.00000000,9
tworoom,1522,1.09484518,3.06943107,2,1.00000000,9
tworoom,1666,13.79925442,4.34031057,3,1.00000000,9
tworoom,1751,-1.22133064,13.34505081,2,1.00000000,9
tworoom,1856,-3.40768814,11.56482220,2,1.00000000,9
tworoom,1877,-3.03517342,9.51469803,2,1.00000000,9
tworoom,1963,10.11682415,15.11558151,3,1.00000000,9
tworoom,1975,9.77799797,13.07053280,3,1.00000000,9
tworoom,2006,3.78226662,-0.80296731,1,1.00000000,9
tworoom,2019,-0.71069777,3.64386606,2,1.00000000,9
tworoom,2083,9.32631874,13.55240822,3,1.00000000,9
tworoom,2111,8.21801186,-3.69844031,1,1.00000000,9
tworoom,2138,-4.93901730,3.71314216,2,1.00000000,9
tworoom,2173,-5.19668818,10.01068687,2,1.00000000,9
tworoom,2251,-3.31820464,0.48591399,2,0.66666667,6
tworoom,2292,8.39282227,11.41513920,3,1.00000000,9
tworoom,2358,3.44053984,-0.33127412,1,1.00000000,9
tworoom,2439,-0.06150961,-2.01055932,1,1.00000000,9
tworoom,2569,-5.01295710,6.23042583,2,1.00000000,9
tworoom,2572,-4.98845053,6.08396912,2,1.00000000,9
tworoom,2660,0.47014844,6.05685425,2,1.00000000,9
tworoom,2724,13.76675129,14.09438515,3,1.00000000,9
tworoom,2813,3.97532845,-0.91595644,1,1.00000000,9
tworoom,2863,3.18526721,-3.12318730,1,1.00000000,9
