metric,direction,threshold,threshold_source,layer1_correct,layer1_total,layer1_accuracy
normalized_cluster_entropy,lower,0.997114581166518,K4_excluding_pusht_balanced_accuracy,3,3,1.0
eigengap_after_k,higher,0.0006008125047685,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
prototype_distance_ratio,lower,1.0793239933536816,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
knn_purity,lower,0.9621138888888888,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
margin_radius_ratio_mean,lower,6.271207054456075,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
tangent_contrast_mean_d8,lower,0.4694255836942029,K4_excluding_pusht_balanced_accuracy,3,3,1.0
curvature_tail_mean_d8,higher,0.0003490456629873,K4_excluding_pusht_balanced_accuracy,3,3,1.0
flow_persistence_h10,lower,0.8095587071076287,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
latent_velocity_eta2,higher,0.0001317046974314,K4_excluding_pusht_balanced_accuracy,3,3,1.0
action_residual_velocity_eta2,higher,0.0001342342692269,K4_excluding_pusht_balanced_accuracy,3,3,1.0
affine_response_contrast_ratio,higher,0.006137081399944,K4_excluding_pusht_balanced_accuracy,3,3,1.0
minimum_pairwise_response,higher,0.0133253771524802,K4_excluding_pusht_balanced_accuracy,3,3,1.0
pairwise_uniformity_min_over_mean,higher,0.799148726123863,K4_excluding_pusht_balanced_accuracy,3,3,1.0
response_centroid_spearman,higher,0.1428571428571428,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
response_boundary_spearman,lower,0.0380952380952381,K4_excluding_pusht_balanced_accuracy,3,3,1.0
boundary_min_jacobian_bures_distance,lower,0.6010348681247366,K4_excluding_pusht_balanced_accuracy,3,3,1.0
jacobian_bures_distance,higher,0.508947854338762,predeclared_existing,3,3,1.0
jacobian_cosine_distance,lower,0.8265036167428612,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
jacobian_log_scale_distance,lower,0.0125081574386035,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
jacobian_subspace_chordal_distance,higher,0.8675955672295013,K4_excluding_pusht_balanced_accuracy,3,3,1.0
check1_retained_safety_fraction,lower,0.8615306405009509,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
check2_prominence_ratio,higher,0.2128256288530249,K4_excluding_pusht_balanced_accuracy,2,3,0.6666666666666666
