task,num_clusters,global_mean_percent,regional_mean_percent,delta_regional_minus_global_pp,point_estimate_winner,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,affine_response_contrast_ratio,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
tworoom,2,58.53333333333333,58.4,-0.1333333333333328,global,0.9999928455514634,0.00040653520698197276,1.1937367916107178,0.9907811111111111,31.170155843098957,0.37785117359775305,0.0003550331937455192,0.885874799764787,6.775978774308314e-05,0.0002859547101199836,0.013930638681045056,0.0551055430262557,1.0,,,0.0806977145756458,0.5058100517982352,0.46997071902193205,0.5136991325452535,0.762406125958706,0.8097714800673014,-0.1061143423934513
pusht,2,46.4,44.75555555555556,-1.6444444444444386,global,0.9840966350893693,0.0020113681524484006,1.0610673427581787,0.9630794444444444,2.6933434009552,0.5257720997082576,0.013717447301208406,0.9472692220668059,0.0009541082471199382,0.0009787389281835659,0.008649487419094857,0.0348479370318143,1.0,,,0.17602981674286666,0.46456521403942874,0.46423655300936423,0.04070430803729344,0.8300166593156026,0.6191014281096333,-0.0414217621008678
reacher,2,78.26666666666667,76.31111111111112,-1.9555555555555488,global,0.9999722077643677,0.0010012679118991397,1.0513172149658203,0.9893299999999999,14.139691988627115,0.5378332390870061,0.0006873305784753071,0.9486598302147305,4.954620918247474e-05,4.956157072106914e-05,0.0038969186262120745,0.015588095066895272,1.0,,,0.12445777163058636,0.25271734912935157,1.7476905193442454,0.031902648473172375,0.7016895214597628,0.9938426464960196,0.3009356531654765
cube,2,49.06666666666666,48.26666666666667,-0.79999999999999,global,0.9999958845021127,0.0051601801493348365,1.1623938083648682,0.9808177777777778,5.028148810068767,0.24386057360627364,0.007184951063673394,0.9539681507869947,0.00013298600229619194,0.00016051491249541728,0.035311237850538045,0.13839484411624545,1.0,,,0.07040996106868401,0.4454663981278501,0.6802173802324445,0.2139901689702692,0.6437568830942583,0.9964754470901319,0.3283684026376352
tworoom,3,58.53333333333333,58.26666666666667,-0.2666666666666586,global,0.9983164615445047,0.0006915331983281536,1.3599607944488525,0.9874299999999999,26.549039840698242,0.35820181077798924,0.0003639612209691507,0.7938316571026894,0.000891980912285917,0.0011892708821413635,0.06550090168586269,0.07811601174918383,0.40064911210430937,0.5,1.0,0.10180326744899852,0.5620378322274412,0.6947906343151421,0.0925457715609162,0.8480873597420286,0.9887743728774375,0.008057418831305
pusht,3,46.4,44.088888888888896,-2.311111111111103,global,0.9543638570203704,0.0015064188798111777,1.0963327884674072,0.9416983333333334,2.1824964682261148,0.49370806688633256,0.012808537084087456,0.9075267087726554,0.0018114862714138861,0.0018633293900893629,0.015025751411537067,0.041569802388885434,0.9023384575990279,0.3333333333333333,0.16666666666666666,0.3185683683396563,0.48957836420248396,0.4881428241986446,0.03099011005331347,0.8526099818288756,0.20631126705079927,-0.1287278359573476
reacher,3,78.26666666666667,76.53333333333333,-1.7333333333333345,global,0.9916116769095485,5.409543317502763e-05,1.0849089622497559,0.9776044444444444,11.806746164957682,0.4982447783896941,0.0006831016438507252,0.9008533310031283,6.241769622117186e-05,6.245279739311405e-05,0.006083811365195267,0.01020404462384399,0.574761851520094,-0.6666666666666666,0.6666666666666666,0.5184939756876531,0.3968770981778626,0.8250658434588608,0.029393941160566244,0.8534136757372516,0.653680961314664,-0.3043038709030343
cube,3,49.06666666666666,48.0,-1.0666666666666629,global,0.992294556394242,0.0029608964836025375,1.289671540260315,0.9595655555555554,4.049423853556315,0.20961659391434675,0.007321866890045158,0.9155542246864613,0.00023790581149213427,0.0003001561059795626,0.07745531432627924,0.12556625541357708,0.5232485417366617,0.5,0.5,0.21133873155491953,0.35133183125693696,0.5360569571175433,0.20265476557743065,0.6149666632709497,0.9800250976158263,-0.0359666870916205
tworoom,4,58.53333333333333,57.73333333333333,-0.8000000000000043,global,0.9858174233666791,0.0002084029553871547,1.3651189804077148,0.9789688888888889,23.677344640096027,0.33121492822464293,0.0003738893552232818,0.7107454495069314,0.0019211281427719549,0.002102293104110977,0.09513454327705366,0.10462733042415413,0.39001364593285026,0.14285714285714288,0.3142857142857143,0.3068450899241708,0.5393339183063287,0.557419245389978,0.10635088339190844,0.8067760069851021,0.9625795976934212,-0.3305993127777221
pusht,4,46.4,43.46666666666667,-2.93333333333333,global,0.9800069374018635,0.0014963831328270727,1.0538525581359863,0.933436111111111,1.931535045305888,0.4740521502769304,0.012496511305241103,0.8859811375127213,0.0031149833068439985,0.0032435483842966073,0.022094141999965167,0.05137632126149511,0.8588940615638944,-0.02857142857142858,-0.06666666666666667,0.3711180544199559,0.4787230374505911,0.46167913301807956,0.018217649738408517,0.8322889840230184,-3.1801768812472475,-0.3263305348947749
