task,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,affine_response_contrast_ratio,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
tworoom,2,0,0.9999928455514634,0.00040653520698197276,1.1937367916107178,0.9900666666666667,31.156875610351562,0.3785450388771807,0.0003534820056926127,0.8843007989131537,5.945200889002658e-05,0.0002716989196714438,0.013948607178171462,0.055181098156674505,1.0,,,0.0809845511692687,0.5072445746342835,0.4714490388633302,0.5173801699822635,0.7633158929713527,0.8097714800673013,-0.1061143423934513
tworoom,2,1,0.9999928455514634,0.00040653520698197276,1.1937367916107178,0.9920016666666667,31.260557174682617,0.37111004610417353,0.00036744147386319123,0.8869951031084616,7.191136004328135e-05,0.00029568081892027376,0.013942181908715219,0.05514792105332067,1.0,,,0.04958444219427936,0.5052744178293037,0.4698277578069704,0.5102493192048527,0.7623747549485349,0.8097714800673013,-0.1061143423934513
tworoom,2,2,0.9999928455514634,0.00040653520698197276,1.1937367916107178,0.990275,31.093034744262695,0.3838984358119051,0.0003441761016807536,0.8863284972727457,7.191599429594147e-05,0.0002904843917682332,0.013901126956248488,0.054987609868771936,1.0,,,0.11152415036338935,0.5049111629311184,0.4686353603954957,0.513467908448644,0.7615277299562305,0.8097714800673013,-0.1061143423934513
tworoom,3,0,0.9983164615445047,0.0006915331983281536,1.3599607944488525,0.9878683333333333,26.688817977905273,0.35734471311216726,0.0003673704666029365,0.794831143419105,0.0009184261186135904,0.00123965990314494,0.06566740199188416,0.07931569902956266,0.40634289500439913,0.5,1.0,0.08504800713017809,0.5531891545721164,0.7005904164137604,0.08447900807000061,0.8467473757408773,0.9887743728774375,0.008057418831305
tworoom,3,1,0.9983164615445047,0.0006915331983281536,1.3599607944488525,0.9869633333333333,26.547060012817383,0.35473659286998166,0.0003729967844208522,0.794443346107833,0.0009233595948095364,0.0012098950785780058,0.06607677930750784,0.07895210688545072,0.4014934022924891,0.5,1.0,0.10827022776527491,0.5546226539331458,0.6957859124842207,0.08395225553003609,0.8468166004986225,0.9887743728774375,0.008057418831305
tworoom,3,2,0.9983164615445047,0.0006915331983281536,1.3599607944488525,0.9874583333333333,26.41124153137207,0.36252412635181885,0.00035151641188366337,0.7922204817811302,0.0008341570234346239,0.0011182576647011445,0.06475852375819607,0.07608022933253811,0.3941110390160398,0.5,1.0,0.11209156745154253,0.5783016881770612,0.6879955740474454,0.1092060510827119,0.8506981029865863,0.9887743728774375,0.008057418831305
tworoom,4,0,0.9858174233666791,0.0002084029553871547,1.3651189804077148,0.9788516666666667,23.741731643676758,0.32959077760381167,0.00040044530059916517,0.7115991950037512,0.002025866182415537,0.0022235769370135628,0.09587303066137526,0.10206111166626433,0.3798406695992737,0.14285714285714288,0.3142857142857143,0.32076387536210677,0.5335324284570463,0.554427401180718,0.11162947930450261,0.801704189439062,0.962579597693421,-0.3305993127777221
tworoom,4,1,0.9858174233666791,0.0002084029553871547,1.3651189804077148,0.979305,23.626205444335938,0.3330179870508778,0.0003638937944600192,0.7127930024129611,0.0018062807809957916,0.002011866292864356,0.09469350556542765,0.10499776543921953,0.394790481814154,0.14285714285714288,0.3142857142857143,0.257148971281229,0.5387822263099867,0.5576185804471029,0.1093235716089833,0.8062109115561681,0.962579597693421,-0.3305993127777221
tworoom,4,2,0.9858174233666791,0.0002084029553871547,1.3651189804077148,0.97875,23.66409683227539,0.3310360200192393,0.00035732897061066104,0.7078441511040817,0.0019312374649045358,0.0020714360824550127,0.09483709360435803,0.10682311416697855,0.3954097863851231,0.14285714285714288,0.3142857142857143,0.34262242312917673,0.545687100151953,0.5602117545421132,0.09809959926223942,0.8124129199600763,0.962579597693421,-0.3305993127777221
pusht,2,0,0.9840966350893694,0.0020113681524484006,1.0610673427581787,0.96198,2.712933301925659,0.506945144092711,0.013733887494320305,0.9456695838323725,0.0009626170766339851,0.0009905053633914435,0.008732285815067815,0.035383582159169126,1.0,,,0.21121835697327962,0.4697408417221643,0.46963370207639055,0.0362213727182177,0.8343272149140449,0.6191014281096333,-0.0414217621008678
