metric,layer2_correct,layer2_covered,layer2_total,layer2_accuracy,full_grid_accuracy,direction,threshold,layer1_accuracy,threshold_source
jacobian_subspace_chordal_distance,11,12,12,0.9166666666666666,0.9166666666666666,higher,0.8609730522236296,1.0,K4_only_balanced_accuracy
jacobian_bures_distance,10,12,12,0.8333333333333334,0.8333333333333334,higher,0.508947854338762,1.0,predeclared_existing
knn_purity,8,12,12,0.6666666666666666,0.6666666666666666,lower,0.9621138888888889,0.75,K4_only_balanced_accuracy
check2_prominence_ratio,8,12,12,0.6666666666666666,0.6666666666666666,higher,0.0,0.25,predeclared_R_minus_Tbg
margin_radius_ratio_mean,6,12,12,0.5,0.5,lower,6.271207054456075,0.75,K4_only_balanced_accuracy
tangent_contrast_mean_d8,6,12,12,0.5,0.5,lower,0.47070722344625293,1.0,K4_only_balanced_accuracy
pairwise_uniformity_min_over_mean,6,12,12,0.5,0.5,higher,0.799148726123863,1.0,K4_only_balanced_accuracy
response_boundary_spearman,5,8,12,0.625,0.4166666666666667,lower,0.44761904761904764,1.0,K4_only_balanced_accuracy
normalized_cluster_entropy,5,12,12,0.4166666666666667,0.4166666666666667,lower,0.9971145811665179,1.0,K4_only_balanced_accuracy
prototype_distance_ratio,5,12,12,0.4166666666666667,0.4166666666666667,higher,1.0983663455881154,0.75,K4_only_balanced_accuracy
eigengap_after_k,4,12,12,0.3333333333333333,0.3333333333333333,higher,0.00060081250476855,0.75,K4_only_balanced_accuracy
latent_velocity_eta2,4,12,12,0.3333333333333333,0.3333333333333333,higher,0.0001317046974314977,1.0,K4_only_balanced_accuracy
flow_persistence_h10,3,12,12,0.25,0.25,higher,0.8739610309023725,0.75,K4_only_balanced_accuracy
action_residual_velocity_eta2,3,12,12,0.25,0.25,higher,0.00013423426922695023,1.0,K4_only_balanced_accuracy
affine_response_contrast_ratio,2,12,12,0.16666666666666666,0.16666666666666666,higher,0.0061370813999440995,1.0,K4_only_balanced_accuracy
minimum_pairwise_response,2,12,12,0.16666666666666666,0.16666666666666666,higher,0.013325377152480201,1.0,K4_only_balanced_accuracy
jacobian_cosine_distance,2,12,12,0.16666666666666666,0.16666666666666666,lower,0.8265036167428612,0.75,K4_only_balanced_accuracy
check1_retained_safety_fraction,2,12,12,0.16666666666666666,0.16666666666666666,higher,0.5,0.5,predeclared_existing
response_centroid_spearman,1,8,12,0.125,0.08333333333333333,higher,-0.11428571428571425,0.75,K4_only_balanced_accuracy
boundary_min_jacobian_bures_distance,1,12,12,0.08333333333333333,0.08333333333333333,lower,0.6010348681247366,1.0,K4_only_balanced_accuracy
jacobian_log_scale_distance,1,12,12,0.08333333333333333,0.08333333333333333,higher,0.017206942383306403,0.75,K4_only_balanced_accuracy
curvature_tail_mean_d8,0,12,12,0.0,0.0,higher,0.0003490456629873,1.0,K4_only_balanced_accuracy
