model,task,num_clusters,partition_seed,transition_count,episode_count,q_full,fold_q_min,fold_q_max,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95,response_scale,normalized_affine_l2,normalized_affine_l2_upper95,q_bootstrap_mean,q_ci_low,q_ci_high,epsilon_q_95,epsilon_score_95,bootstrap_valid,bootstrap_failures
subjepa,cube,2,0,1980152,10000,0.2207733094890396,0.2193507333000546,0.22241606803475758,0.46668356575644954,0.0010303513836524524,0.46837834293911523,0.6831424198192128,0.6843817231188419,0.048194138864581314,3.1118176618095164,3.117462876898261,0.22076048094134929,0.21585134728036853,0.22615508561582912,0.005039395853478558,0.010078791706957116,500,0
subjepa,cube,2,1,1980152,10000,0.22299695241039644,0.22166625901636927,0.22454484060250635,0.4666964312343482,0.0010300066672403656,0.4683906414089825,0.6831518361494378,0.6843907081550585,0.04816608047299959,3.112766805342799,3.1184116992757507,0.22304832662474988,0.21770862136995692,0.2283996392830675,0.005293143633669522,0.010586287267339045,500,0
subjepa,cube,2,2,1980152,10000,0.22442933529925116,0.22318803565983364,0.226015623817364,0.4664920282838298,0.0010276349182138384,0.46818233727853953,0.6830022168952526,0.6842385090584565,0.04862076718168503,3.097499248617456,3.1031059859776993,0.22433010700979503,0.2191750198306517,0.22901843186455584,0.00516272073624245,0.0103254414724849,500,0
subjepa,cube,3,0,1980152,10000,0.17552635751134965,0.1749517322803255,0.17587187458594958,0.44626369836051594,0.0009289442902719951,0.44779167572056927,0.6680297136808482,0.6691723811698815,0.09112425392220974,2.2129866160448297,2.2167719384759046,0.17548221858268362,0.17254504845902516,0.17842204391170255,0.0029666277640294754,0.005933255528058951,500,0
subjepa,cube,3,1,1980152,10000,0.17467962495338793,0.17389097469667092,0.17543179222471794,0.44574985526527,0.0009228707945010649,0.4472678426139399,0.6676450069200472,0.6687808629244261,0.09187421802709518,2.2026666564415103,2.206414025359771,0.17470560029695417,0.17140331422001753,0.1783680291203935,0.003507808556526478,0.007015617113052956,500,0
subjepa,cube,3,2,1980152,10000,0.17679176442554206,0.17573798685793754,0.17753966761743034,0.445216590889854,0.000917869879438831,0.4467263524653805,0.6672455251928289,0.6683759065566177,0.09239124710566085,2.195180596593279,2.198899454409257,0.17677283623288537,0.17378003412828616,0.17983269277656724,0.0030137192705185123,0.006027438541037025,500,0
subjepa,cube,4,0,1980152,10000,0.11396176161787953,0.11263873637261126,0.1155850041538308,0.43854527892465595,0.0009273673096021146,0.4400706623823773,0.6622275129626192,0.6633782197075642,0.11299023917610959,1.9700931276843492,1.9735164216517869,0.11412029634701008,0.11031363600380634,0.11828962997141379,0.00416462975901306,0.00832925951802612,500,0
subjepa,cube,4,1,1980152,10000,0.10245156493728629,0.10107446224239118,0.10402401130977594,0.4391837898062422,0.000930720120651709,0.4407146881472886,0.6627094309018412,0.6638634559510627,0.1126681872688033,1.9743425146093372,1.9777805835598599,0.10268504364884962,0.09911065063506433,0.10642331424640637,0.003797440547908448,0.007594881095816896,500,0
subjepa,cube,4,2,1980152,10000,0.10881640121506152,0.10742357742908276,0.1101955932706028,0.43749089946458325,0.0009239385533374831,0.4390106431202192,0.6614309483722267,0.6625787825762451,0.11511552804215039,1.9494744906736772,1.9528575702011224,0.10892197484652126,0.10523317022472217,0.11274311308843481,0.003775799358587274,0.007551598717174548,500,0
subjepa,pusht,2,0,2281233,18685,0.2348704208629508,0.23433540737495573,0.23591204989918288,1.874401569475892,0.00487927848030739,1.8824272682496281,1.3690878603931496,1.3720157682219356,0.06149120622532731,5.52108983162037,5.532897139689547,0.2350272169483087,0.23290865346619294,0.2369322751612408,0.0020021931771990642,0.0040043863543981284,500,0
subjepa,pusht,2,1,2281233,18685,0.23150288997380652,0.23116793607027028,0.23264344629691883,1.8746314768642922,0.004880635832542421,1.8826594082837387,1.3691718215272664,1.3721003637794644,0.0614855909079682,5.521680542812106,5.533490948576029,0.23154042055688326,0.22947919899276953,0.23356037611797537,0.0020600395252377097,0.004120079050475419,500,0
subjepa,pusht,2,2,2281233,18685,0.2304745102279493,0.2300971006530054,0.23130713104265932,1.8747487762435329,0.0048811998939005405,1.8827776354613348,1.3692146567443444,1.3721434456576815,0.06189142585697382,5.503719545619124,5.515492157537882,0.23064124538672076,0.2288338547733843,0.23252946775156608,0.0018652678838543986,0.0037305357677087972,500,0
subjepa,pusht,3,0,2281233,18685,0.2664769976549393,0.2660848932507441,0.26732308594111304,1.8607764741555317,0.004860619617643336,1.868771481831843,1.364102809232329,1.3670301685887707,0.09406151152952678,4.447757765603732,4.457302636578415,0.26648056618110616,0.26409598273570795,0.26840094662964203,0.002147416118515127,0.004294832237030254,500,0
