model,task,num_clusters,partition_seed,region,transition_count,episode_count,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95
subjepa,cube,2,0,0,992583,8173,0.5424135647655333,0.0016066739007587687,0.5450563081152223,0.7364873147349744,0.7382792886944766
subjepa,cube,2,0,1,987569,7957,0.3905690769395331,0.0009298423958465246,0.3920985315517739,0.6249552599502888,0.6261777156301347
subjepa,cube,2,1,0,984652,7939,0.39164886705478386,0.0009356468099894733,0.39318786907852354,0.6258185576145724,0.6270469432813811
subjepa,cube,2,1,1,995500,8165,0.5409261993554293,0.00160418640644477,0.5435648511411411,0.7354768516788474,0.7372685068149467
subjepa,cube,2,2,0,973254,8098,0.5432930028614259,0.0016266244063162555,0.545968561872003,0.7370841219707733,0.738896854690831
subjepa,cube,2,2,1,1006898,7977,0.39225724411349305,0.0009292604942595661,0.39378574158281365,0.6263044340522371,0.6275234988291782
subjepa,cube,3,0,0,620424,6234,0.37101785175739993,0.0011181401255328958,0.37285702856818714,0.6091123474018565,0.6106201999346134
subjepa,cube,3,0,1,780541,8610,0.4666376538575162,0.0013716552124472504,0.46889382587166883,0.6831088155319884,0.6847582243914043
subjepa,cube,3,0,2,579187,5938,0.4994099560204906,0.001874720564545413,0.5024935968900771,0.7066894339244719,0.7088678275179916
subjepa,cube,3,1,0,787758,8633,0.47419164650763185,0.0014075847450476576,0.4765069173428286,0.6886157466306095,0.6902948046616232
subjepa,cube,3,1,1,632552,6243,0.3699104116143366,0.0011010285003905987,0.3717214423069067,0.6082026073721951,0.6096896278492088
subjepa,cube,3,1,2,559842,5682,0.4914183531178509,0.0018384248502510822,0.4944422928511159,0.7010123772929056,0.7031659070597179
subjepa,cube,3,2,0,623779,6190,0.3684699899265997,0.0011013925892535818,0.37028161949204674,0.607017289643878,0.6085076987943921
subjepa,cube,3,2,1,549538,5642,0.49127922116045813,0.0018451896154518849,0.4943142879421168,0.7009131338193472,0.7030748807503485
subjepa,cube,3,2,2,806835,8660,0.47317739116328106,0.0013738312867681674,0.4754371425011143,0.6878789073400063,0.6895195011753579
