task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,2,0,0,1,447378,444085,0.05518109815667449,0.001165165332617213,0.054015932824057276,0.47144903886333034,0.517380169982264,0.7633158929713525,0.5072445746342834
tworoom,2,1,0,1,450483,440980,0.05514792105332066,0.0012784780667837428,0.05386944298653692,0.4698277578069704,0.5102493192048532,0.762374754948535,0.5052744178293036
tworoom,2,2,0,1,441882,449581,0.054987609868771894,0.0012523540290844512,0.05373525583968744,0.4686353603954957,0.513467908448644,0.7615277299562304,0.5049111629311184
tworoom,3,0,0,1,307374,271397,0.07931569902956259,0.0010198033107288967,0.07829589571883369,0.7005904164137602,0.08447900807000061,0.8777512559162913,0.6794718637894233
tworoom,3,0,0,2,307374,312692,0.1990074699097379,0.007301531387552834,0.19170593852218507,0.756379638077562,0.5517886043377729,0.8661857801248192,0.6168488911810304
tworoom,3,0,1,2,271397,312692,0.307258860460061,0.005134349942088038,0.30212451051797296,1.355536759126957,0.6362676124077733,0.8467473757408771,0.5531891545721165
tworoom,3,1,0,1,272015,308398,0.07895210688545065,0.00086999749500064,0.07808210939045002,0.6957859124842208,0.08395225553003598,0.8712665843607662,0.6771210822057527
tworoom,3,1,0,2,272015,311050,0.3090899760123967,0.005323161330233549,0.30376681468216316,1.3538127741623311,0.6375361987024091,0.8468166004986224,0.5546226539331458
tworoom,3,1,1,2,308398,311050,0.2018961808542466,0.007233257824363984,0.1946629230298826,0.7643803694726634,0.5535839431723731,0.8530456102301135,0.61384496557543
tworoom,3,2,0,1,307702,305740,0.20250068974637078,0.007030545898822027,0.19547014384754877,0.7623253882107024,0.5614349663520726,0.8525479631474913,0.6147862914921661
tworoom,3,2,0,2,307702,278021,0.07608022933253804,0.0010153801096820817,0.07506484922285596,0.6879955740474454,0.1092060510827115,0.8763210768546859,0.6742598218860857
tworoom,3,2,1,2,305740,278021,0.3005469545463843,0.0048312843887760235,0.2957156701576083,1.3259261372087576,0.6706410174347839,0.8506981029865862,0.5783016881770612
tworoom,4,0,0,1,215723,288264,0.3189826640825457,0.00810064608442506,0.31088201799812065,0.8205163775409192,0.8386949734753263,0.8498373033741713,0.6789120967283753
tworoom,4,0,0,2,215723,164709,0.41346908292017903,0.01151198343150063,0.4019570994886784,0.9602921127396042,0.4797523458603411,0.8722154490365774,0.6203525938541989
tworoom,4,0,0,3,215723,222767,0.4304674689899702,0.007135671905211068,0.4233317970847591,1.1771682221584072,0.7270654941708237,0.8017041894390617,0.5335324284570463
tworoom,4,0,1,2,288264,164709,0.10206111166626426,0.00216393412530581,0.09989717754095845,0.554427401180718,0.3589426276149852,0.8629191476753534,0.5771734060431978
tworoom,4,0,1,3,288264,222767,0.11619822898606616,0.0008831683277865966,0.11531506065827957,0.9095832424555224,0.11162947930450261,0.973369422479541,0.8319939192791075
tworoom,4,0,2,3,164709,222767,0.23098864662897653,0.0032673218294217085,0.22772132479955481,1.2323717729024057,0.24731314831048262,0.8659484115796475,0.5815281389440374
tworoom,4,1,0,1,285928,230742,0.11477269910453346,0.001058227296229376,0.11371447180830409,0.8984835661590184,0.10932357160898318,0.9775801655947318,0.8499747313093351
tworoom,4,1,0,2,285928,160432,0.10499776543921946,0.0023720124201630837,0.10262575301905638,0.5576185804471029,0.3720892240699828,0.8657596596072055,0.5847736830725321
tworoom,4,1,0,3,285928,214361,0.31229475111223204,0.0070020562732586705,0.30529269483897337,0.8137063017971257,0.831310223384163,0.8559052474700037,0.6766304231318903
tworoom,4,1,1,2,230742,160432,0.23688294687818753,0.0037941623806435148,0.23308878449754403,1.2431909615104655,0.2627656524609996,0.856865019927187,0.5571369626669679
tworoom,4,1,1,3,230742,214361,0.4192955405399159,0.006039098860746342,0.4132564416791696,1.1592520479414221,0.7219866517751798,0.806210911556168,0.5387822263099868
tworoom,4,1,2,3,160432,214361,0.4075054896125798,0.011012853273908395,0.39649263633867143,0.948682924239665,0.45922099931418026,0.8688001318018245,0.6039557355604903
tworoom,4,2,0,1,283809,233161,0.11527257245020844,0.0010622570986992587,0.11421031535150919,0.9039574059280466,0.09809959926223905,0.9772496942826808,0.8496190442488734
tworoom,4,2,0,2,283809,177169,0.10682311416697848,0.0032190632821439873,0.1036040508848345,0.5602117545421132,0.3686812089608374,0.8667013123493462,0.5830929727608486
tworoom,4,2,0,3,283809,197324,0.32800617202927734,0.007173889545467022,0.3208322824838103,0.8181919943176658,0.8508688436567365,0.8365341849091218,0.6784949758146774
tworoom,4,2,1,2,233161,177169,0.22881498993064145,0.0035422297538778716,0.22527276017676356,1.2029430206618996,0.2705816096985982,0.8802549620192178,0.5914267787935993
tworoom,4,2,1,3,233161,197324,0.4444245641903731,0.007132944349293979,0.4372916198410791,1.1889483348029055,0.7527692443944975,0.8124129199600761,0.5456871001519529
tworoom,4,2,2,3,177169,197324,0.39760654317816985,0.011872304019786424,0.3857342391583834,0.8814742271638351,0.4821876346958992,0.9060913973308157,0.6847948446133443
pusht,2,0,0,1,973110,1308123,0.03538358215916912,0.004140399651348254,0.031243182507820867,0.46963370207639055,0.0362213727182177,0.8343272149140452,0.4697408417221644
pusht,2,1,0,1,1293843,987390,0.03480320103147003,0.004132201811953486,0.030670999219516545,0.4622888255300541,0.05416238332228023,0.8278009933550634,0.46300577994391595
