task,num_clusters,partition_seed,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
cube,2,0,0.6797763511263717,0.2107821308261261,0.6429816281856554,0.44154661897349856
cube,2,1,0.6796641467326532,0.20636034349947951,0.6438747784597834,0.44599390481616363
cube,2,2,0.6812116428383082,0.2248280325852025,0.6444142426373354,0.4488586705938882
cube,3,0,0.5376325056748785,0.1914449057135578,0.6176709600593637,0.3510527150194523
cube,3,1,0.5366762483514687,0.20334593741379023,0.6138994305107335,0.3493592499035477
cube,3,2,0.5338621173262827,0.21317345360494414,0.6133295992427517,0.35358352884781075
cube,4,0,0.43969846495370024,0.037009831374493735,0.5689453854407478,0.2279235232337977
cube,4,1,0.4192388107519852,0.03730106839063047,0.5675756237451934,0.20490312987281173
cube,4,2,0.43911768938672957,0.03306637236361413,0.5623070491334564,0.2176328024282613
pusht,2,0,0.46963370207639055,0.0362213727182177,0.8343272149140452,0.4697408417221644
pusht,2,1,0.4622888255300541,0.05416238332228023,0.8278009933550634,0.46300577994391595
pusht,2,2,0.46078713142164807,0.031729168071382624,0.8279217696776998,0.460949020452206
pusht,3,0,0.5328958590325292,0.06559156650571707,0.8741509217492742,0.5329539953059217
pusht,3,1,0.4569227572519101,0.02213051507310766,0.8371467304735569,0.4595293025625914
pusht,3,2,0.4746098563114943,0.005248248581115902,0.8465322932637953,0.47625179473893897
pusht,4,0,0.5437596468263497,0.031570925422499764,0.8752193965733509,0.546004143553573
pusht,4,1,0.42147092289121757,0.022905712124532022,0.810022339613447,0.43984071722056
pusht,4,2,0.41980682933667124,0.00017631166819376577,0.811625215882257,0.4503242515776403
reacher,2,0,1.74956848007841,0.04097408558144448,0.699808737555691,0.2510571392068214
reacher,2,1,1.7458711320953175,0.03516882834659042,0.7030942996095797,0.2545879297300279
reacher,2,2,1.7476319458590082,0.019565031491482435,0.7021655272140179,0.2525069784512059
reacher,3,0,0.808243249637867,0.024270058660835418,0.8539082635513952,0.38881285923240444
reacher,3,1,0.8218483957636814,0.01571162938197812,0.8511740987572118,0.40702514542133306
reacher,3,2,0.8451058849750337,0.0482001354388845,0.8551586649031476,0.3947932898798505
reacher,4,0,0.8470455827087354,0.025640411766223843,0.888001162261806,0.46410567326830754
reacher,4,1,0.8495028255050893,0.01483582330740668,0.8919639955438335,0.48298319433291664
reacher,4,2,0.8142688477560422,6.991017498853717e-05,0.8881198199588514,0.47246227116061074
tworoom,2,0,0.47144903886333034,0.517380169982264,0.7633158929713525,0.5072445746342834
tworoom,2,1,0.4698277578069704,0.5102493192048532,0.762374754948535,0.5052744178293036
tworoom,2,2,0.4686353603954957,0.513467908448644,0.7615277299562304,0.5049111629311184
tworoom,3,0,0.7005904164137602,0.08447900807000061,0.8467473757408771,0.5531891545721165
tworoom,3,1,0.6957859124842208,0.08395225553003598,0.8468166004986224,0.5546226539331458
tworoom,3,2,0.6879955740474454,0.1092060510827115,0.8506981029865862,0.5783016881770612
tworoom,4,0,0.554427401180718,0.11162947930450261,0.8017041894390617,0.5335324284570463
tworoom,4,1,0.5576185804471029,0.10932357160898318,0.806210911556168,0.5387822263099868
tworoom,4,2,0.5602117545421132,0.09809959926223905,0.8124129199600761,0.5456871001519529
